step,value
0,10.745673
0,10.745673
0,10.745673
0,10.745673
0,10.745673
0,10.745673
0,10.745673
0,10.745673
0,10.745673
0,10.745673
0,10.745673
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,51.356466
10,37.331233
20,83.811175
20,83.811175
20,91.608332
20,89.961081
20,89.432462
20,89.432462
20,85.630242
20,94.656412
20,94.656412
20,94.656412
20,94.656412
20,91.150526
20,74.323875
20,81.977262
20,80.412332
20,67.870563
20,79.100792
20,84.203519
30,156.452453
30,155.366859
30,147.494629
30,149.014391
30,159.479585
30,159.479585
30,149.993345
30,148.56089
30,149.772217
30,149.772217
30,149.772217
30,148.758065
30,138.343648
30,118.710426
30,116.67198
30,121.431648
30,132.229359
30,114.774057
30,127.072133
30,127.47274
30,131.647484
40,193.297775
40,192.230043
40,201.296586
40,196.934098
40,200.069943
40,193.053808
40,189.541441
40,187.554664
40,195.352316
40,185.419072
40,185.419072
40,187.957004
40,184.969621
40,183.243919
40,180.332057
40,183.273472
40,167.248516
40,172.607662
40,188.726871
40,160.271353
40,187.600105
40,161.655367
40,162.649556
40,159.614244
40,167.322043
40,164.591371
40,138.210856
40,132.121817
50,258.775629
50,257.135625
50,254.831387
50,247.849422
50,260.432644
50,260.80972
50,253.046366
50,247.0131
50,256.607861
50,265.135116
50,262.501831
50,253.595012
50,237.96706
50,227.762275
50,224.85588
50,225.004004
50,245.369327
50,251.928505
50,218.682861
50,226.139493
50,215.553605
50,222.477369
50,218.129533
50,217.430017
50,229.858598
50,221.941387
50,214.633688
50,225.838794
50,222.892738
50,250.020117
50,233.789965
50,126.940306
60,312.058106
60,310.243929
60,327.206642
60,321.798519
60,305.431679
60,328.990362
60,330.966453
60,322.881382
60,330.606689
60,318.975625
60,308.23634
60,325.647556
60,295.753827
60,276.569027
60,273.760524
60,270.8221
60,280.891405
60,283.670304
60,283.672236
60,260.426385
60,280.157234
60,249.515467
60,274.564674
60,276.424712
60,254.62769
60,278.197967
60,272.520741
60,248.090995
60,278.376856
60,266.993067
60,253.97942
60,266.069046
60,245.889398
60,254.206948
60,260.611191
60,202.307948
60,66.453949
60,110.456884
60,104.343109
60,114.28603
70,351.626687
70,355.720416
70,351.484803
70,363.297472
70,350.873933
70,350.483716
70,363.989982
70,361.967797
70,345.325928
70,357.538122
70,355.098363
70,352.663173
70,338.925027
70,328.670362
70,326.037742
70,319.858254
70,319.441895
70,305.48079
70,311.370418
70,325.964289
70,304.3763
70,306.09213
70,345.731554
70,333.216635
70,309.356058
70,333.295046
70,335.876585
70,299.752955
70,328.831487
70,328.318274
70,307.825595
70,317.834869
70,341.755598
70,307.365655
70,305.374162
70,302.986625
70,312.607895
70,312.600707
70,307.545919
70,299.022005
70,349.766226
70,322.420323
70,313.292007
70,334.816073
70,169.322108
80,481.723958
80,463.014689
80,479.013399
80,474.689573
80,472.690999
80,454.337844
80,476.839853
80,474.087443
80,472.617733
80,461.731735
80,453.165257
80,480.149331
80,392.906246
80,383.093005
80,380.698375
80,371.24037
80,359.817653
80,346.86698
80,384.516794
80,357.599043
80,371.496136
80,375.642497
80,357.341883
80,345.149248
80,375.45584
80,343.768935
80,342.822525
80,360.711828
80,381.024269
80,369.631655
80,370.583438
80,377.590507
80,354.192831
80,385.668077
80,390.947225
80,366.938252
80,382.236668
80,378.156916
80,370.408618
80,365.896523
80,360.063299
80,380.554489
80,370.617191
80,345.682799
80,354.790109
80,354.531289
80,346.682616
80,372.218416
80,370.172094
90,603.762392
90,628.779316
90,597.682807
90,578.346872
90,583.384127
90,590.04008
90,576.949789
90,578.445482
90,582.953175
90,618.046276
90,583.501597
90,603.21491
90,457.568556
90,438.933987
90,436.824007
90,424.142611
90,436.525189
90,425.503729
90,404.542065
90,425.025791
90,429.254942
90,444.514884
90,405.613474
90,395.552226
90,417.348263
90,441.211672
90,387.324394
90,397.471985
90,437.778108
90,412.97351
90,420.117147
90,423.497737
90,403.214974
90,393.837922
90,397.231601
90,418.300657
90,396.402922
90,390.931597
90,421.256593
90,417.943103
90,411.349129
90,388.508924
90,417.627874
90,396.7331
90,404.228933
90,410.134526
90,403.253262
90,421.503327
90,420.126257
90,262.215313
90,269.484133
90,189.872889
90,191.305257
90,272.898596
90,192.237171
100,556.962837
100,579.312687
100,562.83
100,574.521439
100,578.286935
100,553.798385
100,574.491871
100,574.93013
100,576.579816
100,580.073864
100,579.728356
100,572.619907
100,510.669562
100,475.007018
100,493.595633
100,477.815162
100,469.732104
100,510.257286
100,473.806311
100,498.405359
100,487.760534
100,483.787849
100,512.830958
100,520.026271
100,471.104392
100,470.996352
100,478.961586
100,528.142631
100,554.205798
100,549.287156
100,470.206707
100,547.800654
100,523.899363
100,536.823565
100,478.20033
100,472.093983
100,547.635437
100,538.365523
100,477.235636
100,469.822926
100,546.137568
100,494.135939
100,467.00185
100,537.86249
100,544.333317
100,471.74463
100,527.336343
100,481.176511
100,480.131534
100,502.79543
100,526.404378
100,544.493807
100,545.618069
100,495.98256
100,470.716165
100,475.389685
100,485.752611
100,211.629435
110,637.256194
110,645.371758
110,626.554064
110,609.414457
110,612.768161
110,638.454982
110,610.960025
110,610.202984
110,608.648175
110,639.03822
110,638.873091
110,620.314435
110,562.755425
110,537.415095
110,550.305959
110,531.599406
110,554.410165
110,533.80314
110,540.438599
110,511.583144
110,485.905337
110,553.083696
110,494.397313
110,499.236549
110,541.672742
110,517.651108
110,574.320642
110,501.429711
110,512.772455
110,517.037288
110,535.678068
110,518.289103
110,503.942779
110,517.24731
110,486.586611
110,528.186772
110,533.290778
110,524.526941
110,489.4393
110,533.743524
110,521.413328
110,483.073042
110,507.858015
110,515.153585
110,517.970451
110,536.890668
110,517.854643
110,481.648657
110,552.444724
110,503.54974
110,521.792312
110,536.96269
110,536.496669
110,496.026181
110,536.071108
110,483.239767
110,485.902571
110,482.522425
110,510.052768
110,483.791597
110,551.641449
110,528.310874
110,544.806865
110,524.471525
110,435.19631
110,420.471246
110,306.71782
110,124.897634
120,698.324665
120,673.291044
120,686.568451
120,667.573065
120,676.881883
120,696.518125
120,680.072585
120,668.764809
120,667.710571
120,700.129634
120,691.314737
120,680.801756
120,617.828958
120,599.256601
120,606.360961
120,584.932949
120,573.383947
120,557.205508
120,538.524719
120,602.318545
120,595.149862
120,533.358717
120,593.776899
120,549.949636
120,582.23619
120,559.827289
120,609.285987
120,588.362522
120,578.0716
120,563.779096
120,568.452132
120,563.964271
120,591.348086
120,575.767713
120,582.627291
120,582.972635
120,601.919618
120,587.178072
120,600.460165
120,591.814121
120,575.240028
120,585.235196
120,564.274033
120,566.322794
120,566.247593
120,613.35676
120,589.077705
120,568.934077
120,537.300723
