step,value
0,0.581227
0,0.581227
0,0.581227
0,0.581227
0,0.581227
0,0.581227
0,0.581227
0,0.581227
0,0.581227
0,0.581227
0,0.581227
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.200276
10,0.215535
20,0.184155
20,0.184155
20,0.185141
20,0.185858
20,0.177
20,0.177
20,0.1
20,0.185821
20,0.185821
20,0.185821
20,0.185821
20,0.177365
20,0.160298
20,0.151118
20,0.151228
20,0.159694
20,0.147492
20,0.133739
30,0.175504
30,0.174453
30,0.147172
30,0.1
30,0.172226
30,0.172226
30,0.172645
30,0.165013
30,0.145475
30,0.145475
30,0.145475
30,0.165618
30,0.143199
30,0.147431
30,0.147598
30,0.145231
30,0.138009
30,0.143915
30,0.137538
30,0.137508
30,0.113884
40,0.1
40,0.1
40,0.17277
40,0.1
40,0.171479
40,0.146569
40,0.1
40,0.1
40,0.146093
40,0.1
40,0.1
40,0.1
40,0.141267
40,0.13762
40,0.137913
40,0.136355
40,0.137268
40,0.135678
40,0.127556
40,0.136842
40,0.126872
40,0.133394
40,0.133172
40,0.132265
40,0.130312
40,0.130255
40,0.086761
40,0.09076
50,0.146269
50,0.14637
50,0.1
50,0.1
50,0.162677
50,0.1
50,0.1
50,0.1
50,0.144827
50,0.169492
50,0.162193
50,0.1
50,0.138151
50,0.135655
50,0.135902
50,0.134734
50,0.126779
50,0.121011
50,0.130472
50,0.130316
50,0.129791
50,0.127759
50,0.128349
50,0.127971
50,0.126435
50,0.126947
50,0.127097
50,0.125768
50,0.126036
50,0.110989
50,0.110369
50,0.094464
60,0.1
60,0.147935
60,0.172046
60,0.163772
60,0.146854
60,0.169126
60,0.170246
60,0.144779
60,0.169064
60,0.145045
60,0.146446
60,0.159324
60,0.135452
60,0.133765
60,0.13397
60,0.133109
60,0.129407
60,0.128391
60,0.125992
60,0.129687
60,0.125053
60,0.127562
60,0.124517
60,0.123792
60,0.126555
60,0.123285
60,0.122966
60,0.125854
60,0.122472
60,0.124419
60,0.126025
60,0.124648
60,0.126505
60,0.124932
60,0.122346
60,0.129024
60,0.152331
60,0.137095
60,0.134526
60,0.114284
70,0.1
70,0.152697
70,0.1
70,0.148707
70,0.1
70,0.1
70,0.149047
70,0.149008
70,0.1
70,0.149161
70,0.149405
70,0.1
70,0.135246
70,0.13203
70,0.132199
70,0.13157
70,0.128612
70,0.12928
70,0.125748
70,0.12603
70,0.124898
70,0.124484
70,0.117822
70,0.115875
70,0.123589
70,0.115534
70,0.118977
70,0.123085
70,0.117866
70,0.120667
70,0.123115
70,0.121937
70,0.11795
70,0.123131
70,0.123084
70,0.123881
70,0.124054
70,0.123608
70,0.12372
70,0.124775
70,0.11357
70,0.109989
70,0.113023
70,0.108903
70,0.07082
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.1
80,0.130474
80,0.130614
80,0.130159
80,0.127813
80,0.128468
80,0.117076
80,0.125684
80,0.119606
80,0.115692
80,0.120883
80,0.121235
80,0.115055
80,0.120865
80,0.119598
80,0.119689
80,0.112454
80,0.115952
80,0.117984
80,0.113936
80,0.121125
80,0.116436
80,0.115638
80,0.118761
80,0.115474
80,0.115357
80,0.118774
80,0.121149
80,0.120849
80,0.114255
80,0.117911
80,0.121491
80,0.12079
80,0.113667
80,0.114217
80,0.097851
80,0.097189
90,0.168635
90,0.168861
90,0.160415
90,0.142981
90,0.1
90,0.158878
90,0.162092
90,0.14311
90,0.1
90,0.167329
90,0.160162
90,0.154645
90,0.132613
90,0.129096
90,0.129211
90,0.128885
90,0.12447
90,0.124963
90,0.122593
90,0.122805
90,0.119671
90,0.118598
90,0.118713
90,0.11899
90,0.119272
90,0.116273
90,0.117488
90,0.118073
90,0.115349
90,0.117591
90,0.118368
90,0.117595
90,0.118961
90,0.119876
90,0.119469
90,0.119113
90,0.121395
90,0.121109
90,0.11902
90,0.118901
90,0.118594
90,0.120024
90,0.118315
90,0.119234
90,0.118591
90,0.121036
90,0.121137
90,0.120118
90,0.12026
90,0.122915
90,0.111406
90,0.137251
90,0.131885
90,0.102534
90,0.121234
100,0.1
100,0.152049
100,0.1
100,0.1
100,0.14986
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.138363
100,0.132282
100,0.129392
100,0.127976
100,0.127747
100,0.12406
100,0.121736
100,0.120056
100,0.12008
100,0.117401
100,0.117175
100,0.11238
100,0.113709
100,0.117163
100,0.114896
100,0.113704
100,0.111947
100,0.103884
100,0.105385
100,0.116307
100,0.105848
100,0.111742
100,0.113095
100,0.116155
100,0.116973
100,0.10831
100,0.114058
100,0.1168
100,0.116827
100,0.110285
100,0.115649
100,0.116282
100,0.112577
100,0.110147
100,0.118722
100,0.110914
100,0.117821
100,0.117969
100,0.117524
100,0.111926
100,0.113436
100,0.109249
100,0.117622
100,0.119358
100,0.11907
100,0.111205
100,0.056662
110,0.155935
110,0.154857
110,0.1559
110,0.1
110,0.1
110,0.1
110,0.1
110,0.1
110,0.1
110,0.153134
110,0.153187
110,0.1
110,0.12947
110,0.128052
110,0.126893
110,0.126735
110,0.119299
110,0.121721
110,0.116181
110,0.120097
110,0.117485
110,0.108812
110,0.114729
110,0.114206
110,0.114419
110,0.11277
110,0.106908
110,0.113257
110,0.111377
110,0.112979
110,0.113663
110,0.11345
110,0.11457
110,0.114629
