step,value
0,0.152529
0,0.152529
0,0.152529
0,0.152529
0,0.152529
0,0.152529
0,0.152529
0,0.152529
0,0.152529
0,0.152529
0,0.152529
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.069771
10,0.081834
20,0.054616
20,0.054616
20,0.05224
20,0.052716
20,0.052872
20,0.052872
20,0.054033
20,0.051392
20,0.051392
20,0.051392
20,0.051392
20,0.052371
20,0.057997
20,0.055223
20,0.055758
20,0.060692
20,0.056219
20,0.054489
30,0.039974
30,0.040114
30,0.04117
30,0.04096
30,0.039593
30,0.039593
30,0.040826
30,0.041022
30,0.040856
30,0.040856
30,0.040856
30,0.040995
30,0.04251
30,0.045891
30,0.04629
30,0.045374
30,0.043482
30,0.046671
30,0.044355
30,0.044285
30,0.043578
40,0.035963
40,0.036063
40,0.035241
40,0.035629
40,0.035349
40,0.035986
40,0.036318
40,0.03651
40,0.035773
40,0.036719
40,0.036719
40,0.03647
40,0.036764
40,0.036936
40,0.037233
40,0.036933
40,0.038662
40,0.038057
40,0.036396
40,0.039495
40,0.036505
40,0.039326
40,0.039205
40,0.039576
40,0.038654
40,0.038973
40,0.04253
40,0.043499
50,0.031082
50,0.031181
50,0.031322
50,0.03176
50,0.030983
50,0.030961
50,0.031432
50,0.031813
50,0.031213
50,0.030707
50,0.030861
50,0.031398
50,0.032412
50,0.033131
50,0.033344
50,0.033333
50,0.03192
50,0.031502
50,0.033811
50,0.033249
50,0.034056
50,0.033522
50,0.033854
50,0.033909
50,0.032979
50,0.033562
50,0.034129
50,0.033271
50,0.033491
50,0.031622
50,0.032701
50,0.044378
60,0.028304
60,0.028387
60,0.027641
60,0.027873
60,0.02861
60,0.027566
60,0.027484
60,0.027826
60,0.027499
60,0.027996
60,0.028479
60,0.027707
60,0.029074
60,0.030065
60,0.030219
60,0.030383
60,0.029833
60,0.029687
60,0.029687
60,0.030983
60,0.029872
60,0.031653
60,0.030175
60,0.030073
60,0.031334
60,0.029977
60,0.030288
60,0.031744
60,0.029968
60,0.0306
60,0.031374
60,0.030653
60,0.031886
60,0.03136
60,0.030972
60,0.035153
60,0.061335
60,0.047574
60,0.048948
60,0.046771
70,0.026664
70,0.02651
70,0.02667
70,0.026232
70,0.026693
70,0.026708
70,0.026207
70,0.026281
70,0.026906
70,0.026443
70,0.026534
70,0.026625
70,0.027159
70,0.02758
70,0.027691
70,0.027957
70,0.027975
70,0.028607
70,0.028336
70,0.027694
70,0.028659
70,0.028579
70,0.026891
70,0.027391
70,0.028428
70,0.027388
70,0.027282
70,0.028879
70,0.027573
70,0.027594
70,0.028498
70,0.028046
70,0.027047
70,0.02852
70,0.028612
70,0.028725
70,0.028279
70,0.02828
70,0.028511
70,0.028915
70,0.026735
70,0.027846
70,0.028248
70,0.027325
70,0.038425
80,0.022781
80,0.023237
80,0.022845
80,0.022949
80,0.022998
80,0.023457
80,0.022897
80,0.022964
80,0.022999
80,0.023269
80,0.023488
80,0.022818
80,0.025225
80,0.025546
80,0.025626
