# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,,1,200
2,0,,1,200
3,0,,1,200
4,0,,1,200
5,0,,1,200
6,0,,1,200
7,0,,1,200
8,0,,1,200
9,0,,1,200
10,0,,1,200
96,150,359,0,185
104,155,346,0,184
137,227,390,0,177
149,251,412,0,174
153,257,417,0,174
168,274,438,0,172
171,277,448,0,172
263,461,633,0,153
276,482,648,0,151
281,493,659,0,150
304,538,692,0,146
360,680,810,0,132
364,684,817,0,131
367,695,848,0,130
371,707,868,0,129
443,856,1031,0,114
487,921,1091,0,107
507,968,1144,0,103
595,1161,1329,0,83
603,1190,1325,0,81
643,1278,1448,0,72
695,1379,1594,0,62
711,1424,1625,0,57
719,1433,1649,0,56
742,1469,1651,0,53
815,1598,1803,0,40
859,1675,1857,0,32
865,1697,1892,0,30
924,1797,1974,0,20
933,1810,1979,0,19
957,1873,,1,12
