# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,118.2024,68.7024,0.0,0.896119,0.581227,0.0,0.0,0,0.0
1,11,0,0,164.6042,162.4244,57.1798,0.0,0.986757,0.35204,0.0,0.0,0,0.0
2,11,0,0,202.7357,200.992,56.7437,0.0,0.991399,0.282318,0.0,0.0,0,0.0
3,12,0,0,256.7523,249.7586,66.9937,0.0,0.972761,0.268234,0.0,0.0,0,0.0
4,12,0,0,305.0794,293.2233,71.8562,0.0,0.961137,0.245056,0.0,0.0,0,0.0
5,12,0,0,356.9814,338.3421,78.6392,0.0,0.947787,0.232425,0.0,0.0,0,0.0
6,12,0,0,412.1802,385.839,86.3412,0.0,0.936093,0.223775,0.0,0.0,0,0.0
7,12,0,0,470.5258,435.9579,94.5679,0.0,0.926533,0.21692,0.0,0.0,0,0.0
8,12,0,0,531.911,488.7529,103.1581,0.0,0.918862,0.211064,0.0,0.0,0,0.0
9,12,0,0,596.244,544.202,112.042,0.0,0.912717,0.205883,0.0,0.0,0,0.0
10,12,0,0,663.4385,602.2524,121.1862,0.0,0.907774,0.201222,0.0,0.0,0,0.0
11,13,3,0,781.5815,689.8651,120.5369,36.1795,0.882653,0.174725,0.04629,0.333333,0,0.0
12,13,3,0,859.3782,748.9149,139.2839,36.1795,0.871461,0.185981,0.0421,0.333333,0,0.0
13,14,6,0,991.3246,843.687,141.6172,76.0205,0.85107,0.167855,0.076686,0.167053,0,0.0
14,15,11,0,1160.7892,951.3592,138.9872,145.4428,0.81958,0.146093,0.125296,0.091205,0,0.0
15,16,16,0,1313.4509,1044.2808,159.7753,189.3947,0.795067,0.153,0.144196,0.064557,0,0.0
16,16,16,0,1417.5609,1115.331,192.8353,189.3947,0.786796,0.172895,0.133606,0.064557,0,0.0
17,17,20,0,1599.9779,1239.4132,191.9822,253.5825,0.774644,0.154898,0.158491,0.052032,0,0.0
18,18,24,0,1780.7404,1355.4981,208.1191,307.1231,0.761199,0.153537,0.172469,0.043496,0,0.0
19,18,24,0,1904.2177,1442.132,244.9626,307.1231,0.757336,0.169861,0.161286,0.043496,0,0.0
20,18,25,0,2048.0509,1551.3514,261.5239,325.1755,0.757477,0.168578,0.158773,0.041882,0,0.0
21,19,29,0,2264.6257,1700.6595,258.3588,400.6074,0.750967,0.151917,0.176898,0.036459,0,0.0
22,19,30,0,2423.1318,1808.6192,289.129,420.3836,0.746397,0.159862,0.173488,0.035322,0,0.0
23,20,31,0,2597.0369,1938.0112,318.2122,440.8135,0.746239,0.164195,0.169737,0.034272,0,0.0
24,20,34,0,2805.7819,2085.0434,319.8497,500.8888,0.743124,0.153402,0.17852,0.031364,0,0.0
25,20,35,0,2982.0694,2209.8709,348.8388,523.3597,0.741053,0.157855,0.175502,0.030572,0,0.0
26,20,36,0,3161.9056,2343.5649,371.7587,546.582,0.741187,0.15863,0.172865,0.029834,0,0.0
27,20,37,0,3345.0683,2482.4777,392.4574,570.1332,0.742131,0.158091,0.17044,0.029127,0,0.0
28,20,38,0,3531.8401,2625.3176,412.2197,594.3027,0.743329,0.157017,0.16827,0.02846,0,0.0
29,21,42,0,3809.4205,2815.9709,404.0847,694.365,0.739212,0.143497,0.182276,0.02604,0,0.0
30,21,43,0,4010.9113,2952.2699,443.4486,720.1928,0.73606,0.150206,0.179558,0.025492,0,0.0
31,21,47,0,4295.6263,3137.7705,435.8166,827.0392,0.730457,0.138894,0.192531,0.023504,0,0.0
32,23,57,0,4735.232,3389.3069,400.3196,1060.6055,0.715764,0.118113,0.223982,0.019277,0,0.0
33,23,59,0,4983.2458,3512.1354,477.4228,1108.6876,0.704789,0.135935,0.222483,0.018582,0,0.0
34,23,59,0,5184.1885,3645.1371,545.3637,1108.6876,0.703126,0.149614,0.213859,0.018582,0,0.0
35,25,62,0,5493.6097,3863.8341,562.7396,1192.036,0.703332,0.145643,0.216986,0.017704,0,0.0
36,26,73,0,6020.4647,4172.2639,487.1588,1491.042,0.693014,0.116761,0.247662,0.015071,0,0.0
37,26,77,0,6326.4997,4320.1583,571.1215,1565.2198,0.682867,0.132199,0.247407,0.014238,0,0.0
38,26,77,0,6559.5739,4468.5368,655.8172,1565.2198,0.681224,0.146763,0.238616,0.014238,0,0.0
39,26,79,0,6856.5906,4679.3257,678.9555,1628.3095,0.682457,0.145097,0.237481,0.013907,0,0.0
40,28,87,0,7377.9162,5002.5646,626.7094,1888.6421,0.678046,0.125278,0.255986,0.012722,0,0.0
41,29,94,0,7836.7365,5246.8616,655.9388,2078.936,0.669521,0.125015,0.265281,0.011749,0,0.0
42,29,96,0,8155.3267,5423.2727,746.2461,2130.8079,0.664998,0.137601,0.261278,0.011488,0,0.0
43,29,98,0,8492.3339,5642.7761,794.6464,2199.9114,0.664455,0.140825,0.259047,0.011271,0,0.0
44,29,102,0,8900.7739,5905.7937,801.9317,2338.0486,0.663515,0.135787,0.262679,0.010856,0,0.0
45,29,104,0,9251.9383,6131.3521,850.4816,2415.1046,0.66271,0.13871,0.261038,0.010683,0,0.0
46,30,108,0,9699.5305,6416.98,858.1651,2574.3855,0.661576,0.133733,0.265413,0.010359,0,0.0
47,31,110,0,10078.3619,6658.9804,920.0766,2654.3049,0.660721,0.138171,0.263367,0.010198,0,0.0
48,31,112,0,10454.7637,6911.6723,962.5363,2735.5551,0.661103,0.139262,0.261656,0.010042,0,0.0
49,31,116,0,10921.8527,7211.6542,960.9037,2904.2947,0.660296,0.133243,0.265916,0.009754,0,0.0
50,32,122,0,11468.745,7534.9492,957.266,3136.5297,0.656999,0.127043,0.273485,0.009301,0,0.0
51,32,123,0,11826.2469,7747.0233,1058.9361,3180.2875,0.65507,0.136689,0.268918,0.009236,0,0.0
52,32,129,0,12398.3856,8094.1555,1026.2342,3437.9959,0.652839,0.126787,0.277294,0.008843,0,0.0
53,33,130,0,12774.4138,8321.6828,1134.9609,3482.77,0.651434,0.136386,0.272636,0.008782,0,0.0
54,34,138,0,13456.0866,8729.0359,1069.6381,3827.4126,0.648705,0.122538,0.284437,0.008293,0,0.0
55,35,146,0,14103.1189,9066.2121,1089.4025,4122.5043,0.642852,0.120161,0.292312,0.00782,0,0.0
56,36,149,0,14571.7854,9311.4007,1212.5924,4227.7923,0.639002,0.130227,0.290136,0.007645,0,0.0
57,36,155,0,15198.4286,9672.0815,1210.3402,4496.0069,0.636387,0.125138,0.295821,0.007356,0,0.0
58,38,156,0,15635.2756,9933.6881,1346.4963,4545.0912,0.635338,0.135548,0.290695,0.007315,0,0.0
59,40,161,0,16281.6899,10342.7575,1343.6764,4795.256,0.635239,0.129915,0.294518,0.007118,0,0.0
60,40,162,0,16727.9987,10626.6824,1453.1598,4848.1565,0.635263,0.136746,0.289823,0.007082,0,0.0
61,41,163,0,17190.2083,10961.1864,1530.7358,4903.2862,0.637641,0.139651,0.285237,0.00705,0,0.0
62,41,169,0,17917.8246,11430.2678,1464.2273,5228.3295,0.637927,0.128101,0.291795,0.006849,0,0.0
63,41,183,0,18903.9016,11955.8955,1351.7911,5801.2149,0.632457,0.113065,0.306879,0.006335,0,0.0
64,41,195,0,19738.5133,12324.9711,1405.8676,6212.6746,0.624412,0.114067,0.314749,0.005891,0,0.0
65,41,198,0,20271.2113,12563.5789,1593.0226,6319.6098,0.619774,0.126797,0.311753,0.005789,0,0.0
66,44,201,0,20883.6143,12933.5119,1698.0189,6472.0835,0.619314,0.131288,0.309912,0.005704,0,0.0
67,44,209,0,21778.7196,13450.4544,1623.656,6924.6091,0.617596,0.120714,0.317953,0.005521,0,0.0
68,44,213,0,22423.7636,13785.4247,1743.4849,7114.854,0.614769,0.126473,0.317291,0.005415,0,0.0
69,44,221,0,23312.5749,14270.8425,1714.1014,7547.6309,0.612152,0.120112,0.323758,0.005228,0,0.0
70,45,227,0,24082.4542,14665.202,1797.5879,7844.6644,0.608958,0.122575,0.325742,0.005085,0,0.0
71,45,230,0,24724.3923,15014.2325,1918.8599,8016.2999,0.607264,0.127803,0.324226,0.005023,0,0.0
72,45,231,0,25259.9416,15354.3772,2049.3602,8081.2043,0.607855,0.133471,0.319922,0.005007,0,0.0
73,45,232,0,25802.2811,15742.7419,2131.2981,8153.2411,0.61013,0.135383,0.315989,0.004997,0,0.0
74,46,233,0,26356.7081,16159.9787,2201.9091,8224.8202,0.613126,0.136257,0.312058,0.004986,0,0.0
75,46,234,0,26911.2233,16583.0093,2257.1364,8301.0776,0.616212,0.136111,0.308462,0.004979,0,0.0
76,47,236,0,27555.4387,17056.362,2281.3418,8452.735,0.618984,0.133753,0.306754,0.004963,0,0.0
77,49,238,0,28221.5631,17527.8054,2334.4362,8604.3215,0.621078,0.133185,0.304885,0.004945,0,0.0
78,49,245,0,29240.2712,18153.9735,2213.5991,9117.6986,0.620855,0.121935,0.31182,0.004869,0,0.0
79,49,257,0,30434.6661,18757.5229,2127.2519,9794.8913,0.616321,0.113408,0.321833,0.004638,0,0.0
80,49,270,0,31541.3173,19241.7765,2167.0629,10377.478,0.61005,0.112623,0.329012,0.004378,0,0.0
81,49,282,0,32630.8084,19708.8565,2226.7315,10940.2204,0.603995,0.112981,0.335273,0.004161,0,0.0
82,49,292,0,33636.4503,20140.5607,2323.3704,11417.5191,0.598772,0.115358,0.339439,0.003996,0,0.0
83,49,296,0,34373.597,20474.304,2518.23,11626.0631,0.59564,0.122995,0.338227,0.003938,0,0.0
84,50,300,0,35206.7886,20936.078,2599.4709,11921.2398,0.59466,0.124162,0.338606,0.003899,0,0.0
85,51,302,0,35915.1336,21356.0116,2731.2368,12082.8852,0.594624,0.127891,0.336429,0.003885,0,0.0
86,52,304,0,36646.4333,21828.5745,2817.818,12260.0408,0.595653,0.129089,0.334549,0.003878,0,0.0
87,53,305,0,37301.1937,22279.4693,2934.7144,12352.0099,0.597286,0.131723,0.331142,0.003875,0,0.0
88,55,309,0,38246.1656,22901.9132,2903.2565,12715.9958,0.598803,0.126769,0.332478,0.003862,0,0.0
89,55,311,0,39010.8603,23378.1038,3004.7986,12902.9579,0.599272,0.12853,0.330753,0.003856,0,0.0
90,55,313,0,39777.0604,23877.4292,3084.8556,13089.7757,0.600281,0.129195,0.329079,0.003848,0,0.0
91,56,330,0,41479.1262,24821.4983,2738.3356,14199.2924,0.598409,0.110321,0.342324,0.003708,0,0.0
92,56,342,0,42755.9212,25335.4029,2829.5396,14870.9788,0.592559,0.111683,0.347811,0.003552,0,0.0
93,56,354,0,44044.9948,25870.6959,2900.6755,15553.6235,0.58737,0.112122,0.35313,0.003408,0,0.0
94,56,366,0,45346.8273,26413.3989,2965.8074,16247.621,0.582475,0.112284,0.358297,0.003276,0,0.0
95,57,378,0,46673.2814,26973.42,3031.4815,16953.38,0.57792,0.112388,0.363235,0.003154,0,0.0
96,57,384,0,47644.4132,27370.3718,3252.0416,17306.9999,0.574472,0.118816,0.363254,0.003097,0,0.0
