# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,10.7457,0.0,10.7457,10.7457,10.7457,10.7457,10.7457,10.7457,10.7457,10.7457
0,actif_liquide,11,6.2457,0.0,6.2457,6.2457,6.2457,6.2457,6.2457,6.2457,6.2457,6.2457
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.5812,0.0,0.5812,0.5812,0.5812,0.5812,0.5812,0.5812,0.5812,0.5812
0,taux_interne,11,0.1525,0.0,0.1525,0.1525,0.1525,0.1525,0.1525,0.1525,0.1525,0.1525
0,levier_entite,11,0.8961,0.0,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961
10,passif_total,12,50.1877,3.8764,37.3312,51.3565,51.3565,51.3565,51.3565,51.3565,51.3565,51.3565
10,actif_liquide,12,10.0988,0.6189,8.0462,10.2855,10.2855,10.2855,10.2855,10.2855,10.2855,10.2855
10,actif_total,12,55.2865,4.4953,40.3774,56.6419,56.6419,56.6419,56.6419,56.6419,56.6419,56.6419
10,ratio_L_P,12,0.2015,0.0042,0.2003,0.2003,0.2003,0.2003,0.2003,0.2003,0.2139,0.2155
10,taux_interne,12,0.0708,0.0033,0.0698,0.0698,0.0698,0.0698,0.0698,0.0698,0.0805,0.0818
10,levier_entite,12,0.9082,0.0049,0.9067,0.9067,0.9067,0.9067,0.9067,0.9067,0.9226,0.9246
20,passif_total,18,86.1862,7.3383,67.8706,77.6677,82.4357,87.5314,91.4939,94.6564,94.6564,94.6564
20,actif_liquide,18,14.5291,2.7987,8.563,11.1345,11.9756,15.6319,16.9003,17.5892,17.5892,17.5892
20,actif_total,18,113.7806,21.8156,73.7091,84.4086,89.6404,129.9205,130.0967,132.0754,132.7001,132.7001
20,ratio_L_P,18,0.1676,0.0231,0.1,0.1434,0.1533,0.1772,0.1857,0.1858,0.1859,0.1859
20,taux_interne,18,0.054,0.0025,0.0514,0.0514,0.0523,0.0535,0.0551,0.0568,0.0602,0.0607
20,levier_entite,18,0.7784,0.1138,0.6316,0.6508,0.6878,0.7286,0.9167,0.9212,0.9293,0.9308
30,passif_total,21,140.5843,14.422,114.7741,118.7104,127.4727,148.5609,149.7722,156.4525,159.4796,159.4796
30,actif_liquide,21,21.1166,4.2476,14.9014,16.5177,17.5015,21.707,24.637,27.458,27.4666,27.4666
30,actif_total,21,190.9958,47.4949,126.2917,131.212,140.0012,232.8244,233.7778,237.5891,239.6985,239.8361
30,ratio_L_P,21,0.1493,0.0191,0.1,0.1375,0.1432,0.1455,0.1656,0.1726,0.1753,0.1755
30,taux_interne,21,0.0423,0.0023,0.0396,0.04,0.0409,0.041,0.0443,0.0459,0.0466,0.0467
30,levier_entite,21,0.7674,0.1279,0.6208,0.6365,0.6428,0.685,0.9058,0.9105,0.9257,0.9295
40,passif_total,28,178.663,17.2917,132.1218,160.0742,166.5842,185.1943,190.2136,195.8269,200.9654,201.2966
40,actif_liquide,28,22.3825,5.0853,11.9913,18.5419,19.1558,21.7322,24.9001,28.3689,34.651,34.7779
40,actif_total,28,263.497,92.7964,139.1132,176.7599,183.3521,206.2505,370.6436,376.1538,383.4401,383.6992
40,ratio_L_P,28,0.1247,0.0226,0.0868,0.1,0.1,0.1313,0.1374,0.1462,0.1724,0.1728
40,taux_interne,28,0.0376,0.002,0.0352,0.0357,0.0363,0.0367,0.0387,0.0395,0.0432,0.0435
40,levier_entite,28,0.7453,0.1927,0.5003,0.5028,0.5257,0.9007,0.9074,0.909,0.9513,0.9519
50,passif_total,32,235.4672,25.4609,126.9403,217.5,222.7889,235.8785,253.9041,260.2669,264.3188,265.1351
50,actif_liquide,32,29.9146,6.2083,11.9913,25.3101,26.9797,28.4134,30.9496,37.8294,44.2059,44.9382
50,actif_total,32,358.3983,148.3074,133.9317,240.3419,245.9642,260.2178,549.0839,557.1648,570.8828,571.5704
50,ratio_L_P,32,0.1265,0.0192,0.0945,0.1,0.1108,0.1274,0.1357,0.1464,0.1674,0.1695
50,taux_interne,32,0.0328,0.0024,0.0307,0.031,0.0314,0.0326,0.0335,0.0339,0.0412,0.0444
50,levier_entite,32,0.7438,0.2117,0.4457,0.452,0.4766,0.9006,0.9053,0.9079,0.9387,0.9478
60,passif_total,40,265.6671,62.7652,66.4539,193.5058,254.5225,276.4969,308.7382,325.8035,330.8261,330.9665
60,actif_liquide,40,36.329,11.2222,10.123,25.0067,31.8706,34.2584,44.9254,52.9954,56.3257,56.3456
60,actif_total,40,418.2,238.0343,71.577,213.3043,281.6359,306.5571,769.8937,781.2694,805.3579,806.2997
60,ratio_L_P,40,0.1356,0.0164,0.1,0.1229,0.1249,0.1292,0.1454,0.1643,0.1713,0.172
60,taux_interne,40,0.0319,0.0069,0.0275,0.0277,0.0285,0.0301,0.0313,0.0363,0.0565,0.0613
60,levier_entite,40,0.7597,0.224,0.3859,0.4093,0.4281,0.9026,0.9045,0.9074,0.9319,0.9341
70,passif_total,45,325.8934,30.7412,169.3221,304.7754,309.3561,328.3183,349.7662,355.4716,363.6853,363.99
70,actif_liquide,45,39.9464,7.087,11.9913,35.1542,37.3103,38.64,41.0812,53.2198,54.2884,54.3173
70,actif_total,45,535.1656,310.9254,176.3135,337.6198,343.7012,362.9355,811.0477,1062.8501,1098.6704,1100.0413
70,ratio_L_P,45,0.1219,0.0159,0.0708,0.1,0.1155,0.1231,0.1286,0.1489,0.1512,0.1527
70,taux_interne,45,0.0278,0.0018,0.0262,0.0265,0.0267,0.0276,0.0284,0.0286,0.0342,0.0384
70,levier_entite,45,0.7528,0.2488,0.3196,0.3349,0.4348,0.9025,0.9046,0.9093,0.94,0.9603
80,passif_total,49,392.6893,46.0704,342.8225,346.8301,360.0633,375.4558,392.9062,474.2079,480.9681,481.724
80,actif_liquide,49,44.2258,2.9441,35.9766,40.8605,42.9017,43.9949,46.1732,47.9241,49.8593,49.9839
80,actif_total,49,643.7004,417.5371,378.8236,388.4,400.807,414.1014,481.1871,1395.4268,1446.1765,1447.9489
80,ratio_L_P,49,0.1136,0.0101,0.0972,0.1,0.1,0.1157,0.1208,0.1261,0.1305,0.1306
80,taux_interne,49,0.0254,0.0014,0.0228,0.023,0.0252,0.0258,0.0263,0.0268,0.027,0.027
80,levier_entite,49,0.7655,0.2402,0.3206,0.3357,0.8165,0.9035,0.9067,0.9087,0.9225,0.9228
90,passif_total,55,434.1351,103.7863,189.8729,318.6689,397.3518,420.1171,442.8633,587.4247,622.9835,628.7793
90,actif_liquide,55,56.0883,20.0348,23.3057,37.5405,47.6973,49.8012,56.5535,93.4932,104.6864,106.1765
90,actif_total,55,723.2193,556.7434,210.5429,348.6601,439.6063,464.8455,492.1733,1789.552,1862.7424,1866.2796
90,ratio_L_P,55,0.1269,0.0167,0.1,0.1168,0.1186,0.1201,0.1292,0.1596,0.1687,0.1689
90,taux_interne,55,0.0246,0.0036,0.0199,0.0206,0.0238,0.0244,0.0251,0.0283,0.0362,0.0363
90,levier_entite,55,0.778,0.2327,0.3182,0.3292,0.8796,0.9025,0.9039,0.9052,0.9184,0.9223
100,passif_total,58,512.0906,55.2368,211.6294,470.9123,477.9115,511.7503,547.7593,574.644,579.8769,580.0739
100,actif_liquide,58,58.5752,8.935,11.9913,54.8282,56.2084,57.7723,59.7883,61.8706,87.2735,88.0839
100,actif_total,58,899.424,685.8573,218.6208,522.1913,532.0466,575.7995,602.1177,2257.1316,2358.1333,2365.428
100,ratio_L_P,58,0.114,0.0132,0.0567,0.1,0.1095,0.1145,0.1179,0.1278,0.1508,0.152
100,taux_interne,58,0.0222,0.0018,0.0208,0.0209,0.0214,0.0221,0.0229,0.023,0.028,0.0344
100,levier_entite,58,0.7671,0.2608,0.2355,0.2526,0.8716,0.9029,0.9063,0.9083,0.9362,0.968
110,passif_total,68,526.9976,74.5323,124.8976,483.1897,503.0197,526.3569,551.8423,615.032,641.1283,645.3718
110,actif_liquide,68,61.3638,13.6034,11.9913,56.6836,57.7107,60.2978,61.9714,69.121,99.5586,99.9406
110,actif_total,68,957.4141,856.5168,131.889,535.1773,555.8147,584.7298,621.0598,2816.5909,2954.6265,2966.8757
110,ratio_L_P,68,0.1155,0.0142,0.072,0.1,0.1116,0.1147,0.1179,0.1272,0.1559,0.1559
110,taux_interne,68,0.0221,0.003,0.0197,0.0202,0.0213,0.0218,0.0223,0.0227,0.0339,0.0447
110,levier_entite,68,0.7797,0.2576,0.2123,0.2188,0.8739,0.9029,0.9055,0.9077,0.9471,0.9473
120,passif_total,73,586.7997,72.3253,183.9142,539.0508,566.2476,587.1781,608.6493,676.1637,698.8301,700.1296
120,actif_liquide,73,64.6496,8.5864,11.9913,62.1027,63.1729,66.1601,67.6869,69.5821,76.7448,77.7196
120,actif_total,73,1094.6551,1050.0684,190.9055,606.7764,625.9657,650.7632,671.1076,3470.1869,3648.5262,3662.5921
120,ratio_L_P,73,0.1099,0.0092,0.0652,0.1,0.1078,0.1115,0.115,0.1171,0.1262,0.1269
120,taux_interne,73,0.0208,0.0022,0.0189,0.0192,0.0203,0.0206,0.021,0.0215,0.0298,0.0369
120,levier_entite,73,0.7845,0.2606,0.1848,0.1962,0.8828,0.9038,0.9068,0.9087,0.9364,0.9634
130,passif_total,83,597.3682,190.1679,175.3653,373.2907,535.9131,567.8769,612.8327,962.6479,1021.2674,1023.2199
130,actif_liquide,83,75.1958,37.5945,11.9913,46.8491,59.7591,65.0759,71.2678,152.5119,179.7556,180.046
130,actif_total,83,1113.473,1278.8032,182.8371,415.1398,592.2619,626.964,689.6886,4210.9088,4445.6495,4471.4458
130,ratio_L_P,83,0.1216,0.0202,0.0682,0.1107,0.1123,0.1154,0.122,0.1563,0.1774,0.1778
130,taux_interne,83,0.0214,0.0042,0.0156,0.0161,0.0202,0.021,0.0216,0.0259,0.0377,0.0378
130,levier_entite,83,0.8034,0.2339,0.2144,0.2384,0.8831,0.9031,0.9056,0.9071,0.9332,0.9618
