step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,11,11,1,24.5967,0.0,0,63.2024,0,0.0,0.0,0,0,131.9048,118.2024,68.7024,10.7457,0.152529
1,11,11,0,36.0587,0.0,0,45.486,0,0.0,0.0,0,0,164.6042,162.4244,57.1798,14.7659,0.130119
2,11,11,0,42.269,0.0,0,40.7161,0,0.0,0.0,0,0,202.7357,200.992,56.7437,18.272,0.116971
3,12,12,1,49.2564,0.0,0,46.6865,0,0.0,0.0,0,0,256.7523,249.7586,66.9937,20.8132,0.111036
4,12,12,0,54.5532,0.0,0,47.2598,0,0.0,0.0,0,0,305.0794,293.2233,71.8562,24.4353,0.101939
5,12,12,0,59.1873,0.0,0,49.7833,0,0.0,0.0,0,0,356.9814,338.3421,78.6392,28.1952,0.094716
6,12,12,0,63.6107,0.0,0,53.0637,0,0.0,0.0,0,0,412.1802,385.839,86.3412,32.1532,0.088603
7,12,12,0,67.9482,0.0,0,56.6357,0,0.0,0.0,0,0,470.5258,435.9579,94.5679,36.3298,0.083296
8,12,12,0,72.2406,0.0,0,60.3142,0,0.0,0.0,0,0,531.911,488.7529,103.1581,40.7294,0.078627
9,12,12,0,76.5012,0.0,0,64.0242,0,0.0,0.0,0,0,596.244,544.202,112.042,45.3502,0.074482
10,12,12,0,80.7341,0.0,0,67.7344,0,0.0,0.0,0,0,663.4385,602.2524,121.1862,50.1877,0.070776
11,13,13,1,87.1758,0.0,3,57.2783,0,0.0,0.0,36.1795,3,781.5815,689.8651,120.5369,53.0665,0.068874
12,13,13,0,94.5967,2.5474,0,71.5471,0,0.0,0.0,36.1795,3,859.3782,748.9149,139.2839,57.6088,0.066128
13,14,14,1,100.7851,2.5474,3,63.6094,0,0.0,0.0,76.0205,6,991.3246,843.687,141.6172,60.2634,0.064688
14,15,15,1,110.7635,5.1057,5,48.7236,0,0.0,0.0,145.4428,11,1160.7892,951.3592,138.9872,63.4239,0.062857
15,16,16,1,121.6497,9.3775,5,61.497,0,0.0,0.0,189.3947,16,1313.4509,1044.2808,159.7753,65.2676,0.06202
16,16,16,0,129.1747,12.1074,0,90.3357,0,0.0,0.0,189.3947,16,1417.5609,1115.331,192.8353,69.7082,0.060047
17,17,17,1,135.7066,12.1074,4,75.601,0,0.0,0.0,253.5825,20,1599.9779,1239.4132,191.9822,72.9067,0.058678
18,18,18,1,147.2956,15.8269,4,80.6326,0,0.0,0.0,307.1231,24,1780.7404,1355.4981,208.1191,75.3055,0.057769
19,18,18,0,156.0711,18.8746,0,111.9438,0,0.0,0.0,307.1231,24,1904.2177,1442.132,244.9626,80.1184,0.056049
20,18,18,0,160.9415,18.8746,1,118.2098,0,0.0,0.0,325.1755,25,2048.0509,1551.3514,261.5239,86.1862,0.054016
21,19,19,1,169.1841,19.85,4,98.1031,0,0.0,0.0,400.6074,29,2264.6257,1700.6595,258.3588,89.5084,0.05299
22,19,19,0,179.6023,23.7638,1,120.2967,0,0.0,0.0,420.3836,30,2423.1318,1808.6192,289.129,95.1905,0.051358
23,20,20,1,187.4798,24.7659,1,138.2345,0,0.0,0.0,440.8135,31,2597.0369,1938.0112,318.2122,96.9006,0.052088
24,20,20,0,195.7082,25.77,3,123.717,0,0.0,0.0,500.8888,34,2805.7819,2085.0434,319.8497,104.2522,0.049126
25,20,20,0,203.9944,28.6357,1,142.0575,0,0.0,0.0,523.3597,35,2982.0694,2209.8709,348.8388,110.4935,0.047736
26,20,20,0,209.9879,29.6856,1,152.6692,0,0.0,0.0,546.582,36,3161.9056,2343.5649,371.7587,117.1782,0.046357
27,20,20,0,216.2428,30.7311,1,160.2329,0,0.0,0.0,570.1332,37,3345.0683,2482.4777,392.4574,124.1239,0.045046
28,20,20,0,222.552,31.7723,1,166.32,0,0.0,0.0,594.3027,38,3531.8401,2625.3176,412.2197,131.2659,0.043809
29,21,21,1,231.0908,32.8094,4,136.0974,0,0.0,0.0,694.365,42,3809.4205,2815.9709,404.0847,134.0939,0.043374
30,21,21,0,242.8205,36.9734,1,164.6907,0,0.0,0.0,720.1928,43,4010.9113,2952.2699,443.4486,140.5843,0.042345
31,21,21,0,248.6561,38.0313,4,135.5996,0,0.0,0.0,827.0392,47,4295.6263,3137.7705,435.8166,149.4176,0.040971
32,23,23,2,261.0317,42.3278,10,68.6254,0,0.0,0.0,1060.6055,57,4735.232,3389.3069,400.3196,147.3612,0.04128
33,23,23,0,279.0043,51.7319,2,140.2325,0,0.0,0.0,1108.6876,59,4983.2458,3512.1354,477.4228,152.7015,0.040506
34,23,23,0,284.1161,53.6621,0,200.9445,0,0.0,0.0,1108.6876,59,5184.1885,3645.1371,545.3637,158.4842,0.039784
35,25,25,2,293.86,53.6621,3,195.9513,0,0.0,0.0,1192.036,62,5493.6097,3863.8341,562.7396,154.5534,0.04183
36,26,26,1,310.2862,56.8914,11,79.2005,0,0.0,0.0,1491.042,73,6020.4647,4172.2639,487.1588,160.4717,0.039596
37,26,26,0,329.0262,68.3055,4,154.5619,0,0.0,0.0,1565.2198,77,6326.4997,4320.1583,571.1215,166.1599,0.038841
38,26,26,0,334.9998,71.1331,0,232.1817,0,0.0,0.0,1565.2198,77,6559.5739,4468.5368,655.8172,171.8668,0.038217
39,26,26,0,340.6267,71.1331,2,234.4699,0,0.0,0.0,1628.3095,79,6856.5906,4679.3257,678.9555,179.9741,0.037353
40,28,28,2,353.0189,73.4345,8,143.8928,0,0.0,0.0,1888.6421,87,7377.9162,5002.5646,626.7094,178.663,0.037553
41,29,29,1,376.0325,82.8814,7,146.2544,0,0.0,0.0,2078.936,94,7836.7365,5246.8616,655.9388,180.9263,0.037297
42,29,29,0,389.6677,89.7363,2,226.5764,0,0.0,0.0,2130.8079,96,8155.3267,5423.2727,746.2461,187.0094,0.036635
43,29,29,0,396.3206,91.6038,2,255.9654,0,0.0,0.0,2199.9114,98,8492.3339,5642.7761,794.6464,194.5785,0.035922
44,29,29,0,404.236,94.0441,4,234.8359,0,0.0,0.0,2338.0486,102,8900.7739,5905.7937,801.9317,203.6481,0.035092
45,29,29,0,413.6355,98.8166,2,263.7182,0,0.0,0.0,2415.1046,104,9251.9383,6131.3521,850.4816,211.4259,0.034433
46,30,30,1,423.7226,101.4205,4,241.0742,0,0.0,0.0,2574.3855,108,9699.5305,6416.98,858.1651,213.8993,0.03434
47,31,31,1,440.4233,106.7052,2,282.4206,0,0.0,0.0,2654.3049,110,10078.3619,6658.9804,920.0766,214.8058,0.03459
48,31,31,0,452.6864,109.3417,2,301.5212,0,0.0,0.0,2735.5551,112,10454.7637,6911.6723,962.5363,222.9572,0.033705
49,31,31,0,461.973,111.9619,4,266.3758,0,0.0,0.0,2904.2947,116,10921.8527,7211.6542,960.9037,232.634,0.032856
50,32,32,1,474.7025,117.296,6,227.1931,0,0.0,0.0,3136.5297,122,11468.745,7534.9492,957.266,235.4672,0.032778
51,32,32,0,490.1923,124.5938,1,315.8153,0,0.0,0.0,3180.2875,123,11826.2469,7747.0233,1058.9361,242.0945,0.032256
52,32,32,0,497.2954,125.9508,6,241.1643,0,0.0,0.0,3437.9959,129,12398.3856,8094.1555,1026.2342,252.9424,0.031493
53,33,33,1,510.8794,133.827,1,336.4362,0,0.0,0.0,3482.77,130,12774.4138,8321.6828,1134.9609,252.1722,0.032306
54,34,34,1,523.5338,135.184,8,220.8441,0,0.0,0.0,3827.4126,138,13456.0866,8729.0359,1069.6381,256.7363,0.031487
55,35,35,1,545.6267,145.5176,8,208.2653,0,0.0,0.0,4122.5043,146,14103.1189,9066.2121,1089.4025,259.0346,0.031278
56,36,36,1,564.4804,154.353,3,312.7248,0,0.0,0.0,4227.7923,149,14571.7854,9311.4007,1212.5924,258.65,0.031519
57,36,36,0,576.8454,157.5086,6,275.0942,0,0.0,0.0,4496.0069,155,15198.4286,9672.0815,1210.3402,268.6689,0.030578
58,38,38,2,594.093,165.4352,1,392.3639,0,0.0,0.0,4545.0912,156,15635.2756,9933.6881,1346.4963,261.4128,0.034456
59,40,40,2,610.6666,166.8639,5,343.7785,0,0.0,0.0,4795.256,161,16281.6899,10342.7575,1343.6764,258.5689,0.032691
60,40,40,0,635.8541,174.0467,1,433.8795,0,0.0,0.0,4848.1565,162,16727.9987,10626.6824,1453.1598,265.6671,0.031925
61,41,41,1,647.8335,175.544,1,482.9079,0,0.0,0.0,4903.2862,163,17190.2083,10961.1864,1530.7358,267.346,0.032302
62,41,41,0,661.5422,177.0744,6,359.1619,0,0.0,0.0,5228.3295,169,17917.8246,11430.2678,1464.2273,278.787,0.030539
63,41,41,0,680.5933,185.905,14,177.2476,0,0.0,0.0,5801.2149,183,18903.9016,11955.8955,1351.7911,291.6072,0.029398
64,41,41,0,699.1897,201.615,12,192.6339,0,0.0,0.0,6212.6746,195,19738.5133,12324.9711,1405.8676,300.6091,0.028883
65,41,41,0,710.4893,212.9682,3,374.0719,0,0.0,0.0,6319.6098,198,20271.2113,12563.5789,1593.0226,306.4288,0.028608
66,44,44,3,724.0421,215.9128,3,449.6308,0,0.0,0.0,6472.0835,201,20883.6143,12933.5119,1698.0189,293.9435,0.030907
67,44,44,0,745.7248,220.0839,8,318.6872,0,0.0,0.0,6924.6091,209,21778.7196,13450.4544,1623.656,305.6921,0.028864
68,44,44,0,767.2259,232.2785,4,409.3345,0,0.0,0.0,7114.854,213,22423.7636,13785.4247,1743.4849,313.3051,0.028368
69,44,44,0,777.7679,237.3986,8,323.9494,0,0.0,0.0,7547.6309,221,23312.5749,14270.8425,1714.1014,324.3373,0.027807
70,45,45,1,794.2293,248.9706,6,373.3428,0,0.0,0.0,7844.6644,227,24082.4542,14665.202,1797.5879,325.8934,0.027826
71,45,45,0,811.284,256.9053,3,466.199,0,0.0,0.0,8016.2999,230,24724.3923,15014.2325,1918.8599,333.6496,0.027451
72,45,45,0,821.2315,261.4541,1,571.025,0,0.0,0.0,8081.2043,231,25259.9416,15354.3772,2049.3602,341.2084,0.027141
73,45,45,0,830.4871,263.1382,1,618.9154,0,0.0,0.0,8153.2411,232,25802.2811,15742.7419,2131.2981,349.8387,0.026829
74,46,46,1,842.8864,264.9465,1,651.0125,0,0.0,0.0,8224.8202,233,26356.7081,16159.9787,2201.9091,351.3039,0.027233
75,46,46,0,858.0568,266.6939,1,665.3728,0,0.0,0.0,8301.0776,234,26911.2233,16583.0093,2257.1364,360.5002,0.026654
76,47,47,1,872.4091,268.522,2,643.7555,0,0.0,0.0,8452.735,236,27555.4387,17056.362,2281.3418,362.9013,0.026736
77,49,49,2,894.8897,272.0614,2,646.2841,0,0.0,0.0,8604.3215,238,28221.5631,17527.8054,2334.4362,357.7103,0.027707
78,49,49,0,915.9957,275.5182,7,458.4471,0,0.0,0.0,9117.6986,245,29240.2712,18153.9735,2213.5991,370.4893,0.026374
79,49,49,0,938.4222,287.1724,12,284.5362,0,0.0,0.0,9794.8913,257,30434.6661,18757.5229,2127.2519,382.8066,0.025769
80,49,49,0,955.9796,302.6097,13,271.9174,0,0.0,0.0,10377.478,270,31541.3173,19241.7765,2167.0629,392.6893,0.025352
81,49,49,0,969.4137,316.1093,12,284.2732,0,0.0,0.0,10940.2204,282,32630.8084,19708.8565,2226.7315,402.2216,0.025
82,49,49,0,981.7907,329.2173,10,343.6826,0,0.0,0.0,11417.5191,292,33636.4503,20140.5607,2323.3704,411.0319,0.024705
83,49,49,0,992.8382,340.4066,4,523.1106,0,0.0,0.0,11626.0631,296,34373.597,20474.304,2518.23,417.8429,0.024506
84,50,50,1,1003.2302,345.3112,4,566.1833,0,0.0,0.0,11921.2398,300,35206.7886,20936.078,2599.4709,418.7216,0.024644
85,51,51,1,1023.072,352.1454,2,667.0098,0,0.0,0.0,12082.8852,302,35915.1336,21356.0116,2731.2368,418.7453,0.024799
86,52,52,1,1041.8256,355.8126,2,712.4275,0,0.0,0.0,12260.0408,304,36646.4333,21828.5745,2817.818,419.7803,0.024899
87,53,53,1,1061.9583,359.7368,1,785.2972,0,0.0,0.0,12352.0099,305,37301.1937,22279.4693,2934.7144,420.3673,0.025226
88,55,55,2,1082.0098,361.7495,4,688.7474,0,0.0,0.0,12715.9958,309,38246.1656,22901.9132,2903.2565,416.3984,0.02552
