step,volume_joules,nb_entites,ratio_destruction
187,411.6161,1,0.001912
189,438.1655,1,0.002004
203,470.8255,1,0.001832
204,415.3094,1,0.001605
207,490.2943,1,0.001853
211,493.4989,1,0.001779
213,484.9507,1,0.00172
216,1437.5258,3,0.004966
217,470.4123,1,0.001649
218,482.1491,1,0.001693
220,1137.9852,2,0.003934
221,1079.4215,2,0.003743
225,1143.618,2,0.003836
226,559.0965,1,0.001889
228,511.6853,1,0.001703
232,593.9638,1,0.001918
237,1173.9689,2,0.003642
241,608.1375,1,0.001847
246,1188.1342,2,0.003465
247,606.6436,1,0.001788
248,614.8436,1,0.001814
249,680.2309,1,0.001993
256,652.3417,1,0.001805
259,1403.1272,2,0.00384
260,699.197,1,0.001924
261,701.7698,1,0.001932
263,1985.4621,3,0.005431
264,1349.4736,2,0.003729
265,1438.5153,2,0.004027
266,1544.7969,2,0.004371
269,750.146,1,0.002112
270,1419.3874,2,0.004019
271,705.706,1,0.002009
272,716.8987,1,0.002045
273,686.1615,1,0.001958
274,781.0933,1,0.002237
276,664.8901,1,0.001877
277,753.568,1,0.002124
281,716.6954,1,0.001973
285,683.2109,1,0.001867
295,667.6223,1,0.001699
302,707.6117,1,0.001723
306,669.6145,1,0.001594
307,643.7375,1,0.001527
308,681.1957,1,0.00162
309,678.6982,1,0.001617
311,663.1684,1,0.001569
315,686.8115,1,0.001589
317,1582.2399,2,0.003629
318,790.9616,1,0.001838
322,1428.9113,2,0.00325
331,760.6729,1,0.001646
334,719.3819,1,0.001531
338,715.387,1,0.001493
339,735.7124,1,0.001541
340,1446.0384,2,0.003019
341,702.0215,1,0.001483
343,3182.9522,4,0.006683
345,737.0607,1,0.001574
346,1494.1034,2,0.003192
347,1392.4463,2,0.003007
348,2497.8676,3,0.005456
351,2352.0927,3,0.005179
355,839.611,1,0.001841
356,1573.0538,2,0.003467
359,1568.8488,2,0.003446
360,752.8836,1,0.001673
362,805.2376,1,0.001783
365,832.4702,1,0.001815
368,784.4799,1,0.001704
369,1665.5798,2,0.00361
371,968.5562,1,0.002118
372,1752.6715,2,0.003844
373,790.4191,1,0.001753
374,2610.5522,3,0.005812
375,790.7819,1,0.0018
376,957.8839,1,0.002191
377,1861.11,2,0.004281
378,1642.6386,2,0.00383
379,1680.6841,2,0.00397
380,977.3704,1,0.002342
381,1935.0068,2,0.004682
382,849.4378,1,0.00208
388,944.2221,1,0.002257
389,972.1847,1,0.002338
390,2532.8524,3,0.006123
392,937.5557,1,0.002309
394,884.0362,1,0.002186
398,869.8149,1,0.002121
401,975.4979,1,0.002366
403,1989.3223,2,0.00481
410,848.1025,1,0.00202
412,1835.0765,2,0.004364
413,925.282,1,0.002233
414,976.8702,1,0.002372
415,1792.7009,2,0.00439
416,850.1729,1,0.002117
417,980.222,1,0.002444
418,818.6153,1,0.002056
419,1769.4549,2,0.004474
421,900.5763,1,0.002305
427,1020.7894,1,0.002552
433,1827.846,2,0.004474
437,2903.969,3,0.007087
438,1017.6228,1,0.002563
440,2875.116,3,0.007273
442,884.6394,1,0.002288
