# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
183,1,289.7698,899.6393,292.2424,192042.5411,78935.6121,18848.7716,116,0.001509,0.0,0,1,292.2424
185,1,351.2035,1005.099,353.5423,194339.4736,79634.1175,19806.1334,115,0.001807,0.0,0,1,353.5423
187,1,302.4785,880.1617,303.1071,197092.0638,81087.8159,19896.6336,115,0.001535,0.0,0,1,303.1071
191,1,273.7669,895.7038,277.3532,204508.7079,84338.3348,20125.1379,117,0.001339,0.0,0,1,277.3532
192,3,993.0188,3017.0501,997.0894,205535.6398,85030.7433,20103.3039,117,0.004831,0.0,0,3,309.8614
193,1,293.9799,917.7659,294.7342,203041.2073,84466.2712,20566.0062,114,0.001448,0.0,0,1,294.7342
194,2,619.7732,1862.9027,624.5964,203357.3624,84708.9046,20908.011,113,0.003048,0.0,0,2,333.9731
195,2,557.1438,1799.0113,560.8377,202289.1033,84607.97,21227.2002,111,0.002754,0.0,0,2,300.2186
197,2,647.616,2043.6849,655.7959,205478.5988,86943.6402,19994.9946,110,0.003152,0.0,0,2,339.476
198,1,375.0793,1112.8477,379.1719,204267.7004,86627.671,20485.1479,109,0.001836,0.0,0,1,379.1719
199,1,284.9322,912.8339,285.4246,204178.9618,86620.3748,20915.0271,108,0.001396,0.0,0,1,285.4246
200,1,438.0636,1240.4632,441.5086,204466.0291,86864.2178,21159.2539,107,0.002142,0.0,0,1,441.5086
201,3,1174.0205,3424.1404,1182.1436,206805.721,89006.7511,19345.6246,107,0.005677,0.0,0,3,406.3246
202,1,315.1769,1043.8106,319.8081,203743.7002,88028.6638,19913.796,105,0.001547,0.0,0,1,319.8081
205,2,655.6251,2010.8351,659.7589,209713.0677,90917.5231,18946.9325,105,0.003126,0.0,0,2,346.5899
206,1,306.0042,998.0582,309.7282,209830.8237,91233.4918,18730.2617,104,0.001458,0.0,0,1,309.7282
211,1,382.3689,1247.9938,386.7332,221544.2907,94997.5859,18625.8192,108,0.001726,0.0,0,1,386.7332
212,1,298.7248,1062.8329,301.1211,221158.4072,94070.9051,19983.8606,108,0.001351,0.0,0,1,301.1211
214,2,810.2646,2467.8641,813.2086,224212.8284,94875.9956,20449.1774,108,0.003614,0.0,0,2,475.2783
217,2,1203.7841,3352.5299,1208.9609,228386.5332,95953.809,20855.4521,106,0.005271,0.0,0,2,631.1702
218,1,324.3333,1174.5851,326.9862,225094.436,94642.8793,21675.2157,104,0.001441,0.0,0,1,326.9862
219,1,661.1243,1803.7954,665.0462,226720.9163,95865.0865,20816.2054,103,0.002916,0.0,0,1,665.0462
220,1,349.755,1226.3684,353.318,225955.8878,95419.4707,21304.6417,103,0.001548,0.0,0,1,353.318
221,3,1415.1028,4393.0638,1416.8458,227994.4534,96869.3955,20181.8395,102,0.006207,0.0,0,3,397.4351
223,1,373.0256,1312.8535,378.0256,228019.6271,97428.9257,19512.759,99,0.001636,0.0,0,1,378.0256
226,1,373.4903,1319.6812,376.6039,232287.6536,97584.6017,20929.4193,99,0.001608,0.0,0,1,376.6039
229,1,639.2631,1861.2788,639.4192,240502.4869,100706.1812,19506.1839,103,0.002658,0.0,0,1,639.4192
230,1,564.1409,1738.1461,569.1409,239752.6265,99739.3466,20524.2544,102,0.002353,0.0,0,1,569.1409
231,1,530.2295,1688.3753,532.3568,239010.3645,98946.0654,21412.4595,101,0.002218,0.0,0,1,532.3568
232,1,598.0202,1801.8098,600.1287,238236.7687,98311.7456,22153.6692,100,0.00251,0.0,0,1,600.1287
233,2,1162.1274,3594.8359,1170.0258,237412.148,97897.3691,22583.5471,99,0.004895,0.0,0,2,595.0237
234,1,401.241,1452.6522,402.2031,233854.3294,96740.1957,23169.596,98,0.001716,0.0,0,1,402.2031
238,2,861.2917,3003.9112,864.114,241601.9275,100079.477,21768.0971,98,0.003565,0.0,0,2,475.1132
239,1,458.6523,1496.9566,458.8625,238456.9772,98646.2649,22900.742,96,0.001923,0.0,0,1,458.8625
241,1,444.6756,1606.9414,445.8797,239218.822,98608.3933,23571.8305,96,0.001859,0.0,0,1,445.8797
243,2,855.5978,3130.1697,857.9505,244513.4416,101607.0463,21210.5114,95,0.003499,0.0,0,2,459.612
244,1,507.0985,1780.817,509.7241,244105.4415,102190.9878,20289.0596,93,0.002077,0.0,0,1,509.7241
