step,value
0,9.793077
0,9.793077
0,9.793077
0,9.793077
0,9.793077
0,9.793077
0,9.793077
0,9.793077
0,9.793077
0,9.793077
0,9.793077
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,19.84887
10,15.856712
20,34.041459
20,32.879342
20,31.443018
20,27.165064
20,23.860894
20,35.354797
20,35.354797
20,35.354797
20,35.354797
20,35.354797
20,35.354797
20,30.423689
20,18.472539
20,19.136056
20,18.416736
20,17.640724
20,15.765117
20,14.537751
30,56.92715
30,56.309845
30,55.689058
30,54.415704
30,53.74693
30,51.425824
30,49.293667
30,47.872948
30,46.072676
30,30.554694
30,30.554694
30,47.560119
30,33.688511
30,30.532277
30,29.764372
30,29.001047
30,27.482881
30,26.72395
30,28.652658
30,26.938884
30,16.685704
40,51.762107
40,30.336037
40,62.541477
40,69.005301
40,61.727581
40,61.414926
40,60.508533
40,60.06752
40,59.63739
40,30.21378
40,70.184817
40,30.303781
40,51.195525
40,43.718877
40,42.824837
40,41.935849
40,40.172069
40,39.296627
40,38.705372
40,36.684083
40,34.431469
40,34.207344
40,34.742571
40,31.012181
40,31.906878
40,28.438899
40,11.991347
40,11.900384
50,66.979598
50,39.691505
50,86.837621
50,54.716869
50,85.179777
50,89.276093
50,78.748713
50,78.328998
50,65.395613
50,90.107519
50,86.863713
50,80.397478
50,70.080303
50,58.328258
50,57.335706
50,56.347107
50,54.380931
50,53.402672
50,48.831621
50,46.563586
50,44.243922
50,44.612509
50,44.805567
50,44.913608
50,43.539097
50,48.732899
50,45.076054
50,46.885992
50,45.847912
50,31.745368
50,29.816576
50,11.991347
60,47.640586
60,69.250297
60,69.121444
60,68.739222
60,67.760027
60,67.445799
60,66.296717
60,65.976665
60,97.735726
60,47.558628
60,94.810024
60,82.312484
60,89.700475
60,73.889588
60,72.826234
60,71.765962
60,69.653888
60,68.601291
60,59.847693
60,57.38392
60,54.756543
60,54.050968
60,54.249965
60,52.229549
60,51.650301
60,55.529569
60,52.178967
60,54.225603
60,54.026974
60,57.565934
60,50.949009
60,49.120669
60,47.102175
60,42.827768
60,43.061927
60,38.559308
60,25.493019
60,24.992688
60,18.729017
60,18.130922
70,56.533618
70,101.319994
70,100.660139
70,113.032492
70,57.407388
70,79.709932
70,55.938039
70,118.688896
70,107.665739
70,113.10644
70,93.391118
70,118.801117
70,91.052844
70,90.000625
70,88.890518
70,87.782895
70,85.574423
70,84.472696
70,71.554161
70,68.944539
70,66.046412
70,64.14035
70,64.354787
70,59.841376
70,67.304307
70,60.99384
70,58.312674
70,59.583998
70,59.423616
70,63.174856
70,66.170281
70,67.05602
70,61.941634
70,63.923175
70,60.636455
70,61.266174
70,62.124287
70,62.909659
70,63.319667
70,58.368551
70,56.209146
70,40.226014
70,39.445238
70,40.392738
70,11.991347
80,67.830509
80,121.758371
80,120.739012
80,120.715579
80,119.43543
80,146.577757
80,131.406456
80,130.333489
80,94.373303
80,92.575067
80,145.217763
80,87.641889
80,125.348226
80,106.329961
80,105.193379
80,104.058921
80,101.795832
80,100.66627
80,83.728802
80,81.019996
80,77.899394
80,74.767832
80,74.99472
80,78.217475
80,75.184351
80,76.182757
80,74.421307
80,77.059591
80,77.493151
80,67.704407
80,74.380614
80,75.759725
80,67.713071
80,68.927911
80,75.89229
80,66.702012
80,67.856644
80,74.277608
80,70.142783
80,75.997409
80,76.078215
80,69.141978
80,73.136697
80,68.720653
80,70.410376
80,55.532977
80,41.773875
80,34.384069
80,34.809267
90,149.279735
90,85.358028
90,168.172278
90,85.767036
90,84.028644
90,143.05707
90,85.515467
90,195.214464
90,157.250536
90,151.850995
90,113.52387
90,175.398881
90,138.932356
90,122.610603
90,121.46429
90,120.31994
90,118.03674
90,116.896929
90,96.169892
90,93.403816
90,90.107895
90,85.764458
90,86.000469
90,82.32999
90,81.15865
90,83.761307
90,77.273581
90,80.28772
90,79.897423
90,87.226389
90,77.069475
90,78.200654
90,86.58647
90,73.270378
90,83.144816
90,80.691854
90,85.65515
90,76.461761
90,73.083952
90,83.241006
90,81.250777
90,73.248839
90,76.849308
90,72.902403
90,77.308425
90,82.121666
90,84.249351
90,78.501261
90,79.019485
90,57.817475
90,49.705852
90,42.271207
90,36.274629
90,26.14126
90,28.051891
100,171.781899
100,194.878503
100,192.967327
100,191.737247
100,164.705171
100,91.37973
100,159.753167
100,91.354222
100,90.856354
100,174.661697
100,126.249706
100,158.020796
100,132.795024
100,138.632173
100,137.489686
100,136.349161
100,134.073783
100,132.937957
100,108.701418
100,105.914572
100,102.487235
100,109.077406
100,110.467626
100,91.938025
100,102.123864
100,84.740136
100,86.179108
100,90.879472
100,91.298727
100,87.65104
100,96.21418
100,85.409514
100,87.918089
100,92.457603
100,83.86833
100,87.44796
100,90.152625
100,94.979188
100,93.455371
100,82.90203
100,81.364498
100,95.646708
100,95.019848
100,93.650862
100,94.770476
100,83.634993
100,86.681799
100,88.343515
100,88.237682
100,95.295651
100,96.068694
100,98.091218
100,85.507221
100,85.947922
100,94.225274
100,78.665479
100,54.272292
100,11.991347
110,223.507548
110,189.714332
110,217.487482
110,191.629054
110,94.782957
110,180.403334
110,139.727746
110,94.816735
110,201.039796
110,169.876635
110,136.762648
110,128.454136
110,114.987969
110,107.504239
110,153.105044
110,151.979225
110,149.733821
110,148.613265
110,121.174042
110,118.397396
110,114.878318
110,120.462953
110,121.82773
110,95.736358
110,108.594926
110,103.659719
110,95.929504
110,91.828389
110,92.189077
110,94.00572
110,95.237202
110,96.587989
110,95.316228
110,92.485618
110,101.833157
110,101.680945
110,95.090584
110,95.69548
110,92.86876
110,102.164003
110,99.643705
110,94.006392
110,95.56172
110,92.686445
110,96.804976
110,102.925892
110,99.528941
110,106.432835
110,103.322044
110,100.162419
110,101.293125
110,103.404037
110,98.895163
110,101.700674
110,100.702827
110,107.723207
110,95.318734
110,89.251367
110,72.929989
110,71.256134
110,70.648266
110,71.710491
110,72.894272
110,63.346674
110,37.813341
110,37.671479
110,20.709093
110,11.991347
120,107.818469
120,169.306078
120,216.970882
120,105.800937
120,107.148347
120,162.711983
120,105.784975
120,202.684006
120,105.937965
120,106.090915
120,222.861957
120,144.782097
120,106.067713
120,160.640244
120,168.187335
120,167.08466
120,164.886394
120,163.789849
120,133.464202
120,130.723416
120,127.147628
120,126.392703
120,127.22215
120,117.599866
120,108.473523
120,99.188559
120,101.400582
120,110.833131
120,96.639953
120,102.951482
120,105.893279
120,102.018442
120,109.115866
120,110.192137
120,97.396423
120,100.94479
120,100.059125
120,98.670043
120,108.490857
120,95.93093
120,93.909428
120,108.230905
120,107.532595
120,106.876218
120,95.447317
120,97.453798
120,97.150237
120,104.162225
120,104.96593
120,103.480147
120,106.067337
120,101.621466
120,105.429359
120,100.775721
120,102.21041
120,106.197212
120,105.288543
120,103.875081
120,114.033167
120,115.775713
120,104.439677
120,103.081106
120,118.183796
120,103.431083
120,99.97408
120,105.812847
120,105.320507
120,93.758575
120,84.433842
120,49.383957
120,40.147634
120,27.043553
120,11.991347
130,115.4236
130,119.05958
130,115.924786
130,188.627105
130,113.891107
130,114.765433
130,113.904147
130,116.580958
130,114.082146
130,118.798781
130,116.714677
130,114.641035
130,143.82982
130,180.418288
130,114.654361
130,113.869955
130,179.436751
130,178.370797
130,145.472206
130,142.788037
130,139.185859
130,131.983895
130,132.262579
130,113.361294
130,111.469226
130,100.004881
130,103.88071
130,107.002074
130,102.826162
130,99.496242
130,103.025252
130,104.20357
130,107.425244
130,103.502461
130,111.730532
130,105.029105
130,101.114918
130,100.032772
130,107.064997
130,109.137092
130,107.931253
130,105.828864
130,104.06052
130,105.279124
130,102.236703
130,100.844492
130,113.832325
130,100.544522
130,101.321754
130,111.231475
130,116.597146
130,112.974127
130,108.643603
130,120.189125
130,106.252488
130,107.011733
130,106.507398
130,108.149861
130,116.61518
130,114.228922
130,108.736379
130,110.490502
130,117.714957
130,114.715791
130,110.279348
130,116.358102
130,121.208678
130,116.477092
130,114.278788
130,116.038244
130,116.60978
130,106.620936
130,104.591043
130,79.433799
130,70.042953
130,61.44109
130,60.145271
130,49.795114
130,51.038658
130,51.1618
130,40.987004
130,22.015755
130,11.991347
140,215.484385
140,212.578622
140,126.51584
140,121.679998
140,211.883284
140,122.931536
140,121.486035
140,125.441123
140,197.53152
140,191.898055
140,122.79567
140,124.826236
140,231.457961
140,122.27303
140,185.156875
140,184.177992
140,180.856417
140,178.18547
140,157.119813
140,154.508618
140,150.905825
140,137.440041
140,137.178121
140,127.113527
140,117.966892
140,109.824699
140,115.235218
140,110.297017
140,107.197672
140,103.308244
140,104.498914
140,115.473926
140,110.371179
140,108.301972
140,107.517351
140,106.875756
140,107.707555
140,104.172049
140,113.118996
140,100.544159
140,108.602762
140,113.615868
140,113.171222
140,113.844028
140,103.236105
140,106.384352
140,107.722502
140,112.786837
140,107.984928
140,125.280461
140,118.097368
140,123.458569
140,115.689391
140,112.203674
140,113.882508
140,111.995646
140,117.881942
140,130.447185
140,117.547607
140,128.554935
140,126.111847
140,125.634257
140,117.632104
140,120.578867
140,131.377045
140,129.473237
140,115.941179
140,123.673339
140,120.952884
140,117.129138
140,119.844028
140,121.622316
140,122.444336
140,116.222889
140,123.586043
140,125.501455
140,116.187823
140,117.963956
140,124.402973
140,113.896191
140,114.058821
140,115.919813
140,103.846129
140,60.81377
140,30.229769
140,27.449185
140,11.991347
150,253.648635
150,383.689189
150,151.87573
150,415.945686
150,363.886013
150,236.432267
150,149.368687
150,382.519738
150,290.520356
150,224.98821
150,145.787484
150,322.233779
150,268.23108
150,201.796774
150,204.592204
150,203.631868
150,201.234144
150,199.779291
150,168.347637
150,165.821898
150,162.240024
150,142.755232
150,141.967077
150,122.847051
150,121.616366
150,111.645886
150,116.719252
150,107.603077
150,107.553752
150,115.031028
150,113.019666
150,116.137864
150,108.73186
150,119.179552
150,111.657313
150,117.72636
150,112.005074
150,102.109029
150,112.208299
150,101.678312
150,101.553007
150,99.186592
150,98.928208
150,100.041376
150,102.782586
150,112.059312
150,103.623139
150,103.391669
150,110.074479
150,121.185515
150,115.851025
150,113.07519
150,122.750017
150,115.009714
150,110.892789
150,113.611542
150,120.548544
150,127.69186
150,131.335954
150,124.441804
150,129.452578
150,116.852911
150,115.406922
150,125.622984
150,128.378698
150,124.900655
150,115.22465
150,116.723281
150,136.955582
150,137.138891
150,130.577956
150,120.245524
150,131.690135
150,142.596506
150,121.715299
150,124.450909
150,131.238007
150,129.198768
150,136.595486
150,140.698472
150,123.914207
150,131.449856
150,132.113522
150,118.403012
150,118.354556
150,116.090655
150,106.096449
150,100.599983
150,66.999783
150,69.263763
150,10.654521
150,23.751455
150,33.830418
150,23.362087
150,23.915693
150,9.793077
150,11.991347
150,11.991347
150,11.991347
160,182.08261
160,178.032012
160,295.625498
160,197.010015
160,183.006085
160,178.828597
160,180.770404
160,276.39819
160,183.245313
160,194.755975
160,186.252928
160,241.231884
160,209.775052
160,157.726226
160,157.953057
160,157.216515
160,155.408978
160,154.336035
160,179.112561
160,176.681418
160,173.138128
160,147.917121
160,146.619782
160,108.720632
160,115.853165
160,97.469475
160,100.557696
