step,value
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,46.935274
10,34.209815
20,110.240711
20,109.096976
20,107.940722
20,105.470604
20,104.066295
20,100.548892
20,100.548892
20,100.548892
20,100.548892
20,100.548892
20,100.548892
20,82.80597
20,42.504963
20,54.105132
20,52.103746
20,50.122898
20,46.184019
20,44.195087
30,191.954955
30,190.567744
30,189.214596
30,186.595911
30,185.323659
30,181.607311
30,179.150675
30,177.897566
30,176.604531
30,170.329595
30,170.329595
30,146.65616
30,94.489151
30,93.785406
30,91.046781
30,88.340811
30,83.022786
30,80.408851
30,103.289636
30,96.808119
30,89.833296
40,306.394767
40,298.348168
40,300.013335
40,292.150893
40,291.782914
40,282.957725
40,280.13944
40,278.735807
40,277.327548
40,263.424869
40,263.424869
40,221.725961
40,160.895258
40,143.924045
40,140.499443
40,137.103378
40,130.393382
40,127.077667
40,137.983574
40,130.100339
40,122.865113
40,132.23546
40,132.898894
40,150.32954
40,137.824989
40,120.97275
40,106.858417
40,64.674025
50,454.407447
50,444.105568
50,441.413471
50,432.786811
50,428.467941
50,416.466577
50,408.431979
50,406.824847
50,400.729256
50,382.759178
50,386.331944
50,326.600184
50,237.760369
50,202.689625
50,198.689304
50,194.712519
50,186.825902
50,182.913637
50,178.446946
50,169.285049
50,160.395079
50,166.37009
50,167.08617
50,177.361846
50,167.306983
50,209.019274
50,188.902306
50,204.335093
50,203.451196
50,152.074158
50,179.465314
50,83.782834
60,639.699272
60,627.780509
60,619.565401
60,607.233978
60,598.951946
60,581.141523
60,566.553025
60,564.829725
60,556.798727
60,529.907034
60,531.789217
60,442.740315
60,321.604498
60,268.025973
60,263.570769
60,259.134522
60,250.315253
60,245.929188
60,224.066306
60,213.804727
60,203.321209
60,204.868184
60,205.682195
60,206.555823
60,200.019944
60,230.570911
60,212.621715
60,225.339374
60,224.568373
60,250.551989
60,207.10249
60,204.256379
60,238.043494
60,192.554298
60,232.119342
60,241.171174
60,180.317697
60,155.294691
60,122.499697
60,162.691441
70,878.994998
70,864.492504
70,852.658831
70,835.23404
70,816.669997
70,795.506856
70,767.235796
70,765.471779
70,757.774521
70,720.184353
70,719.940108
70,590.866854
70,418.756531
70,337.958955
70,333.165708
70,328.387706
70,318.874016
70,314.134784
70,273.899151
70,262.74375
70,250.828031
70,247.373543
70,248.274829
70,238.649198
70,292.397551
70,253.674229
70,238.387069
70,247.819911
70,247.067481
70,269.084071
70,319.017038
70,327.864607
70,261.145649
70,277.771756
70,255.583166
70,262.552788
70,274.780917
70,324.733501
70,296.731916
70,253.012297
70,251.483744
70,291.997473
70,223.441381
70,289.009751
70,109.986721
80,1175.317128
80,1153.533978
80,1137.485273
80,1113.383141
80,1087.06573
80,1053.285032
80,1017.409589
80,1015.515422
80,998.816684
80,946.767295
80,944.454539
80,768.510901
80,526.084747
80,410.724239
80,405.698863
80,400.686015
80,390.694903
80,385.712714
80,326.948989
80,315.111726
80,301.958522
80,293.162267
80,294.136542
80,344.96743
80,317.702746
80,377.994858
80,332.863396
80,361.678162
80,361.50918
80,288.594325
80,330.184175
80,337.948073
80,284.562386
80,295.944683
80,377.446694
80,283.080056
80,292.144305
80,333.4681
80,308.947582
80,388.180754
80,373.513626
80,307.670151
80,335.75755
80,305.055763
80,341.936432
80,374.993538
80,272.18004
80,237.851853
80,246.040146
90,1534.083916
90,1494.361864
90,1472.298984
90,1441.459057
90,1400.623287
90,1362.744871
90,1308.053401
90,1306.334964
90,1284.477183
90,1215.363018
90,1211.063974
90,967.819679
90,654.546666
90,484.814132
90,479.64877
90,474.494181
90,464.214909
90,459.086037
90,382.245743
90,369.930563
90,355.747225
90,341.468054
90,342.500338
90,360.598464
90,343.831398
90,381.748484
90,343.017529
90,364.914456
90,363.856748
90,413.481254
90,341.126495
90,347.668567
90,400.730288
90,314.922516
90,380.071636
90,366.266993
90,430.572608
90,341.480802
90,321.234846
90,385.969447
90,373.569412
90,321.085765
90,343.764063
90,318.955352
90,348.513239
90,379.40764
90,400.286147
90,362.701196
90,365.797669
90,306.330688
90,351.127705
90,324.756253
90,331.347126
90,202.117015
90,315.204864
100,1966.245031
100,1916.835484
100,1882.934807
100,1847.632372
100,1787.33778
100,1730.296897
100,1662.719711
100,1658.763048
100,1625.005835
100,1532.739064
100,1528.703056
100,1203.997612
100,790.024242
100,558.982096
100,553.754531
100,548.536847
100,538.129402
100,532.935293
100,438.892813
100,426.287003
100,411.279609
100,498.746138
100,510.388443
100,429.545268
100,503.276139
100,384.896455
100,404.544381
100,455.173382
100,461.93992
100,407.959802
100,470.57943
100,400.612996
