step,value
0,0.600289
0,0.600289
0,0.600289
0,0.600289
0,0.600289
0,0.600289
0,0.600289
0,0.600289
0,0.600289
0,0.600289
0,0.600289
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.683631
10,0.682643
20,0.548236
20,0.544614
20,0.543383
20,0.553471
20,0.56919
20,0.698109
20,0.698109
20,0.698109
20,0.698109
20,0.698109
20,0.698109
20,0.692973
20,0.683036
20,0.73873
20,0.7425
20,0.747805
20,0.766908
20,0.78419
30,0.621325
30,0.616348
30,0.611375
30,0.601565
30,0.59682
30,0.584234
30,0.578969
30,0.578254
30,0.57961
30,0.631696
30,0.631696
30,0.709797
30,0.696383
30,0.727759
30,0.728004
30,0.728313
30,0.729196
30,0.729831
30,0.771006
30,0.773378
30,0.869918
40,0.470482
40,0.5084
40,0.485717
40,0.534281
40,0.500344
40,0.527326
40,0.521213
40,0.518375
40,0.515772
40,0.57348
40,0.611414
40,0.683361
40,0.712884
40,0.730977
40,0.730783
40,0.730599
40,0.730262
40,0.730113
40,0.755729
40,0.756464
40,0.760457
40,0.779126
40,0.776202
40,0.826966
40,0.804775
40,0.806246
40,0.934574
40,0.893305
50,0.41383
50,0.44687
50,0.453509
50,0.441657
50,0.462716
50,0.482357
50,0.478434
50,0.476592
50,0.491594
50,0.549979
50,0.51728
50,0.58931
50,0.726278
50,0.736897
50,0.736595
50,0.736293
50,0.735685
50,0.73538
50,0.754372
50,0.754476
50,0.75533
50,0.761901
50,0.761766
50,0.774959
50,0.76965
50,0.790771
50,0.787848
50,0.795013
50,0.799225
50,0.824129
50,0.861719
50,0.916554
60,0.372367
60,0.384089
60,0.390121
60,0.398136
60,0.397521
60,0.411758
60,0.416551
60,0.415284
60,0.44582
60,0.448745
60,0.459119
60,0.545438
60,0.736632
60,0.742974
60,0.742664
60,0.74235
60,0.74171
60,0.741384
60,0.755217
60,0.754992
60,0.755281
60,0.760573
60,0.760553
60,0.771347
60,0.766772
60,0.78085
60,0.778108
60,0.781549
60,0.781684
60,0.790199
60,0.778134
60,0.783994
60,0.823132
60,0.803548
60,0.836024
60,0.860849
60,0.88635
60,0.87126
60,0.887926
60,0.919289
70,0.321581
70,0.327606
70,0.331503
70,0.341221
70,0.351472
70,0.348707
70,0.364543
70,0.384262
70,0.373241
70,0.392345
70,0.387698
70,0.497332
70,0.64955
70,0.748488
70,0.748202
70,0.747911
70,0.747316
70,0.747011
70,0.757012
70,0.756628
70,0.75662
70,0.760927
70,0.760931
70,0.770201
70,0.786919
70,0.779269
70,0.776361
70,0.779743
70,0.779722
70,0.783804
70,0.808254
70,0.810727
70,0.781954
70,0.787872
70,0.782316
70,0.785696
70,0.79211
70,0.82167
70,0.80346
70,0.789067
70,0.796372
70,0.879362
70,0.845842
70,0.877538
70,0.936435
80,0.288563
80,0.291857
80,0.294444
80,0.305505
80,0.313044
80,0.338114
80,0.338048
80,0.333508
80,0.333495
80,0.349438
80,0.373058
80,0.427272
80,0.655857
80,0.75329
80,0.753035
80,0.752777
80,0.752247
80,0.751975
80,0.759202
80,0.758752
80,0.758578
80,0.762016
80,0.762033
80,0.787755
80,0.779088
80,0.811683
80,0.791442
80,0.800763
80,0.799471
80,0.782725
80,0.789873
80,0.79062
80,0.779616
80,0.783987
80,0.812179
80,0.782033
80,0.784844
80,0.792251
80,0.789146
80,0.817102
80,0.809704
80,0.791524
80,0.797066
80,0.791118
80,0.808706
80,0.865243
80,0.864891
80,0.876461
80,0.878844
90,0.270253
90,0.2856
90,0.29005
90,0.297501
90,0.299969
90,0.307011
90,0.326881
90,0.341724
90,0.328503
90,0.339668
90,0.340898
90,0.454542
90,0.58772
90,0.757411
90,0.757188
90,0.756962
90,0.756499
90,0.756262
90,0.761489
90,0.761026
90,0.760763
90,0.763479
90,0.763503
90,0.785551
90,0.7785
90,0.793683
90,0.789301
90,0.793684
90,0.794157
90,0.801136
90,0.788731
90,0.789453
90,0.796406
90,0.783215
90,0.794395
90,0.793342
90,0.812679
90,0.79073
90,0.788056
90,0.797287
90,0.795886
90,0.787444
90,0.790992
90,0.78711
90,0.792523
90,0.796731
90,0.802018
90,0.79735
90,0.797649
90,0.82758
90,0.872679
90,0.885233
90,0.905614
90,0.895401
90,0.926867
100,0.236253
100,0.24757
100,0.251417
100,0.257014
100,0.259573
100,0.264058
100,0.278132
100,0.275369
100,0.279557
100,0.305105
100,0.294347
100,0.385099
100,0.54928
100,0.760937
100,0.760743
100,0.760546
100,0.760144
100,0.759937
100,0.76372
100,0.763271
100,0.762966
100,0.791322
100,0.793358
100,0.797605
100,0.807017
100,0.792827
100,0.799332
100,0.811326
100,0.813182
100,0.797404
100,0.806166
100,0.799284
100,0.793693
100,0.797606
100,0.79358
100,0.8052
100,0.798713
100,0.813157
100,0.806436
100,0.796575
100,0.795326
100,0.806027
