step,value
0,7.198269
0,7.198269
0,7.198269
0,7.198269
0,7.198269
0,7.198269
0,7.198269
0,7.198269
0,7.198269
0,7.198269
0,7.198269
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,32.086404
10,23.353103
20,60.437945
20,59.415736
20,58.653163
20,58.374971
20,59.233506
20,70.194095
20,70.194095
20,70.194095
20,70.194095
20,70.194095
20,70.194095
20,57.382281
20,29.032424
20,39.969076
20,38.68701
20,37.482174
20,35.418902
20,34.657335
30,119.266498
30,117.456002
30,115.680996
30,112.249638
30,110.604835
30,106.101202
30,103.722693
30,102.869965
30,102.361734
30,107.596509
30,107.596509
30,104.09604
30,65.80064
30,68.253129
30,66.282409
30,64.339765
30,60.539905
30,58.684901
30,79.636978
30,74.869235
30,78.147592
40,144.15307
40,151.680184
40,145.721512
40,156.090772
40,145.991894
40,149.21103
40,146.012346
40,144.489653
40,143.037726
40,151.0689
40,161.06166
40,151.518905
40,114.699733
40,105.205168
40,102.674606
40,100.167529
40,95.221313
40,92.781041
40,104.278202
40,98.416256
40,93.433644
40,103.028116
40,103.156323
40,124.317359
40,110.918112
40,97.533851
40,99.867071
40,57.77364
50,188.047375
50,198.457525
50,200.184781
50,191.143185
50,198.259058
50,200.885762
50,195.407796
50,193.88954
50,196.996295
50,210.50947
50,199.841934
50,192.468838
50,172.680065
50,149.361367
50,146.353598
50,143.365412
50,137.444971
50,134.510965
50,134.615325
50,127.721463
50,121.151157
50,126.757581
50,127.280603
50,137.448237
50,128.767886
50,165.286376
50,148.826252
50,162.449102
50,162.603284
50,125.32879
50,154.648737
50,76.791487
60,238.202928
60,241.123582
60,241.705467
60,241.761509
60,238.096234
60,239.289773
60,235.99795
60,234.564784
60,248.23198
60,237.793142
60,244.154468
60,241.487449
60,236.904023
60,199.136385
60,195.744535
60,192.368559
60,185.661365
60,182.327896
60,169.218613
60,161.420807
60,153.564666
60,155.817216
60,156.43223
60,159.326275
60,153.369643
60,180.041342
60,165.442748
60,176.113771
60,175.541398
60,197.986055
60,161.153481
60,160.13571
60,195.941319
60,154.72653
60,194.057415
60,207.611866
60,159.824677
60,135.302003
60,108.77068
60,149.560519
70,282.66809
70,283.212725
70,282.658791
70,284.99932
70,287.036942
70,277.39875
70,279.690195
70,294.14139
70,282.832717
70,282.560778
70,279.119287
70,293.857208
70,272.003425
70,252.958329
70,249.27519
70,245.604811
70,238.299594
70,234.662088
70,207.34499
70,198.799211
70,189.781619
70,188.233193
70,188.920042
70,183.807821
70,230.093243
70,197.680389
70,185.074395
70,193.235912
70,192.643865
70,210.909215
70,257.846757
70,265.808586
70,204.204015
70,218.84858
70,199.94671
70,206.286614
70,217.65663
70,266.823842
70,238.412249
70,199.643745
70,200.274598
70,256.771459
70,188.996143
70,253.617013
70,102.995374
80,339.152543
80,336.666855
80,334.925355
80,340.144563
80,340.299177
80,356.130547
80,343.933529
80,338.682642
80,333.100175
80,330.836745
80,352.336424
80,328.362991
80,345.03626
80,309.394278
80,305.505485
80,301.627094
80,293.899071
80,290.046444
80,248.220187
80,239.09173
80,229.059127
80,223.394436
80,224.141822
80,271.749954
80,247.518395
80,306.812101
80,263.442089
80,289.618571
80,289.016029
80,225.889918
80,260.803561
80,267.188348
80,221.849316
80,232.016772
80,306.554404
80,221.378044
80,229.287662
80,264.190492
80,243.804799
80,317.183346
80,302.435412
80,243.528173
80,267.620853
80,241.33511
80,276.526056
80,324.460561
80,235.406165
80,208.467784
80,216.230879
90,414.590417
90,426.790139
90,427.040217
90,428.835178
90,420.143221
90,418.377029
90,427.577333
90,446.405915
90,421.955008
90,412.819762
90,412.849309
90,439.914777
90,384.690095
90,367.203529
90,363.184479
90,359.174241
90,351.178168
90,347.189109
90,291.075851
90,281.526747
90,270.63933
90,260.703596
90,261.499869
90,283.268474
90,267.672748
90,302.987178
90,270.743948
90,289.626736
90,288.959325
90,331.254865
90,269.05702
90,274.467913
90,319.143818
90,246.652138
90,301.926819
90,290.57514
90,349.917458
90,270.019041
90,253.150893
90,307.728441
90,297.318635
90,252.836926
90,271.914755
90,251.052949
90,276.204814
90,302.285974
90,321.036796
90,289.199935
90,291.778184
90,253.513213
90,306.421853
90,287.485046
90,300.072497
90,180.975754
90,292.152973
100,464.532015
100,474.550023
100,473.401479
100,474.867045
100,463.944565
100,456.898649
100,462.455174
100,456.771111
100,454.281772
100,467.646042
100,449.969006
100,463.657798
100,433.944794
100,425.349923
100,421.264845
100,417.187686
100,409.055619
100,404.997336
100,335.191395
100,325.372431
100,313.792375
100,394.668732
100,404.920817
100,342.607243
100,406.152275
100,305.156319
100,323.365272
100,369.29391
100,375.641193
100,325.308762
100,379.365251
100,320.203482
100,318.997591
100,344.658227
100,303.208473
100,340.797253
100,337.887638
100,391.598473
100,368.528148
100,305.049166
100,296.738489
100,376.668679
100,391.604228
100,363.982226
100,405.366684
100,302.69895
100,317.473536
100,338.89661
100,345.675966
100,386.350932
100,393.185453
100,402.37944
100,321.04347
100,403.640129
100,389.250817
100,315.025406
100,385.918846
100,124.471065
110,506.004848
110,489.01183
110,502.532228
110,490.988118
110,473.914783
110,486.110792
110,465.935456
110,474.083674
110,498.924099
110,481.190702
110,469.632468
110,472.299084
110,459.080814
110,457.286875
110,478.89534
110,474.805161
110,466.646769
110,462.575105
110,379.918621
110,369.964871
110,357.848099
110,410.634885
110,418.399156
110,343.800976
110,398.328385
110,413.791271
110,371.809044
110,352.358112
110,356.351821
110,369.552883
110,364.236564
110,374.775554
110,365.578549
110,340.795752
110,406.29292
110,427.466444
110,376.309465
110,370.833583
110,354.316905
110,419.196223
110,401.774509
110,360.966606
110,370.675481
110,351.746675
110,379.493648
110,412.822323
110,401.014628
110,448.616311
110,455.558116
110,374.085322
110,379.490059
110,387.917796
110,369.039282
