step,value
0,1.360477
0,1.360477
0,1.360477
0,1.360477
0,1.360477
0,1.360477
0,1.360477
0,1.360477
0,1.360477
0,1.360477
0,1.360477
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.618607
10,0.678998
20,0.563246
20,0.553378
20,0.536084
20,0.465355
20,0.402828
20,0.503672
20,0.503672
20,0.503672
20,0.503672
20,0.503672
20,0.503672
20,0.530193
20,0.636273
20,0.478772
20,0.476044
20,0.470643
20,0.445105
20,0.419471
30,0.47731
30,0.479412
30,0.481402
30,0.484774
30,0.485937
30,0.484687
30,0.475245
30,0.465373
30,0.450097
30,0.283975
30,0.283975
30,0.456887
30,0.511978
30,0.447339
30,0.449054
30,0.450748
30,0.453963
30,0.45538
30,0.359791
30,0.359812
30,0.213515
40,0.359077
40,0.2
40,0.429185
40,0.442084
40,0.422815
40,0.411598
40,0.414407
40,0.415722
40,0.416935
40,0.2
40,0.435764
40,0.2
40,0.446344
40,0.415558
40,0.417093
40,0.418657
40,0.421881
40,0.423542
40,0.371174
40,0.372744
40,0.368513
40,0.33202
40,0.336795
40,0.24946
40,0.287662
40,0.29158
40,0.120073
40,0.205983
50,0.356185
50,0.2
50,0.433787
50,0.286261
50,0.429639
50,0.444412
50,0.402997
50,0.403988
50,0.331964
50,0.428045
50,0.434662
50,0.417717
50,0.405839
50,0.390518
50,0.391762
50,0.393031
50,0.395656
50,0.397014
50,0.362749
50,0.364571
50,0.365196
50,0.351951
50,0.352022
50,0.326767
50,0.338121
50,0.294839
50,0.302877
50,0.28862
50,0.281962
50,0.253297
50,0.192802
50,0.156155
60,0.2
60,0.287198
60,0.285974
60,0.284327
60,0.284591
60,0.281858
60,0.280921
60,0.281273
60,0.393727
60,0.2
60,0.38832
60,0.340856
60,0.378636
60,0.37105
60,0.372047
60,0.373065
60,0.375166
60,0.376252
60,0.353671
60,0.355493
60,0.35657
60,0.346887
60,0.346795
60,0.327815
60,0.33677
60,0.308427
60,0.31539
60,0.307901
60,0.307773
60,0.290758
60,0.316152
60,0.306744
60,0.240389
60,0.276797
60,0.221903
60,0.185728
60,0.159506
60,0.184718
60,0.172188
60,0.121228
70,0.2
70,0.357752
70,0.356119
70,0.396606
70,0.2
70,0.287348
70,0.2
70,0.40351
70,0.380669
70,0.400291
70,0.334592
70,0.404282
70,0.334749
70,0.355792
70,0.356596
70,0.357415
70,0.359104
70,0.359976
70,0.345097
70,0.346805
70,0.348013
70,0.340749
70,0.340646
70,0.325565
70,0.292509
70,0.308548
70,0.315077
70,0.308348
70,0.308464
70,0.299536
70,0.256626
70,0.252272
70,0.303332
70,0.292089
70,0.303263
70,0.296995
70,0.285423
70,0.235772
70,0.265589
70,0.292364
70,0.28066
70,0.156661
70,0.208709
70,0.159267
70,0.116426
80,0.2
80,0.361658
80,0.360495
80,0.354895
80,0.350972
80,0.411584
80,0.382069
80,0.384825
80,0.283318
80,0.279821
80,0.412157
80,0.266906
80,0.36329
80,0.343671
80,0.344326
80,0.344992
80,0.346363
80,0.347069
80,0.337317
80,0.338866
80,0.340084
80,0.33469
80,0.334586
80,0.287829
80,0.303753
80,0.248304
80,0.282496
80,0.266073
80,0.268128
80,0.299723
80,0.285198
80,0.283544
80,0.305221
80,0.297082
80,0.247565
80,0.301304
80,0.295945
80,0.281152
80,0.287701
80,0.239601
80,0.251552
80,0.283918
80,0.273285
80,0.284752
80,0.254625
80,0.171155
80,0.177454
80,0.164937
80,0.160982
90,0.360066
90,0.2
90,0.393809
90,0.2
90,0.2
90,0.341933
90,0.2
90,0.437303
90,0.372671
90,0.367838
90,0.274977
90,0.398711
90,0.361154
90,0.333904
90,0.334442
90,0.33499
90,0.336116
90,0.336695
90,0.330395
90,0.331776
90,0.332945
90,0.328973
90,0.328874
90,0.290643
90,0.303201
90,0.276452
90,0.285412
90,0.277211
90,0.276501
90,0.263321
90,0.286443
90,0.284917
90,0.271309
90,0.29706
90,0.275381
90,0.277697
90,0.244787
90,0.283172
90,0.288697
90,0.270502
90,0.273278
90,0.289708
90,0.282623
90,0.290387
90,0.279895
90,0.271669
90,0.262429
90,0.271443
90,0.27082
90,0.228065
90,0.162214
90,0.147038
90,0.120886
90,0.144446
90,0.096018
100,0.369796
100,0.41066
100,0.407619
100,0.40377
100,0.35501
100,0.2
100,0.345446
100,0.2
100,0.2
100,0.373491
100,0.280574
100,0.340813
100,0.306018
100,0.325925
100,0.326374
100,0.326829
100,0.327764
100,0.328244
100,0.324297
100,0.325518
100,0.326608
100,0.276377
100,0.272813
100,0.268348
100,0.251442
100,0.277694
100,0.266507
100,0.24609
100,0.243048
100,0.26944
100,0.253619
100,0.266735
100,0.275607
100,0.268259
100,0.276603
100,0.256598
100,0.266812
100,0.242542
