step,value
0,0.186361
0,0.186361
0,0.186361
0,0.186361
0,0.186361
0,0.186361
0,0.186361
0,0.186361
0,0.186361
0,0.186361
0,0.186361
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.088269
10,0.103466
20,0.064315
20,0.064866
20,0.065287
20,0.065442
20,0.064966
20,0.059679
20,0.059679
20,0.059679
20,0.059679
20,0.059679
20,0.059679
20,0.066006
20,0.092796
20,0.079088
20,0.080387
20,0.081669
20,0.084014
20,0.084932
30,0.045784
30,0.046135
30,0.046488
30,0.047193
30,0.047543
30,0.048541
30,0.049095
30,0.049298
30,0.04942
30,0.048203
30,0.048203
30,0.049006
30,0.061639
30,0.060521
30,0.061414
30,0.062335
30,0.064261
30,0.065269
30,0.056029
30,0.057785
30,0.05656
40,0.041645
40,0.040598
40,0.04142
40,0.04002
40,0.041381
40,0.040933
40,0.041379
40,0.041596
40,0.041807
40,0.04068
40,0.039398
40,0.04062
40,0.046686
40,0.048747
40,0.049344
40,0.049958
40,0.051239
40,0.051909
40,0.048964
40,0.050401
40,0.051727
40,0.04926
40,0.049229
40,0.044844
40,0.047475
40,0.050628
40,0.050033
40,0.065782
50,0.036462
50,0.035492
50,0.035339
50,0.036165
50,0.03551
50,0.035277
50,0.035768
50,0.035908
50,0.035624
50,0.034462
50,0.035369
50,0.03604
50,0.038049
50,0.040912
50,0.04133
50,0.041759
50,0.042649
50,0.043111
50,0.043095
50,0.044242
50,0.045426
50,0.04441
50,0.044319
50,0.042648
50,0.044062
50,0.038891
50,0.040985
50,0.039229
50,0.039211
50,0.044663
50,0.040207
50,0.057058
60,0.032396
60,0.0322
60,0.032161
60,0.032157
60,0.032404
60,0.032323
60,0.032547
60,0.032647
60,0.031735
60,0.032424
60,0.031999
60,0.032175
60,0.032485
60,0.035432
60,0.035738
60,0.03605
60,0.036695
60,0.037029
60,0.038437
60,0.039354
60,0.040348
60,0.040056
60,0.039977
60,0.039612
60,0.040374
60,0.037264
60,0.038873
60,0.037677
60,0.037738
60,0.035535
60,0.039387
60,0.039512
60,0.03572
60,0.040196
