# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,,1,200
2,0,,1,200
3,0,,1,200
4,0,,1,200
5,0,,1,200
6,0,,1,200
7,0,,1,200
8,0,,1,200
9,0,,1,200
10,0,,1,200
96,150,298,0,185
104,155,295,0,184
137,227,355,0,177
149,251,384,0,174
153,257,385,0,174
168,274,394,0,172
171,277,399,0,172
263,461,583,0,153
276,482,601,0,151
281,493,608,0,150
304,538,647,0,146
360,680,794,0,132
364,684,798,0,131
367,695,807,0,130
371,707,817,0,129
443,856,967,0,114
487,921,1025,0,107
507,968,1072,0,103
595,1161,1266,0,83
603,1190,1299,0,81
643,1278,1381,0,72
695,1379,1473,0,62
711,1424,1543,0,57
719,1433,1545,0,56
742,1469,1584,0,53
815,1598,1701,0,40
859,1675,1768,0,32
865,1697,1793,0,30
924,1797,1899,0,20
933,1810,1906,0,19
957,1873,1965,0,12
