# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,79.181,107.7239,0.0,0.600289,1.360477,0.0,0.0,0,0.0
1,11,0,0,158.189,102.4478,110.7412,0.0,0.647629,1.080953,0.0,0.0,0,0.0
2,11,0,0,187.9236,125.7238,117.1997,0.0,0.669016,0.9322,0.0,0.0,0,0.0
3,12,0,0,232.6009,156.7953,135.8056,0.0,0.674096,0.866133,0.0,0.0,0,0.0
4,12,0,0,270.3324,183.7596,146.5728,0.0,0.679754,0.797634,0.0,0.0,0,0.0
5,12,0,0,310.8458,211.9453,158.9005,0.0,0.681834,0.749724,0.0,0.0,0,0.0
6,12,0,0,353.9673,241.5623,172.405,0.0,0.682442,0.713708,0.0,0.0,0,0.0
7,12,0,0,399.5763,272.7429,186.8334,0.0,0.68258,0.685017,0.0,0.0,0,0.0
8,12,0,0,447.5818,305.5673,202.0146,0.0,0.682707,0.661113,0.0,0.0,0,0.0
9,12,0,0,497.9102,340.0805,217.8297,0.0,0.683016,0.640524,0.0,0.0,0,0.0
10,12,0,0,550.4978,376.3036,234.1943,0.0,0.68357,0.622355,0.0,0.0,0,0.0
11,13,0,0,617.2782,421.4385,260.8397,0.0,0.682737,0.618927,0.0,0.0,0,0.0
12,13,0,0,676.6038,463.1962,278.4076,0.0,0.68459,0.601058,0.0,0.0,0,0.0
13,14,1,0,771.0902,529.6209,290.708,20.7613,0.686847,0.548898,0.026925,1.0,0,0.0
14,15,2,0,873.4716,597.0768,308.8316,42.5632,0.683567,0.517239,0.048729,0.500299,0,0.0
15,16,3,0,983.5912,666.6413,331.5421,65.4077,0.677763,0.497332,0.066499,0.333841,0,0.0
16,16,3,0,1065.5221,713.7533,366.361,65.4077,0.669863,0.513288,0.061386,0.333841,0,0.0
17,17,4,0,1186.2341,791.7459,389.15,90.3383,0.667445,0.491509,0.076156,0.251165,0,0.0
18,18,5,0,1314.9288,872.2467,416.3719,116.3102,0.663341,0.477356,0.088454,0.201381,0,0.0
19,18,5,0,1412.584,928.2721,458.0017,116.3102,0.657145,0.493392,0.082339,0.201381,0,0.0
20,18,5,0,1512.1305,989.9091,495.9112,116.3102,0.654645,0.500966,0.076918,0.201381,0,0.0
21,19,6,0,1654.8541,1085.446,519.0176,145.3905,0.655916,0.478161,0.087857,0.168885,0,0.0
22,19,6,0,1763.9689,1152.5999,560.9785,145.3905,0.653413,0.486707,0.082422,0.168885,0,0.0
23,20,7,0,1918.2632,1255.7102,586.0282,176.5248,0.654608,0.466691,0.092023,0.145673,0,0.0
24,20,8,0,2069.1731,1353.3092,607.1845,208.6795,0.654034,0.448666,0.100852,0.127982,0,0.0
25,20,9,0,2224.8683,1451.2777,631.741,241.8496,0.652298,0.4353,0.108703,0.114094,0,0.0
26,20,9,0,2350.9387,1524.2495,684.8396,241.8496,0.648358,0.449296,0.102874,0.114094,0,0.0
27,20,9,0,2478.6147,1604.134,732.6311,241.8496,0.64719,0.456714,0.097574,0.114094,0,0.0
28,20,9,0,2608.1216,1689.5334,776.7386,241.8496,0.647797,0.459736,0.092729,0.114094,0,0.0
29,21,11,0,2825.9441,1843.9192,770.8186,316.2064,0.652497,0.418033,0.111894,0.094392,0,0.0
30,21,11,0,2967.2571,1926.1572,829.8936,316.2064,0.649137,0.430855,0.106565,0.094392,0,0.0
31,21,11,0,3109.9551,2015.9476,882.8011,316.2064,0.648224,0.437909,0.101676,0.094392,0,0.0
32,23,12,0,3324.2101,2161.0098,916.0382,362.1622,0.650082,0.423894,0.108947,0.088059,0,0.0
33,23,13,0,3525.91,2293.2522,938.6483,409.0095,0.6504,0.409309,0.116001,0.082161,0,0.0
34,23,15,0,3781.2437,2460.9686,931.4052,503.8699,0.650836,0.378471,0.133255,0.071859,0,0.0
35,25,16,0,4019.398,2597.2723,995.239,551.8866,0.646184,0.383186,0.137306,0.067469,0,0.0
36,26,22,0,4437.5899,2875.9955,909.2212,782.3732,0.648099,0.316141,0.176306,0.049691,0,0.0
37,26,22,0,4631.0491,2940.2368,1038.4392,782.3732,0.634896,0.353182,0.168941,0.049691,0,0.0
38,26,23,0,4872.372,3063.7363,1107.5001,831.1356,0.628798,0.361487,0.170581,0.047474,0,0.0
