# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,7.1983,0.0,7.1983,7.1983,7.1983,7.1983,7.1983,7.1983,7.1983,7.1983
0,actif_liquide,11,9.7931,0.0,9.7931,9.7931,9.7931,9.7931,9.7931,9.7931,9.7931,9.7931
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,1.3605,0.0,1.3605,1.3605,1.3605,1.3605,1.3605,1.3605,1.3605,1.3605
0,taux_interne,11,0.1864,0.0,0.1864,0.1864,0.1864,0.1864,0.1864,0.1864,0.1864,0.1864
0,levier_entite,11,0.6003,0.0,0.6003,0.6003,0.6003,0.6003,0.6003,0.6003,0.6003,0.6003
10,passif_total,12,31.3586,2.4138,23.3531,32.0864,32.0864,32.0864,32.0864,32.0864,32.0864,32.0864
10,actif_liquide,12,19.5162,1.1034,15.8567,19.8489,19.8489,19.8489,19.8489,19.8489,19.8489,19.8489
10,actif_total,12,45.8748,3.5171,34.2098,46.9353,46.9353,46.9353,46.9353,46.9353,46.9353,46.9353
10,ratio_L_P,12,0.6236,0.0167,0.6186,0.6186,0.6186,0.6186,0.6186,0.6186,0.6724,0.679
10,taux_interne,12,0.0895,0.0042,0.0883,0.0883,0.0883,0.0883,0.0883,0.0883,0.1018,0.1035
10,levier_entite,12,0.6835,0.0003,0.6826,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836
20,passif_total,18,54.9949,14.4396,29.0324,35.1904,39.0075,58.9433,70.1941,70.1941,70.1941,70.1941
20,actif_liquide,18,27.5506,7.8747,14.5378,17.078,18.6384,30.9334,35.3548,35.3548,35.3548,35.3548
20,actif_total,18,84.0072,26.0287,42.505,45.5873,52.6041,100.5489,103.1869,108.2876,110.0463,110.2407
20,ratio_L_P,18,0.5,0.0526,0.4028,0.4374,0.472,0.5037,0.5236,0.5563,0.6239,0.6363
20,taux_interne,18,0.0695,0.0107,0.0597,0.0597,0.0597,0.0651,0.0801,0.0843,0.0915,0.0928
20,levier_entite,18,0.6724,0.0796,0.5434,0.5471,0.5977,0.6981,0.7286,0.7535,0.7813,0.7842
30,passif_total,21,91.7218,21.0623,58.6849,64.3398,68.2531,102.87,107.5965,115.681,118.9044,119.2665
30,actif_liquide,21,39.5187,12.4844,16.6857,26.9389,29.001,33.6885,51.4258,55.6891,56.8037,56.9271
30,actif_total,21,141.298,44.5037,80.4089,88.3408,93.7854,170.3296,181.6073,189.2146,191.6775,191.955
30,ratio_L_P,21,0.4291,0.0785,0.2135,0.284,0.4473,0.4554,0.4794,0.4848,0.5068,0.512
30,taux_interne,21,0.0534,0.0067,0.0458,0.0465,0.0482,0.0493,0.0605,0.0623,0.0651,0.0653
30,levier_entite,21,0.6712,0.0799,0.5783,0.5796,0.6016,0.6317,0.7283,0.771,0.8506,0.8699
40,passif_total,28,121.1968,26.4987,57.7736,94.685,100.0924,112.8089,145.997,151.5673,159.7195,161.0617
40,actif_liquide,28,42.8881,15.4671,11.9004,29.6813,31.6832,39.7343,59.7449,61.9717,69.8663,70.1848
40,actif_total,28,194.0379,77.1344,64.674,122.2974,131.7749,147.1268,279.0867,294.0101,304.6718,306.3948
40,ratio_L_P,28,0.351,0.0922,0.1201,0.2,0.2906,0.3922,0.4195,0.4312,0.4452,0.4463
40,taux_interne,28,0.0463,0.0057,0.0394,0.0406,0.0414,0.0471,0.05,0.0514,0.062,0.0658
40,levier_entite,28,0.6753,0.1331,0.4705,0.506,0.5258,0.7302,0.7644,0.8125,0.9234,0.9346
50,passif_total,32,160.9214,32.5925,76.7915,126.8099,134.5892,158.5489,194.2691,199.7035,207.5261,210.5095
50,actif_liquide,32,57.1876,19.0918,11.9913,40.0763,44.8866,53.8918,72.1425,86.6718,89.8498,90.1075
50,actif_total,32,266.8812,115.7204,83.7828,166.4417,178.1757,203.0704,402.2532,432.3549,451.2139,454.4074
50,ratio_L_P,32,0.3492,0.0733,0.1562,0.2562,0.3009,0.3637,0.4032,0.4295,0.4414,0.4444
50,taux_interne,32,0.0401,0.0047,0.0345,0.0354,0.0359,0.0397,0.0431,0.0444,0.0535,0.0571
50,levier_entite,32,0.6662,0.1488,0.4138,0.4544,0.4893,0.7364,0.771,0.7988,0.8996,0.9166
60,passif_total,40,192.6478,37.5169,108.7707,153.5452,160.058,189.015,237.1263,241.5093,246.6418,248.232
60,actif_liquide,40,57.6937,17.9439,18.1309,37.2527,48.7506,55.1431,68.8348,74.7319,96.5947,97.7357
60,actif_total,40,325.3398,167.2049,122.4997,191.3306,206.3374,239.6073,530.3776,599.7801,635.051,639.6993
60,ratio_L_P,40,0.2974,0.0697,0.1212,0.1856,0.2799,0.3078,0.3541,0.3753,0.3916,0.3937
60,taux_interne,40,0.0366,0.0037,0.0317,0.0322,0.0325,0.0364,0.0395,0.0404,0.046,0.0479
60,levier_entite,40,0.6805,0.1751,0.3724,0.3981,0.4565,0.7552,0.7823,0.8619,0.9071,0.9193
70,passif_total,45,234.3919,41.9755,102.9954,188.9505,199.6437,238.2996,277.3988,283.0607,294.0163,294.1414
70,actif_liquide,45,71.6374,22.2822,11.9913,56.0465,59.584,64.1403,87.7829,105.1274,118.7517,118.8011
70,actif_total,45,411.236,230.0808,109.9867,247.1899,253.6742,292.3976,590.8669,808.2047,872.6139,878.995
70,ratio_L_P,45,0.3029,0.0677,0.1164,0.2,0.2807,0.3085,0.3558,0.3724,0.4039,0.4043
70,taux_interne,45,0.0331,0.0036,0.0292,0.0297,0.03,0.0324,0.0354,0.0364,0.0438,0.0493
70,levier_entite,45,0.6746,0.1906,0.3216,0.3498,0.4973,0.7609,0.7879,0.8173,0.9113,0.9364
80,passif_total,49,282.8225,44.8886,208.4678,223.9923,241.3351,289.016,328.363,340.1755,354.3094,356.1305
80,actif_liquide,49,85.3532,25.6401,34.3841,67.5039,70.1428,76.0782,101.7958,122.4763,145.925,146.5778
80,actif_total,49,507.6465,308.3234,237.8519,287.7879,307.6702,361.5092,526.0847,1060.0412,1164.8612,1175.3171
80,ratio_L_P,49,0.2985,0.0593,0.161,0.2317,0.2681,0.2959,0.3443,0.362,0.4119,0.4122
80,taux_interne,49,0.03,0.0024,0.0265,0.0271,0.0276,0.0294,0.0322,0.0334,0.0343,0.0346
80,levier_entite,49,0.6768,0.2002,0.2886,0.3294,0.6559,0.7796,0.7923,0.8132,0.8777,0.8788
90,passif_total,55,322.3048,64.1231,180.9758,256.3894,273.1913,300.0725,365.194,424.8561,442.9007,446.4059
90,actif_liquide,55,92.7123,34.4393,26.1413,63.8514,77.291,83.7613,104.8469,146.7907,184.514,195.2145
90,actif_total,55,582.797,406.9899,202.117,321.1454,343.3908,373.5694,482.2315,1340.8683,1512.634,1534.0839
