step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,11,11,1,24.5967,0.0,0,24.181,0,0.0,0.0,0,0,131.9048,79.181,107.7239,7.1983,0.186361
1,11,11,0,29.5125,0.0,0,23.7504,0,0.0,0.0,0,0,158.189,102.4478,110.7412,9.3134,0.163838
2,11,11,0,33.5697,0.0,0,24.225,0,0.0,0.0,0,0,187.9236,125.7238,117.1997,11.4294,0.147896
3,12,12,1,39.4243,0.0,0,27.4859,0,0.0,0.0,0,0,232.6009,156.7953,135.8056,13.0663,0.139814
4,12,12,0,43.2485,0.0,0,28.9002,0,0.0,0.0,0,0,270.3324,183.7596,146.5728,15.3133,0.128746
5,12,12,0,46.8571,0.0,0,30.6609,0,0.0,0.0,0,0,310.8458,211.9453,158.9005,17.6621,0.119675
6,12,12,0,50.3454,0.0,0,32.6559,0,0.0,0.0,0,0,353.9673,241.5623,172.405,20.1302,0.111979
7,12,12,0,53.7636,0.0,0,34.8118,0,0.0,0.0,0,0,399.5763,272.7429,186.8334,22.7286,0.105307
8,12,12,0,57.1399,0.0,0,37.0792,0,0.0,0.0,0,0,447.5818,305.5673,202.0146,25.4639,0.099436
9,12,12,0,60.4898,0.0,0,39.4246,0,0.0,0.0,0,0,497.9102,340.0805,217.8297,28.34,0.094216
10,12,12,0,63.8223,0.0,0,41.8246,0,0.0,0.0,0,0,550.4978,376.3036,234.1943,31.3586,0.089536
11,13,13,1,69.3779,0.0,0,46.4611,0,0.0,0.0,0,0,617.2782,421.4385,260.8397,32.4183,0.093086
12,13,13,0,73.1338,0.0,0,48.8864,0,0.0,0.0,0,0,676.6038,463.1962,278.4076,35.6305,0.087818
13,14,14,1,79.038,0.0,1,48.6273,0,0.0,0.0,20.7613,1,771.0902,529.6209,290.708,37.8301,0.084564
14,15,15,1,87.5367,1.6851,1,49.8464,0,0.0,0.0,42.5632,2,873.4716,597.0768,308.8316,39.8051,0.082091
15,16,16,1,96.0135,3.3801,1,52.1615,0,0.0,0.0,65.4077,3,983.5912,666.6413,331.5421,41.6651,0.080053
16,16,16,0,102.3414,5.0846,0,58.8448,0,0.0,0.0,65.4077,3,1065.5221,713.7533,366.361,44.6096,0.077261
17,17,17,1,108.1467,5.0846,1,60.7371,0,0.0,0.0,90.3383,4,1186.2341,791.7459,389.15,46.5733,0.075589
18,18,18,1,117.1844,6.8067,1,63.6638,0,0.0,0.0,116.3102,5,1314.9288,872.2467,416.3719,48.4581,0.074112
19,18,18,0,124.1097,8.5368,0,71.6703,0,0.0,0.0,116.3102,5,1412.584,928.2721,458.0017,51.5707,0.071824
20,18,18,0,128.0327,8.5368,0,78.4025,0,0.0,0.0,116.3102,5,1512.1305,989.9091,495.9112,54.9949,0.069547
21,19,19,1,134.4488,8.5368,1,79.4548,0,0.0,0.0,145.3905,6,1654.8541,1085.446,519.0176,57.1287,0.06835
22,19,19,0,142.147,10.2886,0,86.9628,0,0.0,0.0,145.3905,6,1763.9689,1152.5999,560.9785,60.6632,0.066342
23,20,20,1,148.7057,10.2886,1,88.128,0,0.0,0.0,176.5248,7,1918.2632,1255.7102,586.0282,62.7855,0.065364
24,20,20,0,156.7245,12.053,1,88.5586,0,0.0,0.0,208.6795,8,2069.1731,1353.3092,607.1845,67.6655,0.062625
25,20,20,0,162.9948,13.8231,1,89.8646,0,0.0,0.0,241.8496,9,2224.8683,1451.2777,631.741,72.5639,0.060109
26,20,20,0,169.113,15.5987,0,99.9973,0,0.0,0.0,241.8496,9,2350.9387,1524.2495,684.8396,76.2125,0.058631
27,20,20,0,173.3243,15.5987,0,108.3695,0,0.0,0.0,241.8496,9,2478.6147,1604.134,732.6311,80.2067,0.057155
28,20,20,0,177.7982,15.5987,0,115.4821,0,0.0,0.0,241.8496,9,2608.1216,1689.5334,776.7386,84.4767,0.055707
29,21,21,1,184.6848,15.5987,2,106.8197,0,0.0,0.0,316.2064,11,2825.9441,1843.9192,770.8186,87.8057,0.05454
30,21,21,0,195.4161,19.1885,0,117.0164,0,0.0,0.0,316.2064,11,2967.2571,1926.1572,829.8936,91.7218,0.053368
31,21,21,0,199.7132,19.1885,0,126.2136,0,0.0,0.0,316.2064,11,3109.9551,2015.9476,882.8011,95.9975,0.052191
32,23,23,2,208.7492,19.1885,1,127.3253,0,0.0,0.0,362.1622,12,3324.2101,2161.0098,916.0382,93.9569,0.057797
33,23,23,0,218.4628,21.256,1,126.3152,0,0.0,0.0,409.0095,13,3525.91,2293.2522,938.6483,99.7066,0.051707
34,23,23,0,227.3585,23.3238,2,116.421,0,0.0,0.0,503.8699,15,3781.2437,2460.9686,931.4052,106.9986,0.04928
35,25,25,2,240.9031,27.461,1,125.2065,0,0.0,0.0,551.8866,16,4019.398,2597.2723,995.239,103.8909,0.054825
36,26,26,1,252.3016,29.53,6,92.6821,0,0.0,0.0,782.3732,22,4437.5899,2875.9955,909.2212,110.6152,0.048317
37,26,26,0,272.0036,39.5421,0,119.1611,0,0.0,0.0,782.3732,22,4631.0491,2940.2368,1038.4392,113.086,0.047777
38,26,26,0,275.0347,39.5421,1,130.9418,0,0.0,0.0,831.1356,23,4872.372,3063.7363,1107.5001,117.836,0.046725
39,26,26,0,280.9078,41.6021,0,151.9255,0,0.0,0.0,831.1356,23,5066.837,3156.9871,1208.7143,121.4226,0.046047
40,28,28,2,289.5815,41.6021,3,139.5126,0,0.0,0.0,978.6854,26,5433.0626,3393.5096,1200.8676,121.1968,0.046347
41,29,29,1,308.5317,47.5974,4,134.293,0,0.0,0.0,1114.7089,30,5792.1596,3603.756,1218.6947,124.2674,0.045497
42,29,29,0,321.7453,53.0811,1,157.4002,0,0.0,0.0,1130.7676,31,6029.9797,3708.0397,1336.1723,127.8634,0.044835
43,29,29,0,326.4045,53.7263,1,167.8174,0,0.0,0.0,1184.7406,32,6305.8448,3858.5693,1407.5349,133.0541,0.043948
44,29,29,0,332.9822,55.8623,0,189.7694,0,0.0,0.0,1184.7406,32,6529.7453,3974.0674,1515.9374,137.0368,0.043347
45,29,29,0,337.8134,55.8623,2,177.7702,0,0.0,0.0,1308.347,34,6877.5088,4198.8626,1515.2992,144.7884,0.042119
46,30,30,1,349.6375,60.5509,2,173.7439,0,0.0,0.0,1429.4316,36,7239.6549,4417.6138,1542.6095,147.2538,0.041992
47,31,31,1,364.1911,65.0741,1,186.5207,0,0.0,0.0,1496.8489,37,7557.575,4591.1996,1624.5265,148.1032,0.042086
48,31,31,0,374.5706,67.5414,2,192.1776,0,0.0,0.0,1582.0174,39,7888.6081,4779.8216,1681.7691,154.1878,0.040848
49,31,31,0,383.15,70.6228,1,202.7726,0,0.0,0.0,1648.9187,40,8204.8646,4956.9991,1753.9468,159.9032,0.040009
50,32,32,1,392.7161,73.0462,1,211.7336,0,0.0,0.0,1720.7101,41,8540.1989,5149.4842,1830.0045,160.9214,0.040115
51,32,32,0,403.7105,75.5943,1,222.2671,0,0.0,0.0,1785.7053,42,8864.4405,5336.9568,1901.7785,166.7799,0.039213
52,32,32,0,411.5099,77.8563,0,244.6973,0,0.0,0.0,1785.7053,42,9126.1455,5478.1149,2022.3253,171.1911,0.038751
53,33,33,1,418.979,77.8563,2,230.6982,0,0.0,0.0,1933.2285,44,9547.2594,5754.9741,2024.0568,174.3932,0.038623
54,34,34,1,435.338,82.8769,1,240.7869,0,0.0,0.0,2008.6744,45,9906.8559,5964.4074,2103.774,175.4237,0.038756
55,35,35,1,448.9896,85.403,1,251.6454,0,0.0,0.0,2080.2605,46,10270.2882,6176.7508,2188.2769,176.4786,0.038916
56,36,36,1,462.6051,87.7515,5,205.7358,0,0.0,0.0,2408.4327,51,10897.8128,6595.6238,2073.7562,183.2118,0.037672
57,36,36,0,484.2804,98.5093,1,230.3355,0,0.0,0.0,2473.6393,52,11267.8265,6762.8534,2211.3338,187.857,0.037017
58,38,38,2,495.4628,100.6329,2,231.4393,0,0.0,0.0,2641.7809,54,11765.2379,7040.7773,2272.6798,185.2836,0.037617
59,40,40,2,517.8798,105.9983,8,172.3161,0,0.0,0.0,3104.2444,62,12572.3544,7548.5413,2119.5688,188.7135,0.037204
60,40,40,0,545.8272,120.9607,2,208.6511,0,0.0,0.0,3199.9338,64,13013.5923,7705.911,2307.7475,192.6478,0.036565
61,41,41,1,554.7359,124.0613,3,220.3211,0,0.0,0.0,3385.3755,67,13556.2021,7966.5556,2409.271,194.3062,0.036519
62,41,41,0,568.4319,130.0429,3,230.5405,0,0.0,0.0,3571.5283,70,14096.0016,8228.0178,2501.4556,200.6834,0.035687
63,41,41,0,578.7023,136.0286,1,264.9282,0,0.0,0.0,3641.9375,71,14523.0497,8402.8949,2683.2173,204.9487,0.035316
64,41,41,0,584.8129,138.2741,1,293.5793,0,0.0,0.0,3723.0721,72,14959.6787,8613.6509,2827.9557,210.089,0.034843
65,41,41,0,592.2855,140.8163,0,333.0636,0,0.0,0.0,3723.0721,72,15315.3863,8778.5415,3018.7727,214.1108,0.034552
66,44,44,3,604.405,140.8163,5,276.1761,0,0.0,0.0,4136.7852,77,16118.97,9311.9598,2890.225,211.6355,0.035209
67,44,44,0,635.5771,153.4407,2,290.1238,0,0.0,0.0,4316.0082,79,16681.4149,9599.4675,2985.9393,218.1697,0.034363
68,44,44,0,646.8489,158.9043,3,274.1669,0,0.0,0.0,4599.1324,82,17351.1429,9969.1692,3002.8414,226.572,0.033559
69,44,44,0,660.045,167.4397,1,306.2515,0,0.0,0.0,4692.7154,83,17836.5298,10174.0203,3189.7941,231.2277,0.033231
70,45,45,1,668.9611,170.2539,3,301.1115,0,0.0,0.0,4959.2998,86,18505.6199,10547.6358,3223.6842,234.3919,0.033129
71,45,45,0,685.9343,178.1721,2,313.1452,0,0.0,0.0,5129.3876,88,19076.9968,10824.4161,3348.1932,240.5426,0.032701
72,45,45,0,694.9479,183.1814,1,347.2541,0,0.0,0.0,5227.2307,89,19576.9368,11057.525,3517.181,245.7228,0.032202
73,45,45,0,703.1771,186.0491,1,371.8034,0,0.0,0.0,5323.106,90,20074.9315,11308.5532,3668.2723,251.3012,0.031854
74,46,46,1,713.2658,188.817,3,345.3386,0,0.0,0.0,5647.7036,93,20813.293,11761.8183,3633.7711,255.6917,0.031703
75,46,46,0,732.4281,197.9883,1,373.5624,0,0.0,0.0,5747.1743,94,21327.2314,12004.215,3805.8421,260.9612,0.031399
76,47,47,1,742.0737,200.7934,2,373.7789,0,0.0,0.0,5978.0927,96,21983.5809,12378.428,3862.0602,263.3708,0.031256
77,49,49,2,763.8286,207.1954,3,352.4105,0,0.0,0.0,6311.4432,99,22764.9738,12831.3205,3867.21,261.8637,0.031606
78,49,49,0,787.6904,216.3778,4,325.3459,0,0.0,0.0,6672.3728,103,23568.7693,13265.8695,3875.527,270.732,0.03102
79,49,49,0,801.423,226.3337,3,334.7697,0,0.0,0.0,6969.2679,106,24313.1309,13637.1169,3951.7461,278.3085,0.030253
80,49,49,0,814.9241,234.4975,1,379.2267,0,0.0,0.0,7079.0688,107,24874.6802,13858.3023,4182.3092,282.8225,0.03002
81,49,49,0,821.423,237.4786,3,375.6047,0,0.0,0.0,7371.7573,110,25616.451,14254.3294,4235.3644,290.9047,0.029563
