step,volume_joules,nb_entites,ratio_destruction
183,289.7698,1,0.001509
185,351.2035,1,0.001807
187,302.4785,1,0.001535
191,273.7669,1,0.001339
192,993.0188,3,0.004831
193,293.9799,1,0.001448
194,619.7732,2,0.003048
195,557.1438,2,0.002754
197,647.616,2,0.003152
198,375.0793,1,0.001836
199,284.9322,1,0.001396
200,438.0636,1,0.002142
201,1174.0205,3,0.005677
202,315.1769,1,0.001547
205,655.6251,2,0.003126
206,306.0042,1,0.001458
211,382.3689,1,0.001726
212,298.7248,1,0.001351
214,810.2646,2,0.003614
217,1203.7841,2,0.005271
218,324.3333,1,0.001441
219,661.1243,1,0.002916
220,349.755,1,0.001548
221,1415.1028,3,0.006207
223,373.0256,1,0.001636
226,373.4903,1,0.001608
229,639.2631,1,0.002658
230,564.1409,1,0.002353
231,530.2295,1,0.002218
232,598.0202,1,0.00251
233,1162.1274,2,0.004895
234,401.241,1,0.001716
238,861.2917,2,0.003565
239,458.6523,1,0.001923
241,444.6756,1,0.001859
243,855.5978,2,0.003499
244,507.0985,1,0.002077
245,509.4486,1,0.002096
248,390.0775,1,0.001582
249,450.3768,1,0.001827
251,392.1516,1,0.001573
253,888.7986,2,0.003527
255,520.9203,1,0.00207
259,414.2761,1,0.001597
261,522.1273,1,0.001999
263,374.0228,1,0.001427
265,488.1879,1,0.001861
267,411.4859,1,0.001548
273,699.5924,1,0.002519
274,489.0473,1,0.001761
278,597.7302,1,0.002083
279,1289.9584,2,0.004512
283,539.9311,1,0.001879
285,541.7649,1,0.001877
287,1022.0579,2,0.003502
289,631.9782,1,0.002167
290,649.5901,1,0.002217
292,506.2362,1,0.001723
293,2297.238,4,0.007838
294,593.4866,1,0.002085
295,1056.4759,2,0.003738
296,1761.5349,3,0.006308
297,458.9263,1,0.001688
298,1118.5735,2,0.004137
301,502.276,1,0.001852
309,1305.7476,2,0.004571
311,512.5993,1,0.001818
314,545.4921,1,0.001902
326,718.4906,1,0.002372
327,531.4707,1,0.001739
331,591.1217,1,0.001886
334,565.0706,1,0.001769
336,522.0796,1,0.001639
339,647.7254,1,0.002024
344,1078.0673,2,0.003236
348,1279.2228,2,0.003787
349,609.4227,1,0.001831
350,758.9974,1,0.002279
351,1526.6746,2,0.004629
352,1200.1326,2,0.003711
353,1588.1455,2,0.005001
355,679.1612,1,0.002144
356,637.9713,1,0.002014
357,1469.3518,2,0.004668
359,589.001,1,0.001905
362,1295.1538,2,0.004148
365,581.7333,1,0.001852
366,702.6322,1,0.002241
370,610.2373,1,0.001912
371,781.977,1,0.002469
375,1435.0133,2,0.004482
377,529.8094,1,0.001672
384,1994.0403,3,0.005979
385,888.0625,1,0.00274
386,2807.598,4,0.008705
387,1425.4358,2,0.004611
388,1521.604,2,0.004993
389,1931.5397,3,0.006469
390,696.265,1,0.002409
391,618.4522,1,0.002159
392,689.0136,1,0.002419
393,686.6554,1,0.002428
394,664.2378,1,0.002352
396,671.2234,1,0.002372
399,2210.7491,3,0.007828
401,2820.4121,4,0.010147
406,643.2016,1,0.002386
411,626.5191,1,0.002274
413,643.7738,1,0.002353
414,685.9399,1,0.002502
418,1631.2682,2,0.005879
423,755.7049,1,0.002705
425,834.6841,1,0.002985
429,1517.8705,2,0.005382
433,1443.9889,2,0.005131
434,669.265,1,0.002411
436,681.0376,1,0.002457
440,687.8426,1,0.002453
441,2205.9627,3,0.007855
442,837.0089,1,0.003103
444,1473.0183,2,0.005447
445,882.0974,1,0.00335
451,642.906,1,0.002391
453,692.7978,1,0.002547
454,854.112,1,0.003156
455,762.9844,1,0.002844
456,1342.6132,2,0.005067
457,813.2898,1,0.003131
458,640.8195,1,0.002475
461,674.5316,1,0.002606
462,713.1108,1,0.002786
464,623.1382,1,0.002441
466,643.8795,1,0.00254
468,654.4253,1,0.0026
469,668.0293,1,0.002664
472,679.7655,1,0.002647
474,732.3389,1,0.00287
476,742.085,1,0.002905
480,1466.0349,2,0.005668
482,707.5574,1,0.002756
484,835.5597,1,0.003268
486,1297.0228,2,0.005047
487,676.7054,1,0.002696
491,634.0117,1,0.00249
492,733.7165,1,0.002907
