step,value
0,212.522484
0,209.059852
0,210.386195
0,210.067081
0,232.739794
0,228.698797
0,234.262099
0,209.430826
0,211.063904
0,209.11907
0,210.144103
0,211.637889
0,209.027167
0,210.00218
0,228.490945
0,211.818429
0,210.09434
0,212.230026
0,213.301058
0,208.932511
0,233.46711
0,212.636625
0,210.788274
0,209.694704
0,234.867061
0,210.754465
0,209.554386
0,209.460974
0,213.649498
0,212.120084
0,232.261913
0,249.371565
0,211.965326
0,271.468058
0,211.047657
0,211.971521
0,213.563136
0,212.344148
0,232.684498
0,212.031788
0,212.671014
0,209.178015
0,210.149295
0,210.623458
0,209.317879
0,210.207192
0,209.378664
0,210.409719
0,212.405637
0,210.961687
0,211.031608
0,210.057895
0,210.305328
0,234.361413
0,212.491669
0,212.276952
0,209.809701
0,212.981552
0,209.814087
0,211.033745
0,214.422548
0,212.454361
0,211.977076
0,212.812509
0,213.53658
0,232.448222
0,210.174035
0,209.174727
0,210.646366
0,225.154957
0,210.140983
0,230.833348
0,213.565647
0,210.65356
0,212.511327
0,211.036824
0,233.270113
0,211.462436
0,210.301459
0,210.294995
0,211.967483
0,210.259891
0,212.139907
0,213.814142
0,218.351638
0,210.145842
0,214.401989
0,211.658708
0,209.436063
0,209.231007
0,209.474524
0,212.36921
0,233.071353
0,211.37197
0,209.159336
0,211.045301
0,214.329256
0,211.798214
0,234.521808
0,213.614849
0,211.567831
0,210.083703
0,211.106038
50,371.731682
50,371.485539
50,355.554008
50,376.802509
50,367.449613
50,382.191403
50,395.081596
50,382.130321
50,406.728005
50,472.959361
50,410.868523
50,369.664309
50,421.636698
50,379.3397
50,378.818515
50,377.395596
50,364.212613
50,377.265774
50,390.496559
50,456.605139
50,396.161369
50,382.056542
50,394.108083
50,394.511789
50,421.978916
50,368.6077
50,407.028593
50,515.267239
50,403.992377
50,393.524728
50,400.624116
50,376.907872
50,377.333612
50,380.344709
50,439.095892
50,378.351262
50,413.373307
50,372.449172
50,386.493628
50,378.470932
50,401.329254
50,393.741612
50,456.819437
50,393.602743
50,478.989917
50,334.813028
50,431.882076
50,380.545147
50,387.926538
50,374.886835
50,349.804085
50,352.159647
50,378.947307
50,416.940493
50,399.475445
50,381.603332
50,414.248853
50,392.433739
50,375.121228
50,398.707408
50,433.958613
50,406.798146
50,377.94529
50,386.861455
50,406.20524
50,388.737909
50,401.823793
50,448.073503
50,436.766716
50,412.286503
50,378.491971
50,424.741761
50,403.193847
50,396.37704
50,407.148336
50,358.93303
50,401.518781
50,369.499665
50,401.40532
50,375.349685
50,414.767123
50,397.623043
50,374.193879
50,433.346879
50,383.52926
50,368.980605
50,419.03969
50,385.049772
50,419.5203
50,329.198223
50,533.229314
50,384.170711
50,383.587153
50,365.69074
50,409.129936
50,393.028092
50,434.571976
50,378.194807
50,419.901457
50,416.308399
50,363.857851
50,492.547675
50,362.748527
50,355.591621
50,406.329469
50,336.729024
50,378.317797
50,399.62705
50,374.340499
50,365.058508
50,368.899799
50,359.013822
50,389.220553
50,368.190669
50,377.421676
50,356.043497
50,383.318602
50,342.625056
50,348.408697
50,335.404241
50,348.294207
50,325.808173
50,376.516792
50,369.374553
50,365.172833
50,370.146594
50,386.03142
50,415.637005
50,370.342517
50,335.897252
50,437.41083
50,318.054275
50,377.615276
50,350.666329
50,335.12977
50,364.075644
50,382.936144
50,333.534827
50,362.553707
50,364.512146
50,397.997669
50,396.47466
50,339.597544
50,311.037757
50,344.188462
50,411.110813
50,328.542523
50,335.876828
50,373.810632
50,355.849647
50,311.767508
50,364.621827
50,381.924261
50,309.566568
50,418.827224
50,351.86765
50,315.756618
50,310.646486
50,385.147748
