step,value
0,201.261242
0,190.0
0,200.193098
0,196.381908
0,221.276941
0,217.341263
0,222.336356
0,199.715413
0,200.531952
0,199.559535
0,190.0
0,200.818945
0,199.513584
0,192.050435
0,217.196127
0,200.909214
0,192.055306
0,201.115013
0,201.650529
0,192.094083
0,221.805607
0,201.318312
0,190.748306
0,199.847352
0,222.76031
0,200.377233
0,190.0
0,199.730487
0,201.824749
0,201.060042
0,220.605259
0,237.90942
0,200.982663
0,259.421619
0,200.523828
0,200.98576
0,201.781568
0,201.172074
0,220.872175
0,201.015894
0,201.335507
0,199.589008
0,190.0
0,200.311729
0,190.0
0,200.103596
0,199.689332
0,200.204859
0,201.202819
0,191.307709
0,200.515804
0,200.028948
0,190.678361
0,222.328204
0,201.245834
0,201.138476
0,199.90485
0,201.490776
0,190.0
0,200.516872
0,202.211274
0,201.22718
0,200.988538
0,201.406254
0,201.76829
0,220.883051
0,190.171705
0,199.587363
0,200.323183
0,204.744344
0,200.070492
0,218.822006
0,201.782824
0,190.0
0,201.255663
0,200.518412
0,221.280888
0,200.731218
0,200.150729
0,190.0
0,200.983742
0,200.129945
0,201.069953
0,201.907071
0,199.422119
0,191.428951
0,202.200994
0,200.829354
0,199.718032
0,199.615504
0,190.0
0,201.184605
0,221.450989
0,200.685985
0,190.0
0,200.522651
0,202.164628
0,200.899107
0,222.335552
0,201.807424
0,200.783915
0,200.041851
0,200.553019
50,354.896339
50,290.071939
50,316.19375
50,332.722437
50,351.183408
50,364.49768
50,376.34231
50,324.165264
50,359.209746
50,288.576316
50,324.95437
50,353.092222
50,278.304332
50,320.460609
50,361.568977
50,360.110164
50,333.683308
50,359.938062
50,372.016814
50,313.521946
50,377.25044
50,364.515296
50,332.081601
50,307.27944
50,402.434566
50,327.023671
50,344.709612
50,332.502225
50,384.668992
50,376.094357
50,382.845946
50,360.959304
50,359.816087
50,364.577551
50,346.667367
50,360.801079
50,396.212401
50,355.69909
50,369.893366
50,360.90161
50,363.575167
50,290.063115
50,321.479455
50,325.795061
50,352.754632
50,321.362325
50,304.351843
50,313.543385
50,370.77361
50,341.253873
50,334.905485
50,310.989414
50,316.043669
50,397.733045
50,362.690238
50,363.751965
50,312.319957
50,373.657799
50,339.74854
50,325.488523
50,413.526696
50,388.004619
50,360.781379
50,368.803201
50,386.025305
50,370.204678
50,338.839612
50,285.902527
50,334.28416
50,339.28708
50,340.407689
50,406.060263
50,384.691457
50,304.416901
50,389.109972
50,319.264497
50,382.210744
50,352.662466
50,330.446269
50,339.870829
50,366.291012
50,328.795265
50,357.15298
50,412.834949
50,350.535793
50,310.711642
50,399.294155
50,352.010715
50,307.189555
50,293.699021
50,353.574797
50,366.216795
50,366.740072
50,349.38211
50,332.008539
50,321.443455
50,412.648045
50,330.549796
50,400.149938
50,398.715151
50,347.953892
50,334.545083
50,346.725777
50,340.230828
50,386.387351
50,299.01118
50,345.032667
50,382.551535
50,357.49232
50,348.834593
50,353.218578
50,343.616273
50,285.534176
50,351.722415
50,334.516278
50,340.755221
50,365.6547
50,314.157885
50,297.115279
50,303.521733
50,333.601737
50,290.892322
50,358.837725
50,352.343564
50,320.75067
50,353.099762
50,367.710464
50,394.240853
50,330.196172
50,297.856947
50,416.885034
50,284.248334
50,362.12222
50,335.776325
50,314.566809
50,347.780943
50,364.344073
50,319.809113
50,346.195032
50,347.435126
50,378.666598
50,377.277399
50,325.22794
50,299.224397
50,284.687019
50,390.32016
50,315.148126
50,321.731653
50,355.451489
50,338.996622
50,299.699215
50,347.262146
50,363.981124
50,297.577394
50,399.978568
50,336.098513
50,303.191065
50,277.20429
50,365.132269
50,313.878234
50,365.142024
50,289.075438
50,363.625446
50,348.909159
50,292.671128
50,276.857837
50,295.061728
50,358.429594
50,333.833708
50,335.00952
50,306.698112
50,303.197078
50,260.127523
50,278.807489
50,277.062904
50,357.133869
50,273.535805
50,319.206817
50,279.901661
50,340.617575
50,367.18764
50,298.639771
50,334.54622
50,267.383889
50,269.526558
50,294.314012
50,312.417908
50,369.320926
50,262.901083
50,268.022076
50,262.637684
50,296.358405
50,290.933499
50,274.397776
50,256.515846
50,235.186016
50,246.901151
50,270.38824
50,274.930932
50,233.853294
50,265.810435
50,218.822196
50,221.26744
50,210.358003
50,200.717772
100,353.514904
100,298.362539
100,346.397524
100,323.020108
100,347.135897
100,378.343422
100,379.54397
100,309.429287
100,373.131075
100,354.843492
100,376.737914
100,359.410587
100,360.317865
100,323.992347
100,353.535422
100,394.514469
100,351.115208
100,364.277592
100,394.776032
100,321.294944
100,419.218399
100,382.959822
100,361.356512
100,328.942584
100,371.237505
100,363.937266
100,345.649416
100,369.496678
100,361.728855
100,355.597662
100,361.782707
100,354.124977
100,360.960639
100,330.019811
100,357.085691
100,366.84834
100,392.695289
100,353.622581
100,372.558333
100,350.430123
100,375.149105
100,322.131663
100,323.700201
100,370.585929
100,380.469393
100,328.019086
100,355.132281
100,341.075594
100,365.549587
100,331.406749
