step,value
0,1.0
0,1.0
0,1.0
0,1.0
0,0.910456
0,0.926458
0,0.908199
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.926788
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.909181
0,1.0
0,1.0
0,1.0
0,0.907283
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.914106
0,0.846802
0,1.0
0,0.778834
0,1.0
0,1.0
0,1.0
0,1.0
0,0.913706
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.908716
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.912543
0,1.0
0,1.0
0,1.0
0,0.927987
0,1.0
0,0.923177
0,1.0
0,1.0
0,1.0
0,1.0
0,0.912818
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.963378
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.910451
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.909374
0,1.0
0,1.0
0,1.0
0,1.0
50,0.582805
50,0.690184
50,0.643993
50,0.614474
50,0.587346
50,0.569808
50,0.554653
50,0.62894
50,0.578027
50,0.706919
50,0.633629
50,0.585037
50,0.727481
50,0.638565
50,0.573195
50,0.575617
50,0.612993
50,0.576009
50,0.560404
50,0.653845
50,0.553773
50,0.569362
50,0.620118
50,0.665415
50,0.520692
50,0.628725
50,0.598274
50,0.623725
50,0.544165
50,0.551538
50,0.54272
50,0.570559
50,0.576732
50,0.564399
50,0.599003
50,0.575248
50,0.522853
50,0.58125
50,0.55854
50,0.575141
50,0.570813
50,0.679746
50,0.633033
50,0.631131
50,0.587698
50,0.633088
50,0.667416
50,0.651266
50,0.558705
50,0.601566
50,0.61181
50,0.655058
50,0.644141
50,0.526
50,0.574357
50,0.57141
50,0.650245
50,0.558736
50,0.605032
50,0.631868
50,0.508871
50,0.538121
50,0.574209
50,0.564144
50,0.544472
50,0.563292
50,0.606876
50,0.712053
50,0.619309
50,0.605607
50,0.603458
50,0.513918
50,0.541999
50,0.669505
50,0.534652
50,0.637552
50,0.547625
50,0.586502
50,0.621494
50,0.603711
50,0.56448
50,0.622599
50,0.579698
50,0.509918
50,0.588193
50,0.65597
50,0.525291
50,0.586133
50,0.645197
50,0.686314
50,0.588723
50,0.567844
50,0.564015
50,0.590496
50,0.615345
50,0.628941
50,0.513571
50,0.622917
50,0.524182
50,0.520656
50,0.591756
50,0.619955
50,0.594195
50,0.603593
50,0.543346
50,0.674595
50,0.556569
50,0.541301
50,0.578609
50,0.59118
50,0.582306
50,0.597753
50,0.710837
50,0.58702
50,0.613704
50,0.602451
50,0.567924
50,0.604791
50,0.67905
50,0.661204
50,0.613583
50,0.693104
50,0.578755
50,0.587583
50,0.64119
