# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,103,202.6213,10.8291,190.0,190.273,199.7024,200.7839,201.7094,220.8809,237.6064,259.4216
0,actif_liquide,103,198.9079,4.1609,190.0,190.0343,199.6524,200.7312,201.3819,201.8906,202.2007,202.2113
0,actif_total,103,215.2426,9.9894,208.9325,209.4319,210.1476,211.6379,213.5499,232.6372,249.0815,271.4681
0,ratio_L_P,103,0.9836,0.0389,0.7788,0.913,1.0,1.0,1.0,1.0,1.0,1.0
0,taux_interne,103,0.0348,0.0036,0.0286,0.0297,0.0318,0.0348,0.0375,0.0398,0.0423,0.0423
0,levier_entite,103,0.9412,0.0166,0.902,0.9072,0.9447,0.9482,0.9505,0.9534,0.9545,0.9556
50,passif_total,205,333.1498,41.5906,200.7178,277.1195,304.4169,338.9966,362.6902,382.7282,412.8275,416.885
50,actif_liquide,205,205.2433,3.3825,190.0,201.5834,203.5777,205.6621,207.4304,208.7613,210.7801,211.9239
50,actif_total,205,367.9551,49.8426,211.4355,307.6348,339.5975,376.5168,396.377,418.9547,492.0054,533.2293
50,ratio_L_P,205,0.6259,0.0811,0.505,0.5443,0.5725,0.6059,0.6654,0.7242,0.9179,1.0
50,taux_interne,205,0.0271,0.0027,0.022,0.024,0.0249,0.0269,0.0289,0.0303,0.0347,0.0361
50,levier_entite,205,0.9103,0.0759,0.6102,0.8134,0.8893,0.9523,0.9552,0.9578,0.9613,0.962
100,passif_total,295,342.628,37.2873,199.5317,299.199,322.0095,346.8551,367.8064,382.2113,419.6906,443.2704
100,actif_liquide,295,205.1319,3.8092,190.0,202.0261,203.9148,205.8586,207.4963,208.6803,210.3341,211.4591
100,actif_total,295,399.3797,77.0558,209.0633,325.614,360.6835,387.3724,415.0864,495.8169,652.3251,694.0632
100,ratio_L_P,295,0.6063,0.0728,0.4657,0.5401,0.5646,0.5902,0.6321,0.6719,0.9249,1.0
100,taux_interne,295,0.0268,0.0028,0.0203,0.0234,0.0248,0.0266,0.0285,0.0301,0.0356,0.0394
100,levier_entite,295,0.877,0.1204,0.4847,0.6721,0.8285,0.9527,0.9572,0.9599,0.9649,0.9662
150,passif_total,395,341.9816,40.589,201.7258,295.0111,322.1704,345.0997,367.2847,390.6112,419.9773,437.341
150,actif_liquide,395,205.1939,3.9764,190.0,201.1846,203.4248,205.357,207.3682,209.4543,215.7164,217.9306
150,actif_total,395,413.9149,125.5596,213.4516,309.8037,346.3068,378.9654,429.8019,588.5439,857.0815,986.8691
150,ratio_L_P,395,0.6089,0.078,0.4844,0.5356,0.5637,0.5944,0.631,0.6851,0.9185,1.0
150,taux_interne,395,0.0269,0.0035,0.0177,0.0226,0.0244,0.0271,0.029,0.031,0.038,0.0417
150,levier_entite,395,0.8653,0.1424,0.3992,0.6201,0.8266,0.953,0.9584,0.9619,0.972,0.9801
200,passif_total,521,343.9095,43.785,199.8905,293.6294,317.9335,342.5776,372.244,395.9006,445.5759,524.5179
200,actif_liquide,521,204.8135,5.3809,190.0,199.1053,202.6194,204.8683,207.556,210.5851,217.9814,227.1047
200,actif_total,521,440.7592,174.1071,209.7809,314.9101,347.1853,386.7492,452.6606,684.2908,1062.4727,1418.2341
200,ratio_L_P,521,0.605,0.0779,0.4151,0.5251,0.5584,0.5963,0.6337,0.6821,0.8896,1.0
200,taux_interne,521,0.027,0.0037,0.0169,0.0224,0.0245,0.027,0.0291,0.0316,0.0362,0.0425
200,levier_entite,521,0.8405,0.1685,0.3193,0.5447,0.7583,0.9483,0.959,0.9646,0.9823,0.9934
250,passif_total,598,348.8387,47.7405,200.7449,296.8799,318.3079,347.3469,375.2382,409.2992,481.0047,548.4206
250,actif_liquide,598,203.6387,6.5447,190.0,195.209,200.3398,204.0461,207.0912,210.8424,220.3232,231.8911
250,actif_total,598,487.5114,237.6034,211.4898,318.8914,354.6502,400.1122,524.8256,807.6427,1487.2739,1673.4863
250,ratio_L_P,598,0.5938,0.0781,0.4102,0.5067,0.5482,0.5885,0.6347,0.6713,0.9199,1.0
250,taux_interne,598,0.0267,0.0037,0.0159,0.0222,0.0242,0.0266,0.0289,0.0312,0.0369,0.0403
250,levier_entite,598,0.8021,0.1989,0.2524,0.4646,0.6699,0.894,0.9603,0.9719,0.9931,0.9989
300,passif_total,659,348.013,51.428,216.466,288.0872,316.8433,343.7398,375.5297,415.3707,490.8093,521.5921
300,actif_liquide,659,204.5563,6.8158,190.0,196.4678,200.9063,204.2368,207.3723,213.4841,225.6082,235.436
300,actif_total,659,506.8545,274.2289,219.1002,312.8422,353.0951,400.1657,542.3996,913.5895,1605.8482,2100.8562
300,ratio_L_P,659,0.5988,0.0785,0.4072,0.5025,0.5476,0.5932,0.6358,0.692,0.853,0.9232
300,taux_interne,659,0.0265,0.004,0.0156,0.0215,0.0239,0.0263,0.0288,0.0314,0.0361,0.0464
300,levier_entite,659,0.7864,0.2069,0.2263,0.4341,0.641,0.885,0.9595,0.9745,0.995,0.9989
350,passif_total,710,344.3624,55.2823,200.0993,284.6797,308.7661,337.8288,378.5249,411.3999,502.8521,607.6154
350,actif_liquide,710,203.1994,7.2362,190.0,193.9169,198.9597,202.9671,206.4941,212.2372,225.1973,233.9155
350,actif_total,710,519.1477,298.5546,210.1987,301.5168,348.0504,403.5429,561.1245,965.4818,1656.518,2006.0348
350,ratio_L_P,710,0.6028,0.0844,0.3829,0.5049,0.5459,0.5997,0.6476,0.6923,0.8817,1.0
350,taux_interne,710,0.0263,0.004,0.0142,0.0214,0.0237,0.0263,0.0288,0.0314,0.0355,0.0411
350,levier_entite,710,0.7736,0.2168,0.2424,0.4171,0.6207,0.8645,0.9591,0.9769,0.997,0.9999
400,passif_total,698,344.1668,54.5577,210.5756,285.6196,310.5104,334.4767,372.1541,419.7074,510.6641,537.4656
400,actif_liquide,698,202.6975,8.1533,190.0,191.5865,197.5494,202.4866,205.9358,212.8851,227.7239,233.6167
400,actif_total,698,534.3793,323.5313,216.9415,301.9836,344.3255,403.8933,578.2289,986.348,1692.602,2249.506
400,ratio_L_P,698,0.601,0.0808,0.3875,0.4966,0.549,0.6046,0.648,0.6908,0.8394,0.9254
400,taux_interne,698,0.0259,0.0039,0.0157,0.0208,0.0232,0.0258,0.0285,0.0309,0.0356,0.0391
400,levier_entite,698,0.7635,0.2234,0.1845,0.4063,0.5854,0.8515,0.9619,0.9773,0.9972,0.9994
450,passif_total,675,339.5227,56.6991,200.5397,278.2598,303.1098,328.4149,368.591,411.7638,513.361,673.6644
450,actif_liquide,675,203.6739,8.2062,190.0,193.1864,198.573,203.0357,207.6866,213.9602,228.0395,242.36
450,actif_total,675,545.3474,339.8367,211.0795,298.5206,341.8819,402.5477,614.6709,1020.8407,1821.2921,2570.9992
450,ratio_L_P,675,0.6129,0.0826,0.3598,0.5092,0.562,0.6161,0.6586,0.7083,0.8379,1.0
450,taux_interne,675,0.0258,0.0042,0.0137,0.0204,0.023,0.0256,0.0284,0.0313,0.036,0.0416
450,levier_entite,675,0.7469,0.2286,0.2089,0.3865,0.5443,0.8336,0.9579,0.9809,0.9978,0.9999
500,passif_total,640,335.0892,55.8475,200.0907,273.7289,298.7767,326.6302,368.9598,409.5172,493.1326,577.4733
500,actif_liquide,640,203.5461,7.9367,190.0,193.4784,198.76,202.5657,207.0378,214.1871,228.6526,235.735
500,actif_total,640,529.1196,327.9039,210.1814,290.3548,335.5306,395.8552,590.6686,971.7351,1742.9097,2340.0074
500,ratio_L_P,640,0.621,0.086,0.3985,0.5188,0.5624,0.6201,0.6703,0.7211,0.8796,1.0
500,taux_interne,640,0.0256,0.004,0.0147,0.0206,0.0229,0.0253,0.028,0.0304,0.0362,0.0415
500,levier_entite,640,0.7549,0.2234,0.2127,0.3956,0.5754,0.8428,0.9578,0.9736,0.9985,0.9998
550,passif_total,640,334.2215,53.2274,210.6954,276.1654,298.0608,326.1087,363.3357,405.8121,485.0089,539.3923
550,actif_liquide,640,201.9673,8.0211,190.0,191.0268,196.3269,201.7904,205.3016,212.5942,226.3285,234.3344
550,actif_total,640,530.6269,331.8264,221.8011,298.3185,336.1105,394.1928,593.0178,983.5076,1782.1727,2159.9491
550,ratio_L_P,640,0.617,0.0849,0.4014,0.5114,0.5612,0.6177,0.6653,0.711,0.8482,0.9545
550,taux_interne,640,0.0254,0.0039,0.0144,0.0205,0.0228,0.0252,0.0276,0.0305,0.0361,0.0384
550,levier_entite,640,0.7551,0.2287,0.2193,0.3921,0.5784,0.84,0.9608,0.9758,0.9954,0.9983
600,passif_total,620,335.1198,54.6585,212.105,276.3229,298.4289,326.4857,363.1694,404.2649,492.589,557.7178
600,actif_liquide,620,201.7589,7.6306,190.0,191.5155,196.9417,201.4575,205.3682,210.6412,225.3563,232.4705
600,actif_total,620,537.151,337.6952,212.3998,293.9534,340.9787,404.4753,595.8913,989.2517,1818.7501,2287.0696
600,ratio_L_P,620,0.615,0.0833,0.3819,0.5061,0.5606,0.6151,0.6642,0.7082,0.8445,0.9152
600,taux_interne,620,0.0253,0.0042,0.0129,0.0204,0.0229,0.0249,0.0276,0.0308,0.0365,0.0421
600,levier_entite,620,0.7469,0.226,0.175,0.3805,0.5559,0.8319,0.9557,0.9763,0.9983,0.9994
650,passif_total,626,329.5836,55.4099,208.4917,265.3587,292.3231,323.2482,360.3674,403.2262,488.1419,604.3862
650,actif_liquide,626,202.7298,7.3623,190.0,194.144,198.4795,201.9755,205.8988,212.6079,228.5778,238.699
650,actif_total,626,527.1197,338.3364,211.3212,289.7596,334.2736,395.0138,592.0237,984.8898,1814.8651,2439.2278
650,ratio_L_P,626,0.6294,0.0894,0.3949,0.5214,0.5668,0.6271,0.6829,0.7361,0.8986,0.958
650,taux_interne,626,0.0253,0.004,0.0153,0.0203,0.023,0.0251,0.0277,0.0301,0.037,0.0419
650,levier_entite,626,0.7528,0.2286,0.1848,0.3866,0.5666,0.8371,0.9582,0.9752,0.997,0.9994
700,passif_total,623,332.2719,55.7161,200.1509,266.5571,294.8989,324.2917,365.2667,414.8387,480.8476,541.8483
700,actif_liquide,623,201.172,8.1461,190.0,190.0,194.9554,201.0725,205.0296,211.2323,224.8348,234.8935
700,actif_total,623,545.6009,357.2293,210.3018,286.5277,340.823,403.7185,593.7457,1077.6491,1855.9706,2138.5409
700,ratio_L_P,623,0.62,0.0918,0.3712,0.5053,0.559,0.6183,0.6732,0.7322,0.8843,1.0
700,taux_interne,623,0.0251,0.004,0.0137,0.0203,0.0228,0.025,0.0276,0.0301,0.0365,0.0394
700,levier_entite,623,0.744,0.2361,0.189,0.3556,0.5576,0.8247,0.958,0.98,0.9974,0.9997
750,passif_total,597,330.0919,58.7827,200.9379,262.3943,293.8788,321.1338,363.5751,408.5975,510.7656,574.2105
750,actif_liquide,597,202.246,7.918,190.0,193.0485,197.3023,201.3276,205.2685,212.5074,227.736,238.438
750,actif_total,597,543.549,370.7423,211.8757,282.256,337.2465,389.9773,615.6006,1034.496,1869.3986,2428.6184
750,ratio_L_P,597,0.6286,0.0945,0.3928,0.5135,0.5615,0.6311,0.6808,0.7441,0.8835,1.0
750,taux_interne,597,0.025,0.0039,0.0126,0.0198,0.0224,0.0251,0.0273,0.03,0.035,0.0375
750,levier_entite,597,0.7461,0.2344,0.2129,0.3648,0.5437,0.8283,0.9575,0.9763,0.9977,0.9998
800,passif_total,584,331.1797,58.7382,202.1618,264.5182,289.5411,323.431,365.1784,408.5549,496.6613,597.1072
800,actif_liquide,584,201.3295,8.7885,190.0,190.0,194.808,200.8822,205.0727,212.4465,229.0817,243.548
800,actif_total,584,551.1513,381.2266,212.5687,291.9861,334.2147,393.8094,607.0999,1075.6382,1949.1881,2608.1831
800,ratio_L_P,584,0.6234,0.0927,0.3806,0.5068,0.5571,0.6195,0.6854,0.7441,0.8945,1.0
800,taux_interne,584,0.025,0.004,0.013,0.0198,0.0226,0.025,0.0273,0.0297,0.0349,0.0421
800,levier_entite,584,0.7436,0.2399,0.1912,0.3486,0.5463,0.8424,0.9562,0.9761,0.9963,0.9993
850,passif_total,545,330.3528,58.9116,201.7948,261.4531,291.6577,321.8316,361.5087,408.7355,498.5617,632.9676
850,actif_liquide,545,199.9736,8.0991,190.0,190.0,193.7056,199.6255,203.9016,209.6748,224.7251,233.21
850,actif_total,545,565.1984,397.4618,210.0186,295.0683,337.4026,396.5475,626.3797,1087.4949,2027.1395,2619.914
850,ratio_L_P,545,0.6217,0.0973,0.3684,0.4986,0.5621,0.6151,0.6805,0.7471,0.8947,1.0
850,taux_interne,545,0.0248,0.004,0.0136,0.0196,0.0223,0.025,0.0273,0.0297,0.0356,0.0402
850,levier_entite,545,0.7315,0.2459,0.1862,0.3367,0.5325,0.8181,0.9571,0.9766,0.9968,0.9992
900,passif_total,512,326.8307,56.9753,211.1183,260.1768,284.6932,321.7844,360.3218,400.4248,504.8311,587.218
900,actif_liquide,512,200.6431,7.5939,190.0,190.7237,195.5426,200.3565,203.9839,208.5964,223.2619,233.8754
900,actif_total,512,559.0091,383.2793,222.5122,285.1777,332.945,398.8844,624.2564,1159.9819,2026.3675,2481.2848
900,ratio_L_P,512,0.6298,0.0962,0.3843,0.5138,0.5636,0.6171,0.689,0.7562,0.8808,0.9539
900,taux_interne,512,0.0249,0.0043,0.0139,0.0194,0.0223,0.0247,0.0272,0.0303,0.0361,0.039
900,levier_entite,512,0.7314,0.2472,0.1819,0.3329,0.5202,0.8366,0.9564,0.9751,0.9979,1.0
950,passif_total,521,326.4461,57.8935,200.0237,257.1317,287.6262,318.6772,360.8305,401.4481,482.572,558.3989
950,actif_liquide,521,201.6035,7.9392,190.0,191.5039,196.6875,200.7395,205.0909,211.6643,226.0628,235.413
950,actif_total,521,546.4334,396.3275,210.0474,287.1139,330.6677,382.2218,560.6368,1085.9863,2063.3291,2408.387
950,ratio_L_P,521,0.6341,0.0984,0.4158,0.5131,0.5672,0.6304,0.6875,0.7549,0.9355,1.0
950,taux_interne,521,0.025,0.0043,0.014,0.0191,0.0224,0.025,0.0277,0.0301,0.0357,0.0395
950,levier_entite,521,0.7486,0.2413,0.1735,0.3472,0.5601,0.8481,0.9568,0.9713,0.996,0.9998
