# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,364,0,20
2,0,,1,20
3,0,615,0,20
4,0,903,0,20
5,0,864,0,20
6,0,375,0,20
7,0,268,0,20
8,0,650,0,20
9,0,395,0,20
10,0,,1,20
11,0,,1,20
12,0,425,0,20
13,0,,1,20
14,0,,1,20
15,0,291,0,20
16,0,307,0,20
17,0,,1,20
18,0,329,0,20
19,0,278,0,20
20,0,,1,20
21,0,310,0,20
22,0,337,0,20
23,0,489,0,20
24,0,,1,20
25,0,294,0,20
26,0,919,0,20
27,0,626,0,20
28,0,,1,20
29,0,286,0,20
30,0,306,0,20
31,0,217,0,20
32,0,274,0,20
33,0,371,0,20
34,0,249,0,20
35,0,572,0,20
36,0,377,0,20
37,0,292,0,20
38,0,901,0,20
39,0,256,0,20
40,0,475,0,20
41,0,286,0,20
42,0,,1,20
43,0,,1,20
44,0,,1,20
45,0,,1,20
46,0,851,0,20
47,0,,1,20
48,0,927,0,20
49,0,258,0,20
50,0,674,0,20
51,0,790,0,20
52,0,,1,20
53,0,,1,20
54,0,193,0,20
55,0,463,0,20
56,0,292,0,20
57,0,,1,20
58,0,298,0,20
59,0,644,0,20
60,0,818,0,20
61,0,294,0,20
62,0,292,0,20
63,0,341,0,20
64,0,344,0,20
65,0,307,0,20
66,0,388,0,20
67,0,889,0,20
68,0,,1,20
69,0,624,0,20
70,0,,1,20
71,0,714,0,20
72,0,238,0,20
73,0,312,0,20
74,0,,1,20
75,0,322,0,20
76,0,428,0,20
77,0,256,0,20
78,0,495,0,20
79,0,751,0,20
80,0,753,0,20
81,0,431,0,20
82,0,,1,20
83,0,380,0,20
84,0,280,0,20
85,0,484,0,20
86,0,,1,20
87,0,225,0,20
88,0,744,0,20
89,0,696,0,20
90,0,852,0,20
91,0,,1,20
92,0,366,0,20
93,0,418,0,20
94,0,469,0,20
95,0,,1,20
96,0,855,0,20
97,0,249,0,20
98,0,523,0,20
99,0,289,0,20
100,0,237,0,20
119,11,,1,19
167,29,,1,19
214,55,,1,18
257,77,485,0,18
269,83,293,0,18
352,129,,1,17
423,162,557,0,16
428,163,425,0,16
494,191,297,0,16
520,199,370,0,16
573,230,,1,15
617,252,537,0,14
633,258,549,0,14
663,273,547,0,14
714,294,544,0,14
781,326,518,0,13
795,331,555,0,13
834,348,722,0,13
877,370,674,0,12
890,377,583,0,12
944,406,527,0,11
959,415,578,0,11
1023,447,748,0,11
1024,449,598,0,11
1026,450,615,0,11
1050,464,650,0,10
1068,475,845,0,10
1072,476,619,0,10
1079,479,619,0,10
1084,480,,1,10
1094,484,,1,10
1100,488,615,0,10
1143,506,738,0,9
1148,508,670,0,9
1153,510,629,0,9
1211,538,650,0,9
1222,544,,1,9
1259,559,766,0,8
1265,562,736,0,8
1277,569,731,0,8
1278,570,761,0,8
1368,621,758,0,7
1370,623,810,0,7
1375,625,804,0,7
1464,666,,1,6
1506,688,842,0,6
1545,707,832,0,5
1552,710,,1,5
1632,754,840,0,4
1718,797,991,0,4
1727,803,950,0,3
1740,812,917,0,3
1755,820,962,0,3
1787,840,967,0,3
1791,841,,1,3
1813,854,947,0,2
1823,862,983,0,2
1895,896,,1,2
1962,924,,1,1
1992,937,,1,1
2095,985,,1,0
2111,994,,1,0
