step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,103,103,3,1407.585,0.0,0.0,21,917.5141,0,0.0,0.0,382.481,21,22169.9902,20869.9951,20487.5141,202.6213,0.034792
1,104,104,1,1468.486,12.8905,0.0,0,1087.22,0,0.0,0.0,382.481,21,23486.9167,22017.2156,20847.22,211.704,0.034001
2,107,107,3,1543.3859,12.8905,0.0,6,1161.8464,0,0.0,0.0,489.4881,27,25281.6821,23630.3476,21491.8464,220.8444,0.033296
3,109,109,2,1608.6379,16.2259,0.0,2,1255.2167,0,0.0,0.0,534.5342,29,26770.3265,24980.5756,21965.2167,229.1796,0.032727
4,111,111,2,1667.9023,17.7255,0.0,2,1332.9405,0,0.0,0.0,571.4411,31,28207.7469,26303.3654,22422.9405,236.9673,0.032166
5,111,111,0,1699.8883,18.8458,0.0,8,1316.1144,0,0.0,0.0,730.8129,39,29304.4423,27257.515,22406.1144,245.5632,0.031608
6,112,112,1,1745.5651,23.5635,0.0,2,1392.0891,0,0.0,0.0,774.7974,41,30433.7236,28266.8371,22672.0891,252.3825,0.031191
7,114,114,2,1798.7708,24.8996,0.0,1,1472.7385,0,0.0,0.0,791.4716,42,31701.7762,29437.5661,23132.7385,258.2243,0.030833
8,115,115,1,1838.0044,25.389,0.0,0,1534.5178,0,0.0,0.0,791.4716,42,32710.3166,30384.3273,23384.5178,264.2115,0.030492
9,115,115,0,1861.3804,25.389,0.0,1,1561.1416,0,0.0,0.0,812.6276,43,33486.9613,31113.1922,23411.1416,270.5495,0.030128
10,117,117,2,1913.1017,25.9612,0.0,0,1618.5004,0,0.0,0.0,812.6276,43,34616.5013,32185.3734,23848.5004,275.0887,0.029939
11,121,121,4,1983.9938,25.9612,0.0,3,1657.3908,0,0.0,0.0,874.0153,46,36200.0205,33668.6145,24647.3908,278.253,0.029686
12,124,124,3,2045.6271,27.725,0.0,5,1668.0664,0,0.0,0.0,997.9701,51,37628.8108,34962.7743,25228.0664,281.9579,0.029484
13,128,128,4,2125.2521,31.2708,0.0,0,1775.8927,0,0.0,0.0,997.9701,51,39132.2523,36358.3895,26095.8927,284.0499,0.029465
14,130,130,2,2169.3619,31.2708,0.0,0,1839.301,0,0.0,0.0,997.9701,51,40211.1227,37373.8516,26539.301,287.4912,0.029237
15,133,133,3,2232.1888,31.2708,0.0,6,1832.2639,0,0.0,0.0,1141.2172,57,41625.4586,38651.9775,27102.2639,290.6164,0.02914
16,136,136,3,2294.4356,35.2606,0.0,2,1907.4056,0,0.0,0.0,1183.1385,59,42923.6508,39833.1067,27747.4056,292.8905,0.029023
17,136,136,0,2314.1088,36.4865,0.0,4,1909.884,0,0.0,0.0,1284.2699,63,43638.9652,40444.8113,27749.884,297.3883,0.028789
18,137,137,1,2349.7968,39.3273,0.0,3,1953.1191,0,0.0,0.0,1344.7156,66,44485.7297,41187.895,27983.1191,300.6416,0.028674
19,137,137,0,2364.5136,41.0102,0.0,1,1997.8606,0,0.0,0.0,1363.1508,67,45049.4127,41688.4013,28027.8606,304.2949,0.028464
20,140,140,3,2421.6832,41.4955,0.0,1,2057.5777,0,0.0,0.0,1387.0438,68,46218.6534,42774.0319,28657.5777,305.5288,0.028456
21,147,147,7,2533.9496,42.1075,0.0,10,2034.0264,0,0.0,0.0,1654.603,78,48476.8437,44788.2143,29964.0264,304.6817,0.028561
22,148,148,1,2568.0916,49.5174,0.0,2,2127.3317,0,0.0,0.0,1684.7364,80,49261.9261,45449.858,30247.3317,307.0936,0.028414
23,149,149,1,2596.8891,50.3166,0.0,1,2190.5581,0,0.0,0.0,1707.3989,81,50018.0497,46120.0928,30500.5581,309.5308,0.028309
24,155,155,6,2694.6919,50.9644,0.0,7,2213.7868,0,0.0,0.0,1881.1229,88,51961.5038,47866.5942,31663.7868,308.8167,0.028391
25,157,157,2,2740.9936,55.9134,0.0,1,2304.316,0,0.0,0.0,1899.2234,89,52930.8907,48727.3513,32134.316,310.3653,0.028306
26,158,158,1,2767.1857,56.3998,0.0,0,2365.2434,0,0.0,0.0,1899.2234,89,53657.3263,49392.8595,32385.2434,312.613,0.028155
27,160,160,2,2809.6963,56.3998,0.0,2,2393.2439,0,0.0,0.0,1951.7259,91,54626.2898,50281.32,32793.2439,314.2583,0.028107
28,162,162,2,2850.6889,57.8683,0.0,0,2451.7467,0,0.0,0.0,1951.7259,91,55528.4073,51124.9347,33231.7467,315.586,0.02803
29,167,167,5,2927.4822,57.8683,0.0,2,2507.6875,0,0.0,0.0,1993.9876,93,57092.0655,52590.3904,34237.6875,314.9125,0.028024
30,171,171,4,2999.1432,59.0341,0.0,0,2583.2312,0,0.0,0.0,1993.9876,93,58424.8013,53847.5825,35073.2312,314.8981,0.028059
31,173,173,2,3037.4564,59.0341,0.0,0,2627.7903,0,0.0,0.0,1993.9876,93,59341.3925,54719.6146,35497.7903,316.2984,0.027933
32,175,175,2,3074.2911,59.0341,0.0,8,2562.016,0,0.0,0.0,2202.3162,101,60449.33,55684.9978,35812.016,318.2,0.027766
33,178,178,3,3131.1551,64.4536,0.0,0,2663.8697,0,0.0,0.0,2202.3162,101,61541.5536,56675.3677,36483.8697,318.4009,0.027757
34,179,179,1,3152.8849,64.4536,0.0,0,2714.1935,0,0.0,0.0,2202.3162,101,62210.5342,57294.0245,36724.1935,320.0783,0.02762
35,180,180,1,3181.4731,64.4536,0.0,2,2731.0525,0,0.0,0.0,2244.8212,103,62905.0532,57929.1795,36931.0525,321.8288,0.027561
36,183,183,3,3234.5925,65.6438,0.0,2,2765.5637,0,0.0,0.0,2301.6824,105,64015.9325,58948.6864,37535.5637,322.124,0.027564
37,185,185,2,3272.0104,67.1163,0.0,0,2822.7492,0,0.0,0.0,2301.6824,105,64857.9986,59733.567,37972.7492,322.8841,0.027485
38,186,186,1,3299.2214,67.1163,0.0,3,2817.1844,0,0.0,0.0,2384.5645,108,65567.0257,60365.2768,38157.1844,324.5445,0.027423
39,188,188,2,3342.9956,69.2581,0.0,0,2880.5891,0,0.0,0.0,2384.5645,108,66388.4918,61123.3382,38600.5891,325.1241,0.027454
40,189,189,1,3363.2339,69.2581,0.0,6,2847.7638,0,0.0,0.0,2521.2217,114,67126.4108,61757.4253,38757.7638,326.7589,0.027319
41,190,190,1,3389.7794,72.9349,0.0,5,2846.6732,0,0.0,0.0,2651.943,119,67838.6935,62340.0773,38946.6732,328.1057,0.027235
42,190,190,0,3404.0901,76.3822,0.0,12,2768.0672,0,0.0,0.0,2943.0643,131,68486.3896,62775.2581,38868.0672,330.3961,0.027141
43,192,192,2,3447.4398,83.9086,0.0,0,2904.176,0,0.0,0.0,2943.0643,131,69239.1485,63391.9083,39384.176,330.1662,0.027196
