step,volume_joules,nb_entites,ratio_destruction
193,230.8545,1,0.001058
212,257.5431,1,0.001047
215,262.9749,1,0.001056
217,272.4363,1,0.001087
220,263.8885,1,0.001041
225,206.5863,1,0.000801
233,229.8245,1,0.000855
237,262.7357,1,0.000961
238,244.9424,1,0.000897
244,276.3842,1,0.000974
249,498.6738,2,0.001715
252,291.1832,1,0.000988
253,269.1642,1,0.00091
256,772.657,3,0.002593
258,271.9804,1,0.000908
266,218.7161,1,0.000704
268,230.3171,1,0.000734
269,250.8402,1,0.000797
271,242.1812,1,0.000763
272,281.4315,1,0.000883
274,269.1897,1,0.000837
275,481.5568,2,0.001493
276,255.1546,1,0.000788
278,633.2843,2,0.001939
280,493.6366,2,0.001499
281,228.0609,1,0.000693
282,217.66,1,0.000659
284,256.3483,1,0.000771
286,520.6134,2,0.001562
289,1110.368,4,0.003253
290,582.9673,2,0.001719
291,558.2419,2,0.001647
292,1304.818,5,0.003849
293,545.3356,2,0.001627
294,793.1411,3,0.002355
295,543.7011,2,0.001625
296,248.0692,1,0.000744
297,577.3551,2,0.001723
298,287.2651,1,0.000854
299,569.3163,2,0.001693
300,316.4241,1,0.000945
303,506.837,2,0.001496
304,215.9905,1,0.000637
306,542.9227,2,0.001581
307,514.9937,2,0.001498
308,533.2362,2,0.001551
309,242.66,1,0.000709
310,728.7551,3,0.00212
311,243.838,1,0.000712
312,772.0027,3,0.002253
313,450.8827,2,0.00132
316,259.8148,1,0.000756
319,492.3471,2,0.001408
320,273.5957,1,0.000786
321,591.2309,2,0.001694
322,1366.7832,5,0.003896
324,562.727,2,0.001603
326,225.8887,1,0.000641
329,492.5941,2,0.001385
331,495.3346,2,0.00139
332,502.5351,2,0.001412
334,505.6946,2,0.001394
336,1167.3038,4,0.003192
337,500.5352,2,0.001382
340,246.1025,1,0.000671
341,720.0074,3,0.00196
342,581.7036,2,0.001592
343,1124.5414,4,0.003073
344,783.2583,3,0.002154
345,483.1065,2,0.001332
346,298.7729,1,0.000826
348,1081.7389,4,0.002929
350,325.4609,1,0.00088
351,839.5667,3,0.002258
352,513.0082,2,0.001387
353,812.3765,3,0.002193
355,965.4446,4,0.002602
356,265.3351,1,0.000718
357,227.6965,1,0.000615
358,593.0972,2,0.001592
360,259.0991,1,0.000694
361,1198.3887,4,0.003177
362,474.0156,2,0.001261
364,893.3386,3,0.002371
365,889.8966,3,0.002358
366,241.0349,1,0.000643
367,1383.4798,5,0.003667
368,255.1684,1,0.000682
369,917.6518,3,0.002454
370,910.3427,3,0.002443
371,790.6443,3,0.002125
372,259.5616,1,0.000699
373,305.9177,1,0.000825
374,816.1902,3,0.002189
375,851.6957,3,0.0023
376,282.7181,1,0.000765
377,561.6244,2,0.001503
378,500.0768,2,0.001343
379,276.9477,1,0.000745
380,1025.9836,4,0.002739
381,656.6104,2,0.001758
382,209.0072,1,0.00056
383,828.2742,3,0.002212
384,838.6276,3,0.002238
386,1106.559,4,0.002958
387,739.6896,3,0.001982
388,606.8288,2,0.001618
389,284.9059,1,0.000763
390,237.8964,1,0.000636
391,556.3546,2,0.001484
392,565.0464,2,0.00149
393,583.2603,2,0.001539
394,762.8734,3,0.002016
395,595.1352,2,0.001575
396,848.5032,3,0.002256
397,546.0667,2,0.00146
398,504.9136,2,0.001352
399,530.6779,2,0.00142
400,487.5932,2,0.001301
401,239.5879,1,0.000642
402,291.206,1,0.000774
403,1013.6964,4,0.002681
404,595.2423,2,0.001581
405,868.3711,3,0.002311
406,228.0385,1,0.00061
407,496.8013,2,0.001324
408,534.0254,2,0.001412
409,1204.1587,4,0.0032
410,891.804,3,0.002382
411,859.0458,3,0.002295
412,271.1946,1,0.000728
413,522.3553,2,0.0014
414,302.9623,1,0.000808
415,597.6174,2,0.001589
416,624.2774,2,0.001665
417,508.8596,2,0.00136
418,756.665,3,0.002004
419,816.1333,3,0.002164
420,513.0264,2,0.001366
421,985.9262,4,0.002621
422,284.5285,1,0.000762
423,825.8378,3,0.00221
424,807.1804,3,0.002172
425,1323.4483,5,0.003573
426,863.6702,3,0.002339
427,224.9028,1,0.000609
428,1042.9239,4,0.002802
430,282.2805,1,0.000759
431,1017.0716,4,0.002727
432,847.0588,3,0.002282
433,629.1477,2,0.001701
436,306.0127,1,0.000817
437,263.7996,1,0.000702
438,245.4265,1,0.00065
439,610.4955,2,0.00161
441,239.7644,1,0.000631
442,1457.7909,5,0.003802
443,898.1054,3,0.002372
444,1073.4176,4,0.002844
445,364.5679,1,0.000969
446,486.9788,2,0.001286
447,1310.3607,4,0.003454
448,1361.961,5,0.003601
449,1463.2684,5,0.003911
450,521.309,2,0.001409
451,1219.8122,4,0.003307
452,1048.7682,4,0.002853
453,278.4515,1,0.00076
454,475.5387,2,0.001294
455,1346.4623,5,0.003647
456,578.4573,2,0.001583
457,272.0565,1,0.000745
458,759.8986,3,0.002081
459,842.24,3,0.002282
460,647.5298,2,0.001761
461,1310.739,5,0.003566
462,1182.6373,4,0.003248
463,519.819,2,0.00144
464,1055.8672,4,0.002936
