# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
8,1,27.9758,0.0,24.0842,542.2702,440.5803,184.0025,18,0.05159,1.0,1,0,24.0842
9,1,31.2672,0.0,26.5169,561.5452,457.5366,180.9609,17,0.055681,1.0,1,0,26.5169
11,1,34.4456,0.0,29.1269,634.5757,514.8226,195.9331,17,0.054281,1.0,1,0,29.1269
14,1,41.105,0.0,34.4404,765.6249,619.2635,226.4187,18,0.053688,1.0,1,0,34.4404
15,1,45.1814,0.0,37.5815,795.6719,634.6991,245.3448,19,0.056784,1.0,1,0,37.5815
16,1,49.7052,0.0,41.0552,848.3478,663.8813,283.7477,22,0.058591,1.0,1,0,41.0552
18,1,49.7572,0.0,41.2897,929.5559,748.1471,280.0057,22,0.053528,1.0,1,0,41.2897
19,1,66.0416,0.0,53.6448,941.2366,760.5494,270.9726,21,0.070165,1.0,1,0,53.6448
20,1,71.1808,0.0,57.379,931.6386,753.8121,262.1419,20,0.076404,1.0,1,0,57.379
24,2,161.2044,0.0,130.2312,1194.8596,957.602,317.4595,25,0.134915,1.0,2,0,66.1967
25,3,196.9215,0.0,161.0195,1121.8963,908.705,255.8231,23,0.175526,1.0,3,0,45.2323
27,1,83.5348,0.0,57.3974,1020.5359,805.4734,274.8981,21,0.081854,1.0,1,0,57.3974
29,2,156.3156,0.0,125.9514,1097.3482,875.8881,284.1405,23,0.142448,1.0,2,0,65.8287
30,3,228.0481,0.0,168.2586,1008.9956,811.829,235.79,21,0.226015,1.0,3,0,52.4674
31,1,50.8818,0.0,42.1473,778.5462,634.3605,224.1916,18,0.065355,1.0,1,0,42.1473
36,5,327.5581,0.0,257.3941,1154.4133,942.8697,250.6295,24,0.283744,1.0,5,0,51.7292
38,4,292.9417,0.0,236.6003,933.0408,772.9762,186.0826,20,0.313964,1.0,4,0,65.318
41,1,57.8545,0.0,47.2471,756.1352,597.5584,238.4136,20,0.076513,1.0,1,0,47.2471
42,1,69.7108,0.0,48.4869,748.922,602.4188,217.7036,19,0.093082,1.0,1,0,48.4869
43,3,156.6704,0.0,129.6651,751.6115,614.4469,196.6425,19,0.208446,1.0,3,0,35.1673
45,2,119.0618,0.0,97.7163,697.1934,565.0413,195.6925,18,0.170773,1.0,2,0,56.685
47,1,65.3447,0.0,53.1888,668.231,542.2815,196.453,17,0.097788,1.0,1,0,53.1888
48,2,97.4176,0.0,80.4191,654.9901,534.6429,177.3696,16,0.148731,1.0,2,0,41.2567
50,1,55.3727,0.0,45.338,663.2197,525.9652,211.5182,17,0.083491,1.0,1,0,45.338
52,2,111.1995,0.0,91.419,739.574,593.1361,211.2285,18,0.150356,1.0,2,0,55.7281
54,1,55.2713,0.0,45.624,750.1152,596.3026,219.7919,18,0.073684,1.0,1,0,45.624
58,1,96.3091,0.0,66.5755,1025.4361,791.7848,309.8363,24,0.09392,1.0,1,0,66.5755
59,2,151.5163,0.0,111.223,999.5443,793.7982,276.9674,23,0.151585,1.0,2,0,57.5683
61,1,58.5537,0.0,48.0975,1003.2167,787.6139,335.0177,26,0.058366,1.0,1,0,48.0975
62,1,56.9089,0.0,46.5929,1017.8188,813.6895,316.1429,25,0.055913,1.0,1,0,46.5929
63,1,83.4079,0.0,66.584,1046.9747,838.4424,315.0377,25,0.079666,1.0,1,0,66.584
64,1,87.6328,0.0,69.8897,1072.6051,858.0096,309.9314,26,0.081701,1.0,1,0,69.8897
67,4,249.2985,0.0,197.783,1314.7771,1045.5033,342.2319,30,0.189613,1.0,4,0,50.3017
69,1,56.3748,0.0,46.2699,1193.8022,948.1926,357.4027,28,0.047223,1.0,1,0,46.2699
71,3,251.0982,0.0,188.0887,1357.3834,1088.8978,344.8805,29,0.184987,1.0,3,0,64.1225
72,2,161.5174,0.0,128.8731,1153.4154,936.7809,311.1341,26,0.140034,1.0,2,0,67.7213
73,1,56.7447,0.0,46.2348,1035.4603,839.7113,302.6207,24,0.054801,1.0,1,0,46.2348
74,2,91.9465,0.0,76.511,1049.6639,852.762,290.5032,23,0.087596,1.0,2,0,44.9474
76,1,82.8948,0.0,66.0571,1095.447,881.544,310.3681,23,0.075672,1.0,1,0,66.0571
77,1,51.3235,0.0,42.4796,1064.0682,860.2247,302.1236,22,0.048233,1.0,1,0,42.4796
78,2,153.6807,0.0,123.6544,1102.7686,891.6305,287.2945,22,0.139359,1.0,2,0,69.9797
81,4,250.2455,0.0,205.1542,1169.067,950.0315,279.2019,23,0.214056,1.0,4,0,56.9787
83,3,194.8014,0.0,152.2796,1045.3632,842.4932,257.9622,21,0.186348,1.0,3,0,56.0918
84,1,58.2327,0.0,47.7232,875.0818,701.0979,257.4311,19,0.066545,1.0,1,0,47.7232
85,2,129.4905,0.0,105.3741,912.8118,736.3627,226.3484,19,0.141859,1.0,2,0,59.0001
87,4,283.9889,0.0,228.9823,931.0473,747.0819,194.155,18,0.305021,1.0,4,0,60.8703
90,3,262.9067,0.0,195.8038,811.7022,647.5442,176.8453,17,0.323895,1.0,3,0,67.8928
92,1,44.4611,0.0,37.5932,602.3192,484.5618,187.7692,16,0.073817,1.0,1,0,37.5932
93,1,43.4683,0.0,36.1061,601.8246,485.1575,181.1102,15,0.072228,1.0,1,0,36.1061
95,1,63.1144,0.0,50.9116,672.8764,540.6608,197.5584,16,0.093798,1.0,1,0,50.9116
99,1,57.8799,0.0,47.7045,837.7998,672.1513,247.8584,19,0.069086,1.0,1,0,47.7045
101,3,204.2643,0.0,165.5457,923.1917,752.2227,221.1602,19,0.221259,1.0,3,0,58.5789
103,2,158.4248,0.0,126.8281,823.2016,665.0963,212.8811,18,0.19245,1.0,2,0,63.7906
106,2,151.8607,0.0,122.1891,881.5629,716.5313,222.7637,21,0.172263,1.0,2,0,68.1705
107,1,46.7094,0.0,38.9579,794.1126,624.8825,254.7206,22,0.05882,1.0,1,0,38.9579
109,3,181.9284,0.0,148.4404,918.447,733.8867,244.7885,23,0.198083,1.0,3,0,52.4926
110,1,62.5497,0.0,50.8826,765.6938,608.6317,229.2333,20,0.08169,1.0,1,0,50.8826
111,2,146.8713,0.0,106.3745,786.9106,625.0143,216.7181,20,0.186643,1.0,2,0,68.4533
117,5,298.4007,0.0,226.0919,1182.4293,943.1362,288.546,27,0.252362,1.0,5,0,44.4666
118,3,180.6562,0.0,145.2799,913.6461,738.7444,241.7893,22,0.197731,1.0,3,0,47.811
119,2,103.1448,0.0,83.9012,769.3179,620.1987,221.8908,19,0.134073,1.0,2,0,42.7359
122,2,141.7465,0.0,112.6762,894.3568,714.7653,251.7752,21,0.15849,1.0,2,0,62.6043
124,1,51.8989,0.0,42.4682,874.2615,699.4012,267.553,21,0.059363,1.0,1,0,42.4682
125,1,36.894,0.0,31.403,925.209,729.3354,291.6405,23,0.039876,1.0,1,0,31.403
127,1,72.8074,0.0,58.3536,1043.1108,826.9631,304.7014,23,0.069798,1.0,1,0,58.3536
129,3,201.8611,0.0,153.765,1160.5388,917.3099,285.6556,23,0.173937,1.0,3,0,56.9574
130,1,57.5649,0.0,46.8693,1003.0337,780.4904,304.4749,22,0.057391,1.0,1,0,46.8693
132,4,336.3879,0.0,253.2096,1147.1881,914.4198,253.8967,22,0.293228,1.0,4,0,65.9006
133,2,118.2649,0.0,96.1536,809.7283,651.5262,220.8986,18,0.146055,1.0,2,0,48.855
134,2,116.9542,0.0,94.8836,753.5354,600.9478,210.2612,17,0.155207,1.0,2,0,60.6548
135,1,38.348,0.0,32.162,666.4271,529.653,202.1961,15,0.057543,1.0,1,0,32.162
137,1,63.2364,0.0,50.8724,753.8716,602.9207,195.1551,15,0.083882,1.0,1,0,50.8724
139,1,43.3671,0.0,36.1461,809.3073,621.7662,231.0171,16,0.053585,1.0,1,0,36.1461
140,1,75.7642,0.0,60.0131,820.1322,633.1151,218.1796,15,0.09238,1.0,1,0,60.0131
143,2,205.8746,0.0,139.8914,959.3004,753.0113,210.0084,17,0.214609,1.0,2,0,76.8223
145,1,70.9279,0.0,56.9965,816.4044,642.3776,205.379,15,0.086878,1.0,1,0,56.9965
147,1,98.0193,0.0,67.1368,858.1617,663.9412,226.4205,16,0.11422,1.0,1,0,67.1368
148,2,147.5617,0.0,118.3741,807.5832,640.0115,194.0285,15,0.18272,1.0,2,0,75.7097
153,1,92.5421,0.0,73.7955,885.4537,684.0934,189.5821,14,0.104514,1.0,1,0,73.7955
157,1,147.2821,0.0,72.3608,979.0151,725.1967,222.8464,15,0.150439,1.0,1,0,72.3608
158,2,154.5957,0.0,115.8301,864.8372,682.3798,176.1595,14,0.178757,1.0,2,0,61.9796
159,1,46.5528,0.0,39.2544,747.2353,582.4057,165.8011,13,0.0623,1.0,1,0,39.2544
160,1,65.5011,0.0,53.4089,738.465,561.6541,168.7369,12,0.088699,1.0,1,0,53.4089
162,1,69.6492,0.0,56.7521,762.4835,570.5449,189.1707,13,0.091345,1.0,1,0,56.7521
163,1,104.2203,0.0,70.7362,768.1021,563.0189,206.2807,15,0.135685,1.0,1,0,70.7362
165,1,150.183,0.0,78.053,812.7187,602.4519,232.0395,19,0.184791,1.0,1,0,78.053
166,1,52.0182,0.0,43.4516,698.7234,549.6096,237.7198,20,0.074447,1.0,1,0,43.4516
169,1,80.9861,0.0,65.3786,902.8146,714.6872,264.1678,23,0.089704,1.0,1,0,65.3786
171,2,205.3453,0.0,145.0912,997.7766,789.7816,264.9955,24,0.205803,1.0,2,0,79.3626
173,2,135.341,0.0,108.6888,918.9872,745.0512,264.2983,24,0.147272,1.0,2,0,62.1584
174,1,62.2944,0.0,50.2523,842.5528,678.7081,264.3152,23,0.073935,1.0,1,0,50.2523
176,3,140.7028,0.0,115.8409,937.5345,762.6498,255.8148,23,0.150077,1.0,3,0,40.1269
179,1,81.4478,0.0,64.6146,1034.5145,834.9181,306.4678,25,0.07873,1.0,1,0,64.6146
180,2,93.9677,0.0,77.9768,1021.6565,829.4683,290.9969,24,0.091976,1.0,2,0,40.6083
181,1,67.3994,0.0,54.1048,983.0294,796.2166,281.2234,22,0.068563,1.0,1,0,54.1048
184,1,46.4321,0.0,38.7972,1160.2364,922.4734,347.7813,26,0.04002,1.0,1,0,38.7972
185,2,85.8852,0.0,72.5099,1190.1841,954.3145,330.9089,25,0.072161,1.0,2,0,37.9672
187,1,81.0968,0.0,65.3059,1252.6046,998.8348,351.0333,25,0.064743,1.0,1,0,65.3059
190,1,66.0805,0.0,54.2371,1412.2466,1127.7972,385.8304,27,0.046791,1.0,1,0,54.2371
191,1,83.9878,0.0,67.8962,1417.2939,1133.0084,376.4935,26,0.059259,1.0,1,0,67.8962
192,2,203.6447,0.0,145.8147,1431.6955,1144.9456,356.2106,26,0.14224,1.0,2,0,76.8065
193,4,325.816,0.0,263.8882,1305.9596,1069.2007,288.0255,24,0.249484,1.0,4,0,70.2644
197,1,84.8344,0.0,68.5876,1220.5814,980.7655,335.1256,25,0.069503,1.0,1,0,68.5876
198,2,120.0726,0.0,98.8711,1216.0792,977.3226,325.6258,25,0.098737,1.0,2,0,63.2506
199,1,90.6992,0.0,72.8413,1146.9109,922.8227,307.9995,23,0.079081,1.0,1,0,72.8413
200,2,162.3362,0.0,121.1863,1137.2572,915.1753,291.9914,23,0.142744,1.0,2,0,68.6203
202,1,75.2598,0.0,61.4957,1069.1627,869.7104,293.7631,22,0.070391,1.0,1,0,61.4957
203,1,72.0643,0.0,59.0057,1045.609,851.859,283.6417,21,0.068921,1.0,1,0,59.0057
204,4,286.4022,0.0,233.6798,1079.979,883.2834,242.1947,21,0.265192,1.0,4,0,60.1378
207,3,221.2499,0.0,173.9541,977.9184,788.3946,240.9257,21,0.226246,1.0,3,0,59.4855
