step,value
0,6.244942
0,5.976787
0,6.085562
0,6.059852
0,6.282085
0,6.254089
0,6.357066
0,6.005051
0,6.147509
0,5.973198
0,6.02932
0,6.384281
10,7.608142
10,5.663019
10,6.476921
10,6.069759
10,7.842865
10,7.801389
10,8.592928
10,5.790343
10,6.796141
10,8.975274
10,7.689371
10,5.950042
10,5.798069
10,4.704174
10,4.927193
10,4.336562
10,6.175496
20,11.165283
20,12.177032
20,9.675658
20,12.951805
20,10.754135
20,9.606636
20,7.313267
20,8.556068
20,6.785762
20,7.129725
20,7.916597
20,5.23254
20,4.644007
20,6.438941
20,5.719258
20,5.842592
20,4.591769
20,5.034292
20,4.995692
30,11.61662
30,7.710461
30,11.092479
30,9.714721
30,9.864308
30,7.197624
30,8.197942
30,8.503255
30,6.812526
30,5.834039
30,4.962444
30,7.24619
30,5.884357
30,6.020303
30,5.054484
30,4.181591
30,4.356286
30,4.055603
40,8.365807
40,10.531746
40,8.763634
40,9.325941
40,8.105739
40,6.069206
40,6.644716
40,5.89721
40,5.862688
40,7.349486
40,6.828654
40,5.581091
40,5.920857
40,6.347032
40,4.957478
40,4.201138
40,6.24234
50,10.917824
50,10.012039
50,9.409025
50,7.609047
50,6.351152
50,7.522092
50,8.012741
50,7.95924
50,6.188328
50,6.873041
50,5.52174
50,6.218663
50,5.088563
50,5.016178
50,6.334668
50,6.322834
60,11.904156
60,11.654022
60,8.735206
60,10.553442
60,8.368227
60,10.333909
60,8.211826
60,7.675524
60,8.527488
60,8.495768
60,6.453142
60,6.997167
60,7.203413
60,4.722188
60,6.159703
60,6.370086
60,5.006615
60,4.685896
60,5.03576
60,4.747113
60,4.590852
60,6.07117
70,13.761833
70,11.708602
70,12.143291
70,9.668594
70,11.27275
70,10.575568
70,10.595253
70,8.169266
70,7.64592
70,8.875145
70,7.924725
70,7.593395
70,6.402434
70,6.02013
70,7.458342
70,7.435876
70,5.286443
70,6.570208
70,6.870768
70,6.722121
70,4.412431
70,5.157342
70,5.59611
70,4.742413
70,5.518866
70,4.794882
70,4.07599
70,6.198098
70,6.151273
80,12.026321
80,10.159388
80,8.150457
80,10.800356
80,10.65698
80,9.688934
80,10.981084
80,11.044865
80,6.559267
80,8.01632
80,9.383124
80,7.49514
80,10.266435
80,8.038958
80,5.816591
80,7.313616
80,6.743475
80,4.449758
80,5.904252
80,4.89908
80,4.689683
80,6.165197
90,6.571338
90,10.321223
90,8.518838
90,6.381601
90,6.789116
90,7.46216
90,7.572098
90,7.41397
90,6.760936
90,6.241956
90,5.210709
90,4.880683
90,4.095882
90,4.959133
100,13.575699
100,10.901878
100,11.168294
100,11.054669
100,10.965292
100,10.389731
100,8.573972
100,8.645625
100,5.852493
100,7.441213
100,6.805663
100,5.819465
100,4.762869
100,6.2402
100,4.579152
100,4.508975
100,4.590836
100,5.318292
100,6.133654
110,13.201561
110,9.887202
110,7.09712
110,7.310174
110,7.284611
110,9.471906
110,6.663516
110,6.826921
110,7.383619
110,6.021456
110,5.435401
110,4.643945
110,4.60116
110,5.522643
110,5.441163
110,5.195306
110,5.276686
110,4.577754
110,5.093078
120,11.617708
120,9.395466
120,9.909955
120,8.946324
120,9.423918
120,7.184792
120,8.070602
120,8.231544
120,5.011141
120,7.983772
