step,value
0,12.239884
0,11.703575
0,11.921124
0,11.869703
0,12.31417
0,12.258178
0,12.464132
0,11.760103
0,12.045017
0,11.696396
0,11.80864
0,12.518562
10,42.651497
10,32.47069
10,36.761314
10,34.920361
10,43.965495
10,43.412522
10,47.744652
10,33.164935
10,38.612222
10,49.421348
10,41.848282
10,33.192136
10,27.47325
10,21.835551
10,20.640017
10,18.763046
10,12.100993
20,72.782296
20,79.58696
20,62.943452
20,84.291551
20,70.11755
20,58.914162
20,45.199944
20,50.785618
20,41.174022
20,40.17355
20,41.51801
20,27.795441
20,22.946387
20,29.955185
20,25.426209
20,25.902125
20,21.367538
20,22.980556
20,20.912564
30,74.667572
30,48.985194
30,67.414923
30,58.873665
30,59.959814
30,44.107948
30,49.83571
30,50.583616
30,37.449048
30,32.839028
30,27.486581
30,37.811599
30,30.732453
30,30.007592
30,23.048514
30,16.036147
30,16.527207
30,15.679
40,63.986481
40,67.439716
40,55.704832
40,58.500823
40,49.556692
40,36.477584
40,39.778007
40,35.346309
40,31.838241
40,38.860195
40,36.342077
40,30.401958
40,30.951873
40,37.436031
40,24.27834
40,18.29376
40,12.23468
50,69.899662
50,64.213167
50,58.658401
50,47.331212
50,38.900577
50,42.192429
50,43.286294
50,43.143894
50,34.404737
50,35.123794
50,27.863737
50,29.200877
50,23.199602
50,14.877403
50,12.419336
50,12.395669
60,76.446533
60,75.064419
60,56.621332
60,66.725736
60,52.634535
60,63.355354
60,50.250811
60,44.148508
60,47.445386
60,47.108671
60,35.873611
60,37.230747
60,36.368964
60,25.590914
60,28.833943
60,29.759712
60,22.899294
60,19.886087
60,18.458258
60,17.634381
60,17.193984
60,11.892339
70,102.268789
70,77.400286
70,79.430945
70,63.206196
70,70.982639
70,64.307889
70,64.883001
70,49.737802
70,46.076526
70,51.597271
70,46.663657
70,44.725964
70,36.317041
70,33.679862
70,40.662759
70,40.685359
70,29.908111
70,41.160798
70,33.545865
70,32.762467
70,22.12279
70,25.0242
70,25.090839
70,21.938564
70,22.555827
70,17.768898
70,15.736328
70,12.146196
70,12.052545
80,80.115017
80,67.913539
80,53.513976
80,69.858244
80,69.006136
80,61.042805
80,68.375821
80,68.166751
80,41.079805
80,49.641396
80,57.038547
80,45.91034
80,60.237338
80,47.226038
80,34.973139
80,41.067354
80,38.329896
80,22.226322
80,26.163194
80,18.075297
80,14.094508
80,12.080394
90,41.36534
90,61.995287
90,49.650689
90,37.212164
90,38.668888
90,40.717014
90,39.963419
90,39.099745
90,33.075172
90,29.234669
90,23.590923
90,18.027018
90,15.787093
90,14.751136
100,91.812797
100,70.434014
100,71.652968
100,70.74232
100,68.176264
100,63.222719
100,52.074779
100,50.069635
100,35.356297
100,42.80812
100,37.477566
100,32.712297
100,24.670737
100,31.052623
100,21.365907
100,19.318815
100,17.214809
100,15.608033
100,12.017308
110,97.411069
110,61.559593
110,43.676166
110,44.060854
110,43.214116
110,53.031877
110,37.855852
110,36.244457
110,37.312798
110,37.623497
110,27.429766
110,24.171154
110,22.808517
110,24.714727
110,22.320894
110,21.540837
110,21.793987
110,17.184499
110,15.06641
120,72.761935
120,56.915633
120,58.513434
120,53.142742
120,55.786407
120,42.638369
120,46.216854
120,44.503824
120,27.866378
120,41.580683
120,31.938374
120,34.150103
120,31.674411
120,25.512826
120,26.150752
120,23.520514
120,23.052123
120,12.400315
120,12.229084
130,92.916633
130,77.043457
130,77.322103
130,63.859164
130,64.591004
130,53.099323
130,51.064183
130,62.081262
130,46.345467
130,43.275596
130,32.660664
130,41.599155
130,37.083695
130,27.955371
130,30.352737
130,30.237962
130,23.751125
130,39.137794
130,15.603163
130,12.47036
130,12.115568
140,101.594962
140,79.424927
140,72.428373
140,69.063045
140,65.419552
140,57.236779
140,51.838955
140,48.316919
140,40.533404
140,34.55465
140,44.844705
140,31.024697
140,15.804936
140,14.554989
150,103.899555
150,84.1906
150,81.947785
150,66.185167
150,65.556894
150,48.889764
150,53.287149
150,41.98258
150,39.401352
150,30.618318
150,43.853865
150,20.711054
150,38.088094
160,120.904556
160,94.215237
160,85.980128
160,65.637147
160,59.093019
160,41.690023
160,52.012612
160,47.50135
160,23.075922
160,33.702811
160,34.769947
170,118.86566
170,79.293159
170,69.08131
170,50.166419
170,51.79679
170,52.042735
170,34.789292
170,35.582214
170,28.553351
170,35.860567
170,34.108835
170,32.294992
170,26.756947
170,27.009877
170,28.904067
170,23.539717
170,26.549679
170,22.087046
170,18.118888
170,30.248941
170,26.230098
170,15.901009
170,11.730614
180,67.241792
180,64.797022
180,63.418404
180,56.988252
180,63.058869
180,64.752346
180,46.45089
180,38.977545
180,53.493959
180,47.371654
180,36.369608
180,32.128066
180,41.806135
180,38.694736
180,31.232005
180,33.4587
180,27.378641
180,19.633458
180,20.484087
180,22.141185
180,19.6767
180,16.943391
190,99.840034
190,81.929675
190,91.05302
190,97.149893
190,80.525554
190,70.924036
190,70.995078
190,68.915378
190,51.86317
190,67.053418
190,58.54969
190,45.06519
190,49.21339
190,56.153344
190,45.28384
190,42.731409
190,28.040484
190,38.420866
190,28.263384
190,29.182464
190,31.499403
190,22.067034
190,22.434457
190,17.180506
190,24.006963
190,14.300534
200,66.129078
200,71.738117
200,83.13408
200,66.680146
200,62.850011
200,48.815856
200,56.458627
200,63.330898
200,46.058624
200,59.191332
200,44.092003
200,45.415854
200,38.787589
200,34.424789
200,25.825941
200,22.101073
200,24.795499
200,22.111725
200,21.048832
200,18.528974
200,12.394531
210,91.418741
210,72.04217
210,59.682105
210,47.394419
210,40.750135
210,56.295101
210,45.89255
210,51.75058
210,52.904163
210,47.176416
210,30.479364
210,30.742583
210,24.144457
210,22.404346
210,24.563472
210,20.663357
210,14.208524
210,12.446457
220,61.587907
220,54.173373
220,50.00682
220,37.783928
220,47.816024
220,38.041707
220,35.245068
220,29.446489
220,27.12601
220,23.082932
220,24.521166
220,26.923443
220,23.809449
220,20.649109
220,17.76828
220,18.535994
220,18.449344
220,12.442929
220,12.50157
230,66.879699
230,57.447172
230,56.96166
230,56.093693
230,65.200784
230,52.551973
230,49.444992
230,52.305268
230,52.77358
230,48.571961
230,49.801881
230,36.314814
230,33.702058
230,30.466547
230,25.308991
230,39.728418
230,20.387822
230,17.021451
230,14.966325
240,81.137772
240,82.008243
240,85.140957
240,71.220642
240,61.653133
240,59.249611
240,50.646213
240,61.806499
240,40.259869
240,42.096121
240,44.712316
240,36.447232
240,31.253771
240,28.13744
240,29.539892
240,27.475378
240,24.568424
240,27.500115
240,27.750676
240,23.117829
240,25.848034
240,22.792011
240,17.687924
240,11.777884
250,99.3178
250,75.580389
250,92.606
250,69.724649
250,60.299572
250,56.513028
250,48.677297
250,51.93114
250,51.022049
250,43.294014
250,51.002156
250,58.651124
250,51.185466
250,59.629977
250,61.313058
250,46.517524
250,33.032987
250,30.138871
250,37.041279
250,25.502794
250,31.898008
250,18.168468
250,14.391243
250,14.357687
260,82.409974
260,72.843426
260,88.407883
260,94.401767
260,71.005341
260,49.864574
260,64.433329
260,50.985518
260,55.168592
260,38.120889
260,39.79407
260,40.263406
260,29.284633
260,38.266609
260,21.642785
260,26.742789
260,18.336078
260,18.766909
260,15.593763
260,14.403448
260,15.483543
260,11.985155
260,11.860702
270,116.677678
270,89.519058
270,78.57617
270,61.189419
270,62.72982
270,52.018693
270,75.399436
270,43.343765
270,64.192103
270,51.803671
270,54.568207
270,51.754309
270,40.15707
270,49.888342
270,37.305389
270,34.5748
270,32.348127
270,34.253706
270,28.448618
270,28.98977
270,35.451585
270,32.002567
270,22.923778
270,20.069433
270,17.2541
270,15.785347
270,15.557947
270,13.883735
270,11.883195
270,11.944818
270,11.992268
280,107.323807
280,97.22858
280,80.351341
280,85.822669
280,85.753183
280,61.876537
280,79.172082
280,58.394271
280,50.290393
280,55.602004
280,61.300218
280,43.772525
280,59.705671
280,46.612
280,44.746573
280,35.657978
280,51.499109
280,34.65663
280,35.014246
280,36.762301
280,38.014954
280,36.788516
280,29.94426
280,38.615185
280,33.279278
280,30.846959
280,26.758603
280,30.032012
280,37.120345
280,27.88427
280,19.962408
280,16.331605
280,26.366882
280,12.288603
290,113.552384
290,79.428781
290,76.014351
290,93.053272
290,62.477964
290,91.827087
290,66.859467
290,66.071114
290,81.365422
290,50.248967
290,53.211244
290,57.711577
290,59.405217
290,59.31746
290,46.426731
290,68.468808
290,56.704821
290,51.118687
290,44.087872
290,53.364855
290,71.51797
290,58.31602
290,46.117029
290,38.164424
290,46.953987
290,44.550653
290,31.809685
290,29.574385
290,27.106082
290,25.795005
290,24.779922
290,29.584933
290,21.185086
290,21.505598
290,21.947752
290,15.776037
290,12.092924
290,12.266636
300,146.177358
300,79.929987
300,99.441092
300,82.894234
300,71.534659
300,75.080617
300,50.510298
300,53.069375
300,45.687702
300,52.351702
300,49.298326
300,42.2501
300,52.258316
300,53.744805
300,56.162009
300,35.778505
300,43.18029
300,56.789008
300,31.476233
300,32.239127
300,25.426717
300,18.101494
300,21.192557
300,28.656372
300,21.160922
300,17.011768
300,15.089129
300,12.147005
310,71.983076
310,59.16343
310,77.652525
310,80.14519
310,84.405899
310,51.316463
310,63.940589
310,69.729924
310,53.102609
310,64.900856
310,59.936953
310,38.301195
310,52.007859
310,48.118495
310,51.951193
310,42.842239
310,47.575651
310,40.833974
310,23.53674
310,33.601028
310,25.268178
310,22.140783
310,28.54802
310,16.664756
310,12.008706
310,12.342922
320,69.735239
320,50.895274
320,60.307707
320,39.368209
320,37.584007
320,45.417669
320,38.514561
320,35.688868
320,36.020866
320,33.765604
320,28.089715
320,27.330161
320,27.811005
320,34.664787
320,21.084327
320,18.275634
320,18.24098
320,22.783382
320,19.312625
320,14.749355
320,15.193581
320,12.49091
330,77.234318
330,63.409395
330,51.512242
330,51.800002
330,72.848787
330,42.82419
330,38.782061
330,39.007751
330,59.31627
330,56.39329
330,42.177141
330,48.223075
330,49.109525
330,39.488049
330,35.872977
330,38.83097
330,24.88411
330,29.099215
330,25.26966
330,25.608914
330,21.564098
330,27.561333
330,17.205563
340,89.488657
340,87.83816
340,77.158448
340,81.141554
340,72.326223
340,62.6552
340,77.136974
340,49.882935
340,65.153027
340,50.004217
340,59.132575
340,54.746629
340,54.142584
340,44.412815
340,24.397449
340,28.038386
340,24.559718
340,20.986093
340,18.288374
340,16.723714
340,14.976272
340,11.876153
340,11.99739
350,111.62937
350,83.095878
350,85.885926
350,53.321884
350,55.35964
350,51.14635
350,50.313482
350,41.3143
350,45.270914
350,35.159004
350,38.147349
350,29.846724
350,32.327402
350,34.405881
350,34.311704
350,36.612502
350,32.425117
350,22.97921
350,22.589844
350,25.419877
350,19.360216
350,22.109697
350,41.503438
350,17.148912
350,15.999754
350,12.431599
360,80.786327
360,77.339964
360,76.350267
360,73.184276
360,62.180329
360,58.816104
360,64.337388
360,63.281125
360,71.515878
360,65.566772
360,43.693351
360,48.372693
360,58.998701
360,43.301712
360,56.894006
360,57.839112
360,42.673698
360,36.923332
360,47.144568
360,45.885155
360,40.3053
360,35.706814
360,23.434765
360,18.381794
360,25.53415
360,16.393176
360,17.257151
360,13.864375
360,11.697137
360,21.226601
370,92.965657
370,84.997039
370,85.688604
370,84.891237
370,78.922775
370,81.017852
370,73.673426
370,69.01232
370,45.745908
370,39.599688
370,46.46698
370,38.844968
370,44.486272
370,34.935776
370,30.936201
370,41.308778
370,42.793174
370,28.043027
370,30.131316
370,27.685964
370,29.584823
370,22.464067
370,17.272992
370,14.330898
370,11.800763
380,115.970366
380,70.338248
380,66.664218
380,66.107535
380,72.748221
380,48.320582
380,53.14964
380,52.154761
380,64.341533
380,59.402605
380,44.131706
380,39.313525
380,33.56604
380,54.032766
380,31.339672
380,34.060761
380,32.937768
380,28.285223
380,22.530333
380,25.90161
380,17.852458
380,15.802482
390,91.683073
390,68.708482
390,69.311506
390,52.744852
390,59.686934
390,61.878881
390,52.638632
390,41.731
390,52.746096
390,36.568168
390,55.330434
390,39.002819
390,26.318931
390,36.795679
390,32.186932
390,24.277464
390,21.470662
390,18.495892
390,18.762565
390,17.218823
390,27.610331
390,14.42773
390,12.22912
400,91.766111
400,64.969731
400,68.476528
400,64.773776
400,43.740458
400,52.414368
400,53.647599
400,43.83394
400,49.282321
400,40.06656
400,42.524291
400,35.917055
400,31.079817
400,30.944646
400,30.405345
400,33.156464
400,28.278949
400,25.949501
400,21.839057
400,22.593989
400,13.945598
400,21.390603
400,11.9367
410,84.690975
410,64.310632
410,55.715097
410,61.223931
410,67.214044
410,60.589501
410,61.696101
410,45.371114
410,58.481295
410,35.751112
410,44.007232
410,37.255619
410,33.670218
410,32.835587
410,21.845476
410,24.818685
410,18.165286
410,16.154206
420,88.100803
420,86.871443
420,88.438773
420,87.715855
420,73.062934
420,58.018657
420,54.253763
420,67.451446
420,39.342839
420,56.155668
420,38.216529
420,37.360264
420,43.252076
420,39.957212
420,32.890362
420,31.119396
420,25.331858
420,22.155625
420,20.330883
420,21.5326
420,17.479988
420,13.890232
420,12.024569
430,75.496684
430,72.048881
430,60.898266
430,62.549343
430,50.848463
430,44.982277
430,45.357857
430,35.684963
430,39.552863
430,34.026794
430,28.666584
430,38.819079
430,39.161819
430,26.119616
430,32.2563
430,26.753516
430,26.810634
430,20.187548
430,20.351526
430,19.066993
430,16.371656
430,14.319549
440,63.555601
440,69.211659
440,73.200305
440,44.521055
440,64.85459
440,64.565142
440,65.077673
440,47.312831
440,47.579381
440,42.389641
440,37.9218
440,39.330216
440,33.974831
440,38.240693
440,26.678275
440,26.163774
440,30.164308
440,23.814878
440,21.533554
450,91.040486
450,95.808023
450,95.959377
450,68.075031
450,70.901933
450,59.196224
450,55.378967
450,67.703792
450,44.935177
450,43.787742
450,66.387761
450,53.356317
450,44.886536
450,31.461034
450,33.131344
450,29.034415
450,25.508377
450,25.593002
450,28.422513
450,22.399598
450,25.108877
450,20.110878
450,19.102679
450,14.558755
450,11.684194
460,56.473297
460,51.062553
460,51.552386
460,60.550593
460,57.990418
460,47.04225
460,56.380906
460,41.418202
460,31.552462
460,40.950423
460,26.162504
460,25.252011
460,26.538781
460,19.993695
460,22.089915
460,18.506963
460,21.931178
470,82.740962
