step,value
0,0.898288
0,0.916539
0,0.908938
0,0.91071
0,0.895885
0,0.897694
0,0.891122
0,0.914537
0,0.904732
0,0.916795
0,0.912833
0,0.889422
10,0.93885
10,0.979581
10,0.959824
10,0.969366
10,0.935339
10,0.93547
10,0.924747
10,0.976169
10,0.953483
10,0.919564
10,0.935735
10,0.971378
10,0.970951
10,1.013548
10,1.003527
10,1.035359
10,0.90286
20,0.915291
20,0.909822
20,0.925717
20,0.905663
20,0.917936
20,0.921808
20,0.948821
20,0.929979
20,0.956629
20,0.946987
20,0.929751
20,0.991634
20,1.015514
20,0.951964
20,0.971712
20,0.96747
20,1.019105
20,0.998508
20,1.000206
30,0.911386
30,0.944668
30,0.909627
30,0.919918
30,0.918874
30,0.950176
30,0.93583
30,0.930743
30,0.9516
30,0.974602
30,1.001366
30,0.940595
30,0.971224
30,0.965999
30,0.997636
30,1.051035
30,1.038949
30,1.060233
40,0.799387
40,0.917975
40,0.932436
40,0.926053
40,0.93733
40,0.970689
40,0.958653
40,0.974617
40,0.972904
40,0.93954
40,0.949682
40,0.980886
40,0.970249
40,0.964018
40,1.001751
40,1.043669
40,0.898457
50,0.915338
50,0.921947
50,0.924836
50,0.944877
50,0.965267
50,0.940224
50,0.9304
50,0.93141
50,0.96546
50,0.946673
50,0.981275
50,0.958266
50,0.996183
50,0.998913
50,0.892533
50,0.893283
60,0.909686
60,0.911356
60,0.934032
60,0.916772
60,0.936007
60,0.91581
60,0.936084
60,0.939397
60,0.925652
60,0.925794
60,0.959493
60,0.946357
60,0.939415
60,1.010856
60,0.95978
60,0.953962
60,0.999711
60,1.015795
60,0.998063
60,1.014341
60,1.023796
60,0.909928
70,0.76359
70,0.913326
70,0.910069
70,0.926137
70,0.91163
70,0.913299
70,0.913764
70,0.936281
70,0.942576
70,0.924896
70,0.937323
70,0.942016
70,0.961384
70,0.969711
70,0.939543
70,0.940129
70,0.990423
70,0.961852
70,0.944233
70,0.947436
70,1.026559
70,0.993712
70,0.976242
70,1.011741
70,0.976996
70,1.011544
70,1.058718
70,0.90136
70,0.904479
80,0.912297
80,0.92403
80,0.941128
80,0.91697
80,0.918022
80,0.923186
80,0.912526
80,0.911322
80,0.962043
80,0.939238
80,0.923155
80,0.945652
80,0.912572
80,0.935651
80,0.976651
80,0.943663
80,0.954514
80,1.024756
80,0.965438
80,1.005583
80,1.022017
80,0.903546
90,0.962013
90,0.914167
90,0.929128
90,0.962872
90,0.953732
90,0.93953
90,0.935639
90,0.938261
90,0.94676
90,0.957518
90,0.991068
90,1.006619
90,1.057269
90,1.00277
100,0.906596
100,0.916207
