step,value
0,10.994942
0,10.726787
0,10.835562
0,10.809852
0,11.032085
0,11.004089
0,11.107066
0,10.755051
0,10.897509
0,10.723198
0,10.77932
0,11.134281
10,40.043355
10,31.807672
10,35.284393
10,33.850602
10,41.12263
10,40.611132
10,44.151724
10,32.374592
10,36.816082
10,45.446075
10,39.15891
10,32.242094
10,26.675181
10,22.131377
10,20.712823
10,19.426484
10,10.925496
20,66.617014
20,72.409928
20,58.267794
20,76.339746
20,64.363415
20,54.307526
20,42.886677
20,47.22955
20,39.38826
20,38.043824
20,38.601412
20,27.562901
20,23.30238
20,28.516244
20,24.70695
20,25.059532
20,21.775769
20,22.946264
20,20.916871
30,68.050952
30,46.274733
30,61.322443
30,54.158943
30,55.095506
30,41.910324
30,46.637768
30,47.080361
30,35.636522
30,32.004989
30,27.524137
30,35.565409
30,29.848096
30,28.98729
30,22.99403
30,16.854556
30,17.170921
30,16.623396
40,51.149976
40,61.907971
40,51.941198
40,54.174882
40,46.450952
40,35.408378
40,38.133291
40,34.449098
40,30.975553
40,36.510708
40,34.513422
40,29.820866
40,30.031015
40,36.088999
40,24.320862
40,19.092622
40,10.99234
50,63.981838
50,59.201128
50,54.249376
50,44.722165
50,37.549426
50,39.670337
50,40.273552
50,40.184654
50,33.216408
50,33.250753
50,27.341997
50,27.982214
50,23.111039
50,14.861226
50,11.084668
50,11.072834
60,69.542377
60,68.410397
60,52.886125
60,61.172293
60,49.266308
60,58.021445
60,47.038985
60,41.472984
60,43.917898
60,43.612903
60,34.420468
60,35.233579
60,34.165551
60,25.868725
60,27.67424
60,28.389626
60,22.892679
60,20.200191
60,18.422498
60,17.887268
60,17.603132
60,10.82117
70,78.091447
70,70.691684
70,72.287654
70,58.537602
70,64.709889
70,58.732321
70,59.287747
70,46.568535
70,43.430606
70,47.722126
70,43.738932
70,42.13257
70,34.914607
70,32.659732
70,38.204417
70,38.249482
70,29.621669
70,39.59059
70,31.675097
70,31.040346
70,22.710359
70,24.866858
70,24.494729
70,22.196152
70,22.036961
70,17.974016
70,16.660338
70,10.948098
70,10.901273
80,73.088696
80,62.754151
80,50.363518
80,64.057888
80,63.349156
80,56.353872
80,62.394737
80,62.121886
80,39.520538
80,46.625076
80,52.655422
80,43.4152
80,54.970903
80,44.187081
80,34.156548
80,38.753738
80,36.586421
80,22.776564
80,25.258942
80,18.176217
80,14.404824
80,10.915197
90,39.794002
90,56.674065
90,46.131851
90,35.830564
90,36.879772
90,38.254854
90,37.391321
90,36.685775
90,31.314236
90,27.992713
90,23.380214
90,18.146335
90,16.69121
90,14.792003
100,83.237098
100,64.532136
100,65.484674
100,64.68765
100,62.210973
100,57.832987
100,48.500807
100,46.42401
100,34.503804
100,40.366907
100,35.671904
100,31.892832
100,24.907868
100,29.812423
100,21.786755
100,19.80984
100,17.623973
100,15.289741
100,10.883654
110,75.503705
110,56.672391
110,41.579046
110,41.750679
110,40.929504
110,48.559972
110,36.192336
110,34.417536
110,34.929179
110,36.602042
110,26.994365
110,24.527209
110,23.207357
110,24.192083
110,21.879731
110,21.345531
110,21.517301
110,17.606745
110,14.973331
120,66.144227
120,52.520167
120,53.603479
120,49.196418
120,51.362489
120,40.453577
120,43.146253
120,41.272279
120,27.855238
120,38.596911
120,30.778139
120,32.517763
120,30.270372
120,25.54602
120,25.708169
120,23.336631
120,22.392166
120,11.075157
120,10.989542
130,69.345797
130,70.114065
130,70.180831
130,58.787951
130,59.164016
130,49.523209
130,47.703864
130,56.509858
130,43.013151
130,40.52138
130,31.843607
130,38.65002
130,34.771511
130,27.688794
130,28.83052
130,28.743835
130,23.910912
130,37.859576
130,15.285412
130,11.11018
130,10.932784
140,76.938282
140,63.538377
140,65.916983
140,62.675017
140,59.829538
140,52.775141
140,47.701406
140,44.62304
140,38.348142
140,33.385934
140,42.577351
140,30.678688
140,15.407492
140,14.672949
150,66.099815
150,76.361453
150,74.331959
150,61.00187
150,59.970704
150,45.863663
150,48.878784
150,39.674868
150,37.228063
150,30.180296
150,41.969373
150,21.312009
150,37.091237
160,76.33602
160,72.899385
160,77.874752
160,60.611295
160,54.643763
160,39.931892
160,48.09354
160,44.852351
160,23.014629
160,32.914423
160,33.358341
170,87.625156
170,72.476185
170,62.931153
170,46.950712
170,48.152017
170,47.906628
170,33.506496
170,34.157526
170,28.145087
170,33.825525
170,32.460343
170,30.785163
170,26.511416
170,26.331288
170,27.740908
170,23.760774
170,25.526732
170,22.293748
170,18.992178
170,29.691214
170,25.949141
170,16.765976
170,10.740307
180,61.642942
180,59.560835
180,58.312907
180,52.707333
180,57.74004
180,58.907531
180,43.905747
180,37.509038
180,49.510995
180,44.332628
180,35.302938
180,31.609794
180,39.108453
180,36.405172
180,30.453545
180,31.606264
180,26.621291
180,20.030212
180,20.618087
180,21.747981
180,20.060417
180,17.447124
190,73.547377
190,74.884612
190,82.673485
190,87.719914
190,73.487376
190,65.335629
190,65.061852
190,63.153857
190,48.922694
190,61.336296
190,53.987958
190,42.597969
190,45.997062
190,51.748734
190,42.730094
190,40.487605
190,27.969559
190,36.878617
190,27.924433
190,28.350685
190,30.091778
190,22.29031
190,21.957039
190,17.591944
190,23.5387
190,14.525109
200,61.257445
200,66.150203
200,75.837666
200,61.782381
200,57.87123
200,46.218855
200,52.426362
200,58.186685
200,43.551131
200,54.080728
200,41.603592
200,42.476775
200,37.136045
200,32.980372
200,25.798913
200,22.671065
200,24.215727
200,22.332947
200,21.005091
200,18.467525
200,11.072265
210,82.701911
210,66.126824
210,55.443269
210,44.831668
210,39.315877
210,51.978409
210,43.452641
210,48.125181
210,48.764367
210,43.654222
210,30.09915
210,29.521918
210,24.195383
210,22.531446
210,24.111665
210,20.744631
210,14.47157
210,11.098228
220,56.693715
220,50.28848
220,46.643378
220,36.32068
220,44.192607
220,36.099982
220,33.364967
220,28.555948
220,26.41606
220,23.432831
220,24.056674
220,25.792296
220,23.551544
220,20.729306
220,18.736415
220,18.475422
220,18.413018
220,11.096464
220,11.125785
230,54.572828
230,53.275767
230,52.720264
230,51.818523
230,59.331646
230,48.906074
230,46.17707
230,48.280874
230,48.670018
230,44.759498
230,45.741566
230,34.173282
230,32.160975
230,29.344222
230,25.076352
230,38.420317
230,21.074079
230,17.498337
230,14.913795
240,73.967983
240,74.444326
240,77.028368
240,64.816985
240,57.014613
240,54.816931
240,47.502394
240,56.471151
240,38.738505
240,40.019319
240,41.953985
240,34.843244
240,30.254104
240,27.843907
240,28.924456
240,27.021756
240,24.838211
240,27.087721
240,26.877538
240,23.055858
240,25.023567
240,22.197101
240,17.922606
240,10.763942
250,89.912508
250,60.97242
250,83.843547
250,64.231436
250,56.031661
250,52.593806
250,46.075526
250,48.832137
250,47.984193
250,41.480076
250,47.971327
250,54.120888
250,47.750652
250,54.740695
250,55.849158
250,43.608464
250,32.317584
250,29.819574
250,35.23241
250,25.238414
250,31.231205
250,19.021323
250,14.576734
250,14.556836
260,75.361533
260,67.179586
260,80.34087
260,85.281307
260,65.375444
260,47.38006
260,59.45341
260,47.756304
260,51.179756
260,36.874933
260,37.929997
260,38.279927
260,28.724732
260,35.666107
260,21.990367
260,25.649096
260,18.341108
260,18.618217
260,15.28368
260,14.584491
260,15.218101
260,10.867577
260,10.805351
270,91.986429
270,69.364566
270,72.045023
270,56.99292
270,58.2521
270,48.838242
270,68.326617
270,41.34828
270,58.472132
270,47.87863
270,50.138625
270,47.613711
270,38.210509
270,46.163717
270,35.767741
270,33.554829
270,31.585985
270,32.863919
270,28.070081
270,28.212148
270,34.247898
270,31.81426
270,22.300598
270,20.345047
270,17.64
270,16.691328
270,15.262628
270,14.281242
270,10.816597
270,10.847409
270,10.871134
280,88.097063
280,87.751438
280,73.302238
280,77.901341
280,77.617332
280,57.544164
280,72.207581
280,54.382109
280,47.420333
280,51.72352
280,55.959856
280,41.54795
280,54.597093
280,43.893469
280,42.161728
280,34.720774
280,47.424102
280,33.79867
280,33.91463
280,35.302775
280,36.321333
280,35.177902
280,29.660075
280,36.305238
280,32.111004
280,30.203723
280,26.764165
280,29.319401
280,34.805067
280,26.993798
280,20.258053
280,17.047341
280,26.067823
280,11.019301
290,102.270528
290,62.461036
290,70.00393
290,84.090344
290,58.291952
290,83.066101
290,62.010987
290,61.25774
290,74.127416
290,47.779338
290,50.204324
290,53.955812
290,55.412877
290,55.272668
290,44.384915
290,62.873823
290,52.909537
290,48.245869
290,42.314744
290,49.979208
290,65.152732
290,53.866722
290,43.490149
290,36.790084
290,43.95017
290,41.556046
290,31.154165
290,28.939096
290,27.044978
290,25.432183
290,24.680344
290,29.724712
290,21.102408
290,21.320619
290,21.628894
290,16.68463
290,10.921462
290,11.008318
300,107.487582
300,63.63205
300,90.001077
300,75.746772
300,65.796727
300,68.501427
300,47.802935
300,49.722485
300,43.609927
300,48.908495
300,46.345028
300,40.334314
300,48.452151
300,49.729028
300,51.665221
300,34.807857
300,40.919385
300,53.574193
300,30.675325
300,30.681357
300,24.700316
300,18.964035
300,21.108704
300,28.40276
300,21.086042
300,17.492121
300,14.984827
300,10.948503
310,66.533585
310,55.473466
310,71.154958
310,73.261878
310,76.859979
310,48.706684
310,59.27444
310,64.081026
310,49.882864
310,59.465161
310,54.98345
310,37.016303
310,48.286967
310,45.092876
310,48.256527
310,40.567745
310,44.202822
310,38.587834
310,24.050054
310,31.708374
310,25.046926
310,22.709607
310,27.496281
310,17.265733
310,10.879353
310,11.046461
320,63.45932
320,47.675706
320,55.583408
320,37.803353
320,35.966036
320,42.251582
320,36.474349
320,34.02803
320,34.267374
320,32.470824
320,27.784703
320,26.92858
320,27.345062
320,32.512377
320,21.580649
320,19.0934
320,19.060627
320,22.207128
320,18.980478
320,14.790815
320,15.044827
320,11.120455
330,61.611283
330,58.529071
330,48.322001
330,48.606289
330,66.002739
330,40.831274
330,37.418016
330,37.562855
330,54.310977
330,51.678674
330,39.921717
330,44.715318
330,45.265912
330,36.980045
330,34.166117
330,36.12364
330,24.769192
330,27.900067
330,25.075182
330,24.852594
330,21.363743
330,26.889075
330,17.614965
340,81.158202
340,79.652996
340,70.477141
340,73.817702
340,65.960574
340,57.883918
340,69.756254
340,46.834626
340,59.355468
340,46.974925
340,54.338708
340,50.479014
340,49.719129
340,41.862073
340,24.712085
340,27.483203
340,24.093553
340,20.963393
340,18.312761
340,17.30392
340,14.920104
340,10.813076
340,10.873695
350,84.63494
350,75.691818
350,77.913504
350,49.830111
350,51.248901
350,47.603917
350,46.761735
350,39.344256
350,42.30825
350,34.027887
350,36.380602
350,29.553325
350,31.109821
350,32.706465
350,32.62564
350,34.380479
350,30.822574
350,23.33825
350,22.668788
350,24.711007
350,19.838819
350,21.74422
350,40.140065
350,17.578268
350,16.831549
350,11.090799
360,69.270341
360,70.755559
360,62.017644
360,67.089611
360,57.678403
360,54.518024
360,59.14225
360,58.319521
360,65.056064
360,60.014848
360,41.690803
360,45.462753
360,54.246471
360,41.143707
360,52.282631
360,53.164868
360,40.506095
360,35.73746
360,43.664559
360,42.304971
360,37.642386
360,33.706736
360,23.6469
360,19.169553
360,25.369786
360,17.086364
360,17.647785
360,14.268685
360,10.723568
360,19.811985
370,84.373892
370,77.532526
370,77.898411
370,77.361937
370,71.820221
370,73.467901
370,67.095404
370,62.947033
370,43.38248
370,38.065426
370,43.56586
370,37.336409
370,41.904091
370,33.979326
370,30.637638
370,38.999382
370,39.92679
370,27.752196
370,29.391959
370,27.207642
370,28.264822
370,21.981661
370,17.65768
370,14.53947
370,10.775381
380,87.202938
380,64.870031
380,61.754054
380,61.107299
380,66.567103
380,45.83506
380,49.838296
380,48.893153
380,58.854275
380,54.306348
380,41.658999
380,37.53634
380,32.750505
380,50.853464
380,30.558088
380,32.668542
380,31.56033
380,27.690074
380,22.995192
380,25.522433
380,18.793313
380,15.40321
390,82.934507
390,54.066467
390,63.496543
390,49.584127
390,55.430643
390,57.090769
390,49.318762
390,40.122474
390,49.226463
390,35.621135
390,50.426873
390,36.881698
390,26.434509
390,34.639637
390,30.682308
390,24.592689
390,21.866874
390,18.447916
390,18.620369
390,17.620961
390,27.085916
390,14.598555
390,10.98956
400,82.741994
400,55.425456
400,62.646399
400,59.379893
400,41.644658
400,48.393881
400,49.413142
400,41.42547
400,45.821441
400,38.124333
400,39.987722
400,34.170691
400,30.334039
400,30.03904
400,29.283486
400,31.400106
400,27.296238
400,25.070507
400,22.130199
400,22.071011
400,14.314937
400,19.910817
400,10.84335
410,76.855546
410,59.2344
410,51.940471
410,56.316504
410,61.429085
410,55.71611
410,56.489561
410,43.012895
410,53.608432
410,34.668822
410,41.150827
410,35.683066
410,32.656654
410,31.092701
410,22.488563
410,24.27382
410,19.017742
410,16.932619
420,80.186095
420,79.126204
420,80.557934
420,79.710629
420,66.806265
420,54.278146
420,50.952552
420,61.567134
420,38.150011
420,51.930504
420,36.978619
420,36.141628
420,40.246698
420,37.389753
420,31.513583
420,29.807174
420,25.102106
420,22.722345
420,21.023902
420,21.901636
420,17.789393
420,14.28317
420,10.887284
430,68.795233
430,65.736209
430,56.344325
430,57.521181
430,47.61813
430,42.668514
430,42.638651
430,34.570169
430,37.523163
430,32.917495
430,28.478983
430,36.456807
430,36.711059
430,26.234623
430,30.697415
430,25.662612
430,25.676044
430,20.187494
430,20.494234
430,19.637353
430,17.074663
430,14.53646
440,58.941426
440,63.352017
440,66.635172
440,42.593747
440,59.423841
440,58.764554
440,59.260993
440,44.419449
440,44.639251
440,40.410518
440,36.590683
440,37.591958
440,32.880687
440,36.050497
440,26.701732
440,26.303093
440,28.698512
440,23.504361
440,21.894473
450,82.768032
450,86.668262
450,86.785388
450,63.07822
450,65.238955
450,55.322363
450,51.896545
450,62.175855
450,42.956834
450,41.982919
450,60.557443
450,49.543839
450,42.586862
450,30.669468
450,31.972913
450,28.2285
450,25.236216
450,25.278813
450,27.370753
450,22.905611
450,24.483884
450,20.356858
450,18.846029
450,14.674133
450,10.717097
460,47.705519
460,47.819
460,48.215819
460,55.732368
460,53.38861
460,44.22356
460,51.573969
460,39.250397
460,31.07265
460,38.119462
460,26.035893
460,24.582785
460,25.502574
460,20.271238
460,21.724814
460,18.458337
460,20.350297
470,57.516284
470,70.450181
470,80.818457
470,68.878845
470,45.542179
470,55.04794
470,58.245102
470,43.12051
470,52.621139
470,48.275131
470,44.371824
470,36.158656
470,39.343054
470,27.564062
470,27.991725
470,33.350624
470,26.030756
470,29.238181
470,25.672446
470,21.892414
470,25.304569
470,22.136889
470,27.178643
470,18.883164
470,16.901372
470,26.409875
470,15.094976
470,10.776385
480,67.403039
480,75.149191
480,72.45529
480,59.028714
480,61.057502
480,62.99561
480,50.86876
480,62.408125
480,58.485615
480,42.172435
480,56.959921
480,44.137561
480,46.021455
480,36.90883
480,36.272607
480,46.053798
480,44.839271
480,32.716418
480,42.416053
480,28.560562
480,31.107815
480,29.03728
480,27.401666
480,18.948084
480,31.416134
480,11.12357
490,85.008313
490,83.062764
490,69.230766
490,71.106432
490,48.854041
490,74.146724
490,45.017848
490,50.325968
490,53.932252
490,49.948563
490,36.702561
490,43.840948
490,44.909258
490,38.042962
490,29.295419
490,26.303832
490,27.472938
490,21.471713
490,25.748122
490,23.750891
490,16.664991
490,15.377776
490,15.38069
500,74.96086
500,64.143228
500,46.90128
500,55.791056
500,39.953242
500,59.567251
500,49.999859
500,34.21881
500,48.305575
500,48.474022
500,35.241615
500,41.063507
500,35.709927
500,19.434574
500,14.791355
500,14.412804
510,83.578074
510,77.499898
510,78.285337
510,70.369134
510,61.431174
510,39.575297
510,41.118584
510,35.792866
510,27.274573
510,28.274932
510,33.048285
510,36.116099
510,22.453236
510,31.583832
510,23.367148
510,19.073094
510,16.685629
520,72.610634
520,62.883575
520,51.534051
520,41.566174
520,44.826015
520,61.573788
520,69.336319
520,44.619506
520,51.251847
520,48.855658
520,37.416383
520,34.685711
520,35.106947
520,29.753042
520,34.071547
520,30.630838
520,34.344
520,27.609175
520,32.303223
520,36.24656
520,27.199149
520,26.490295
520,28.1981
520,27.489857
520,21.057095
520,32.905129
520,17.092509
520,17.645741
520,14.407531
520,10.830786
530,83.030813
530,78.806913
530,61.352627
530,50.281258
530,61.267422
530,45.711318
530,58.502228
530,69.894583
530,48.669881
530,52.027032
530,59.415378
530,57.678232
530,38.928464
530,38.568407
530,37.707324
530,41.50673
530,35.685239
530,34.913565
530,38.773407
530,30.673901
530,27.337944
530,28.363052
530,26.059115
530,22.726236
530,39.363852
530,19.003538
540,69.877367
540,97.571141
540,85.055685
540,81.688714
540,52.596793
540,52.746859
540,66.080273
540,54.075079
540,49.766985
540,52.590704
540,45.206414
540,39.284623
540,51.087656
540,53.49545
540,28.773183
540,33.394567
540,27.993341
540,24.468357
540,25.445806
540,26.864252
540,30.723316
540,17.432158
540,18.322661
540,19.017675
540,15.210411
550,65.340125
550,66.419655
550,85.022788
550,45.16489
550,60.754602
550,51.101522
550,44.908833
550,48.930166
550,54.702961
550,52.460886
550,40.230754
550,46.911749
550,52.921661
550,46.436553
550,36.586383
550,32.644625
550,33.394334
550,35.238268
550,27.00959
550,31.636493
550,14.740563
560,58.195941
560,68.716832
560,83.749496
560,71.69397
560,83.021859
560,73.985636
560,59.884304
560,52.443557
560,45.153888
560,40.401076
560,40.008787
560,35.429051
560,32.617261
560,27.445785
560,33.981065
560,33.699281
560,26.465564
560,22.829723
560,19.504489
560,30.8677
560,18.42919
560,16.757896
560,20.453619
560,10.789492
570,61.438271
570,61.352847
570,55.096178
570,45.480988
570,63.37774
570,53.000136
570,52.83896
570,46.663649
570,39.904397
570,52.835369
570,48.937322
570,34.812061
570,39.316938
570,32.977034
570,38.882815
570,38.043297
570,27.168893
570,28.460452
570,30.243456
570,29.454093
570,23.385191
570,21.591061
570,23.922082
570,19.064087
570,19.163077
570,21.083326
570,18.034752
570,18.177742
570,11.144215
580,65.870416
580,68.614038
580,52.54824
580,58.267567
580,55.665546
580,41.871125
580,40.545715
580,50.61103
580,37.634937
580,38.149679
580,46.418346
580,44.594958
580,45.874787
580,46.204977
580,32.796633
580,26.830941
580,25.549992
580,23.48102
580,19.042383
580,15.066968
580,14.717341
580,14.999567
580,11.013526
590,59.778052
590,76.517123
590,50.712353
590,54.163314
590,49.562101
590,48.932061
590,37.069602
590,44.593595
590,39.833633
590,43.317293
590,40.625596
590,33.436911
590,37.931648
590,31.674423
590,41.617358
590,32.403075
590,22.403593
590,25.619753
590,20.334346
590,17.73293
600,70.208399
600,53.948446
600,66.692183
600,52.510936
600,63.216383
600,55.695214
600,54.132576
600,43.806805
600,59.454603
600,43.717998
600,42.216783
600,37.370818
600,29.71461
600,32.93285
600,24.496468
610,53.509976
610,31.065292
610,35.661085
610,27.616887
610,22.84108
610,21.889191
610,24.306899
610,20.989126
610,21.072014
610,19.434752
610,18.87168
610,17.678911
610,18.361001
610,11.140167
610,11.106366
620,50.380488
620,42.82573
620,53.631893
620,47.680753
620,48.278604
620,39.42626
620,50.787186
620,41.898389
620,47.014174
620,46.218474
620,43.977733
620,30.486635
620,38.770226
620,29.00721
620,26.843907
620,25.302082
620,25.359098
620,14.539645
620,14.2602
620,10.802193
620,10.892357
630,62.12469
630,76.808874
630,62.087396
630,77.271889
630,70.569129
630,69.997309
630,48.790284
630,43.282633
630,48.969989
630,37.156133
630,34.420063
630,34.103002
630,36.243967
630,35.518912
630,31.930127
630,28.141502
630,30.845295
630,29.511826
630,27.019955
630,16.983907
630,28.992397
630,14.683556
630,14.800789
630,26.053322
630,10.883992
630,11.128299
630,11.145877
640,45.613028
640,55.408696
640,52.118483
640,50.382034
640,50.317445
640,54.32636
640,36.694274
640,50.258833
640,39.847227
640,41.52189
640,46.585593
640,36.402905
640,45.729801
640,46.30213
640,33.094121
640,28.41932
640,35.331281
640,39.133185
640,31.725049
640,24.263947
640,28.888617
640,27.818378
640,20.901911
640,21.010762
640,22.014544
640,18.047905
640,22.739174
640,14.445743
650,76.960346
650,61.280004
650,64.300073
650,74.759926
650,76.086801
650,78.415555
650,52.056878
650,44.535396
650,61.73796
650,70.208013
650,56.526741
650,54.545061
650,57.853518
650,47.751205
650,48.623018
650,54.056458
650,45.141886
650,40.983512
650,36.494515
650,37.88175
650,29.499044
650,30.725075
650,33.4055
650,31.745072
650,35.407569
650,33.668394
650,30.996069
650,18.98363
650,16.734803
650,15.231966
650,11.091506
660,71.586944
660,82.142486
660,68.166905
660,62.81523
660,64.495328
660,49.986098
660,56.809736
660,57.313991
660,66.764041
660,62.313111
660,59.944167
660,36.924108
660,34.987538
660,47.080351
660,43.900286
660,34.162334
660,39.322241
660,33.12995
660,33.13117
660,24.976466
660,20.281388
660,27.624664
660,15.284182
670,66.713728
670,83.70497
670,75.037934
670,73.622715
670,54.426136
670,70.704574
670,55.407582
670,60.837678
670,48.636152
670,43.337245
670,46.047723
670,47.259351
670,32.812577
670,28.251437
670,24.650664
670,23.440815
670,19.012538
670,30.968352
670,14.964146
670,14.302422
680,59.634772
680,45.538391
680,49.044715
680,49.848587
680,43.410494
680,34.625512
680,35.942127
680,36.636738
680,35.541398
680,31.8519
680,31.923919
680,26.696276
680,17.096726
680,19.201646
680,17.176916
680,14.741787
690,58.632145
690,62.442748
690,53.435612
690,53.022489
690,38.451635
690,40.748109
690,41.418862
690,39.094332
690,29.937195
690,23.146483
690,29.785571
690,31.806022
690,22.873937
690,22.126509
690,14.69695
690,15.072978
690,10.831179
700,72.485036
700,47.761985
700,56.207195
700,46.348441
700,55.524663
700,40.054827
700,44.981434
700,34.70998
700,43.234121
700,39.283273
700,30.643824
700,33.314884
700,30.35367
700,27.619317
700,25.249863
700,19.437814
700,21.393088
700,17.708211
700,11.151903
710,76.152219
710,72.665988
710,59.443924
710,57.010357
710,56.744307
710,39.252104
710,50.293156
710,41.71692
710,46.280425
710,29.248878
710,30.832145
710,29.713223
710,32.193067
710,28.399654
710,22.719823
710,18.496017
710,10.868279
720,100.869902
720,78.403523
720,81.046742
720,83.047238
720,73.938472
720,78.376006
720,46.501779
720,54.827146
720,57.861424
720,65.439691
720,58.806574
720,45.743564
720,47.895091
720,36.116239
720,29.407599
720,36.095944
720,40.40494
720,31.660777
720,34.958215
720,29.85202
720,25.86302
720,21.143037
720,21.797537
720,20.444809
720,21.851377
720,18.336614
720,14.769547
720,14.578544
720,10.947533
720,11.117383
730,59.570731
730,70.798978
730,56.547817
730,54.997334
730,57.663058
730,49.770588
730,38.909988
730,42.037196
730,45.101809
730,51.80213
730,48.135346
730,40.648041
730,37.707766
730,38.969147
730,44.713575
730,31.014302
730,38.831862
730,37.235496
730,39.149958
730,25.60897
730,26.222686
730,28.870783
730,21.502589
730,26.059512
730,20.739226
730,21.867184
730,14.386997
730,14.42867
730,10.816419
740,77.621411
740,76.538268
740,62.71671
740,56.465728
740,61.307864
740,73.189042
740,65.254174
740,61.124629
740,70.354749
740,44.444764
740,51.608522
740,61.415769
740,40.117538
740,59.760839
740,36.800212
740,42.587888
740,34.986225
740,35.289143
740,34.405997
740,38.174733
740,30.454776
740,35.032013
740,30.986668
740,26.386235
740,23.538276
740,25.254491
740,17.736799
740,14.656802
740,10.999253
740,11.05612
750,97.877489
750,73.58726
750,76.354797
750,94.011054
750,71.552907
750,90.105622
750,86.329272
750,58.93774
750,50.555811
750,50.883743
750,51.774513
750,69.410914
750,49.62326
750,66.857023
750,54.657374
750,42.484754
750,42.63208
750,48.751614
750,41.741278
750,39.024719
750,40.559664
750,42.090871
750,30.452574
750,28.027839
750,24.356178
750,35.954009
750,24.054122
750,21.669826
750,17.445072
750,17.856032
750,18.479373
750,10.953811
750,26.999004
760,91.322022
760,60.915252
760,58.285958
760,65.715712
760,69.400067
760,53.927028
760,47.094909
760,40.578554
760,56.891984
760,44.953787
760,41.542901
760,40.009555
760,43.517255
760,47.301968
760,39.354416
760,44.453182
760,26.329607
760,31.812241
760,24.592606
760,23.491877
760,18.754155
760,17.783149
760,15.171927
760,10.886916
770,65.131668
770,71.027265
770,62.540945
770,75.764718
770,42.87245
770,55.888003
770,54.207463
770,48.878117
770,50.59434
770,42.436222
770,46.350697
770,36.817276
770,29.900035
770,29.729076
770,27.857164
