step,value
0,0.567983
0,0.557183
0,0.561629
0,0.560586
0,0.569438
0,0.568342
0,0.572344
0,0.558347
0,0.564121
0,0.557035
0,0.559341
0,0.57339
10,0.189998
10,0.178039
10,0.183563
10,0.17931
10,0.190719
10,0.1921
10,0.194623
10,0.178855
10,0.184597
10,0.197493
10,0.196363
10,0.184543
10,0.217358
10,0.212557
10,0.237881
10,0.223229
10,0.565237
20,0.167604
20,0.168168
20,0.166055
20,0.16966
20,0.167085
20,0.176893
20,0.170525
20,0.181159
20,0.172279
20,0.187408
20,0.205086
20,0.18984
20,0.199293
20,0.225799
20,0.231484
20,0.233148
20,0.210866
20,0.219395
20,0.238836
30,0.170705
30,0.166624
30,0.180888
30,0.179374
30,0.17904
30,0.171739
30,0.175779
30,0.180612
30,0.191167
30,0.182285
30,0.180294
30,0.203743
30,0.197143
30,0.207688
30,0.219817
30,0.248099
30,0.253701
30,0.24397
40,0.163554
40,0.170119
40,0.168722
40,0.172145
40,0.174501
40,0.171406
40,0.17425
40,0.171186
40,0.189268
40,0.201297
40,0.197855
40,0.187154
40,0.197158
40,0.175872
40,0.203836
40,0.22004
40,0.567881
50,0.170639
50,0.169119
50,0.17344
50,0.17014
50,0.169141
50,0.189615
50,0.198958
50,0.198067
50,0.186303
50,0.206703
50,0.201951
50,0.222236
50,0.220179
50,0.337535
50,0.57148
50,0.571022
60,0.171178
60,0.170355
60,0.16517
60,0.17252
60,0.169857
60,0.178105
60,0.174575
60,0.185073
60,0.194169
60,0.194799
60,0.18748
60,0.198594
60,0.210838
60,0.182544
60,0.222579
60,0.224381
60,0.218699
60,0.231973
60,0.273348
60,0.265391
60,0.260797
60,0.561046
70,0.176227
70,0.165629
70,0.167986
70,0.165169
70,0.174204
70,0.180064
70,0.178709
70,0.175425
70,0.176049
70,0.185975
70,0.181182
70,0.180226
70,0.183374
70,0.184329
70,0.195222
70,0.194405
70,0.178465
70,0.165954
70,0.216914
70,0.216561
70,0.194292
70,0.207398
70,0.228462
70,0.213659
70,0.250437
70,0.266767
70,0.244652
70,0.566135
70,0.564271
80,0.164544
80,0.161892
80,0.161833
80,0.168603
80,0.168226
80,0.17193
80,0.175994
80,0.177793
80,0.165971
80,0.171932
80,0.178199
80,0.172639
80,0.186761
80,0.18193
80,0.170292
80,0.18872
80,0.184316
80,0.195366
80,0.233749
80,0.269532
80,0.325563
80,0.564827
90,0.165134
90,0.182115
90,0.184663
90,0.178105
90,0.184088
90,0.195064
90,0.20251
90,0.202094
90,0.215906
90,0.222985
90,0.222868
90,0.268962
90,0.245392
90,0.335258
100,0.163097
100,0.168937
100,0.170548
100,0.170893
100,0.17626
100,0.179651
100,0.17678
100,0.186232
100,0.169619
100,0.184339
100,0.190785
100,0.182469
100,0.191219
100,0.209315
100,0.210181
100,0.227613
100,0.260488
100,0.347834
100,0.563566
110,0.174847
110,0.174462
110,0.17069
110,0.175091
110,0.177979
110,0.195056
110,0.184114
110,0.198356
110,0.211388
110,0.164511
110,0.201353
110,0.189338
110,0.198263
110,0.228283
110,0.248685
110,0.243391
110,0.24523
110,0.26
110,0.340143
120,0.175642
120,0.178893
120,0.184875
120,0.181849
120,0.183479
120,0.177606
120,0.187052
120,0.199445
120,0.179899
120,0.20685
120,0.20015
120,0.203961
120,0.211561
120,0.194426
120,0.211706
120,0.222135
120,0.252765
120,0.571112
120,0.567771
130,0.164471
130,0.170143
130,0.173
130,0.171314
130,0.176239
130,0.173174
130,0.175255
130,0.187072
130,0.193716
130,0.191361
130,0.182676
130,0.20567
130,0.210292
130,0.190206
130,0.226226
130,0.225931
130,0.202427
130,0.165829
130,0.347897
130,0.572464
130,0.565527
140,0.177822
140,0.169214
140,0.174635
140,0.1817
140,0.177003
140,0.179282
140,0.191557
140,0.194829
140,0.187369
140,0.18477
140,0.170686
140,0.174258
140,0.350313
140,0.332724
150,0.144989
150,0.168006
150,0.169723
150,0.166934
150,0.176523
150,0.174999
150,0.192484
150,0.18419
150,0.192685
150,0.180185
150,0.164036
150,0.206412
150,0.161679
160,0.140344
160,0.157454
160,0.168288
160,0.165412
160,0.172925
160,0.169241
160,0.185453
160,0.170537
160,0.219916
160,0.175862
160,0.192204
170,0.166841
170,0.163046
170,0.17718
170,0.174986
170,0.179531
170,0.190707
170,0.18751
170,0.18809
170,0.192157
170,0.20798
170,0.204819
170,0.21146
170,0.197859
170,0.215659
170,0.222169
170,0.201127
170,0.235947
170,0.215006
170,0.217285
170,0.187184
170,0.203512
170,0.246632
170,0.557741
180,0.171939
180,0.171861
180,0.173298
180,0.176084
180,0.178712
180,0.184099
180,0.171849
180,0.172452
180,0.181434
180,0.181334
180,0.171846
180,0.174575
180,0.196829
180,0.200234
180,0.189747
180,0.216806
180,0.216269
180,0.229815
180,0.236006
180,0.247986
180,0.230119
180,0.257708
190,0.152249
190,0.160848
190,0.161836
190,0.164501
190,0.163813
190,0.162062
190,0.168044
190,0.170402
190,0.162307
190,0.174727
190,0.177109
190,0.175295
190,0.178627
190,0.181736
190,0.176778
190,0.178914
190,0.181302
190,0.1774
190,0.191193
190,0.205702
190,0.212936
190,0.214296
190,0.249461
190,0.260833
190,0.232309
190,0.32877
200,0.16115
200,0.160059
200,0.162141
200,0.160204
200,0.172431
200,0.16437
200,0.172285
200,0.174339
200,0.172383
200,0.186954
200,0.179994
200,0.186904
200,0.179113
200,0.195402
200,0.194854
200,0.195404
200,0.230419
200,0.213979
200,0.24012
200,0.274073
200,0.571
210,0.165859
210,0.165067
210,0.166636
210,0.168692
210,0.163655
210,0.179242
210,0.171219
210,0.179228
210,0.187428
210,0.19522
210,0.17875
210,0.210713
210,0.204546
210,0.216271
210,0.226107
210,0.237108
210,0.327328
210,0.572004
220,0.17452
220,0.176678
220,0.179306
220,0.17795
220,0.195133
220,0.192292
220,0.206207
220,0.206281
220,0.216154
220,0.198444
220,0.227151
220,0.237712
220,0.223251
220,0.237336
220,0.215189
220,0.273908
220,0.27352
220,0.571936
220,0.573064
230,0.070337
230,0.17215
230,0.175291
230,0.178993
230,0.183193
230,0.176786
230,0.179048
230,0.186914
230,0.187047
230,0.196885
230,0.198076
230,0.20898
230,0.203386
230,0.208638
230,0.208668
230,0.164187
230,0.204694
230,0.258488
230,0.338782
240,0.164528
240,0.168769
240,0.170231
240,0.175936
240,0.169053
240,0.172076
240,0.17144
240,0.18302
240,0.168343
240,0.176835
240,0.184925
240,0.189534
240,0.198309
240,0.190115
240,0.194141
240,0.201823
240,0.190441
240,0.19981
240,0.218515
240,0.219552
240,0.232759
240,0.252056
240,0.265883
240,0.558712
250,0.160215
250,0.170588
250,0.164144
250,0.163366
250,0.165405
250,0.169587
250,0.164985
250,0.165854
250,0.16751
250,0.16427
250,0.167409
250,0.176092
250,0.176643
250,0.180657
250,0.18736
250,0.181365
250,0.176851
250,0.178383
250,0.193256
250,0.208586
250,0.181447
250,0.218026
250,0.330287
250,0.3298
260,0.159875
260,0.158736
260,0.162645
260,0.165575
260,0.162598
260,0.157968
260,0.167861
260,0.172317
260,0.175633
260,0.169382
