step,value
0,0.159385
0,0.12438
0,0.138681
0,0.135313
0,0.164168
0,0.160564
0,0.173776
0,0.128109
0,0.146763
0,0.123905
0,0.131304
0,0.177248
10,0.082857
10,0.074747
10,0.078524
10,0.075507
10,0.083008
10,0.084302
10,0.085743
10,0.075572
10,0.078752
10,0.088065
10,0.087131
10,0.079218
10,0.103222
10,0.097306
10,0.113147
10,0.10001
10,0.1504
20,0.066651
20,0.066647
20,0.065683
20,0.067761
20,0.066287
20,0.073136
20,0.068989
20,0.076465
20,0.07033
20,0.080829
20,0.093373
20,0.083263
20,0.089491
20,0.109777
20,0.112512
20,0.113855
20,0.096175
20,0.10286
20,0.113449
30,0.068536
30,0.066452
30,0.075608
30,0.074707
30,0.074264
30,0.069993
30,0.072695
30,0.07601
30,0.08362
30,0.077345
30,0.076496
30,0.09044
30,0.088302
30,0.096031
30,0.103146
30,0.102466
30,0.108167
30,0.098451
40,0.068271
40,0.068302
40,0.067746
40,0.069767
40,0.071856
40,0.069883
40,0.071628
40,0.07001
40,0.082399
40,0.090645
40,0.08879
40,0.081245
40,0.087922
40,0.085405
40,0.092549
40,0.097685
40,0.159049
50,0.068711
50,0.067822
50,0.070574
50,0.068864
50,0.068067
50,0.082713
50,0.089177
50,0.088423
50,0.080573
50,0.095211
50,0.092016
50,0.106601
50,0.103457
50,0.133255
50,0.170913
50,0.169398
60,0.06888
60,0.068557
60,0.065313
60,0.06985
60,0.068355
60,0.073905
60,0.071658
60,0.079011
60,0.085327
60,0.085964
60,0.081068
60,0.088872
60,0.098549
60,0.077862
60,0.107552
60,0.107431
60,0.10218
60,0.107632
60,0.128069
60,0.12011
60,0.11552
60,0.136797
70,0.063834
70,0.065068
70,0.066731
70,0.064992
70,0.071085
70,0.075219
70,0.074338
70,0.072215
70,0.072697
70,0.079811
70,0.076148
70,0.075633
70,0.078445
70,0.078838
70,0.086804
70,0.085689
70,0.075041
70,0.083829
70,0.102811
70,0.103141
70,0.085635
70,0.094972
70,0.10951
70,0.098283
70,0.12401
70,0.121561
70,0.099132
70,0.15333
70,0.147253
80,0.064529
80,0.062594
80,0.063138
80,0.06746
80,0.066996
80,0.069668
80,0.072275
80,0.073528
80,0.066025
80,0.069958
80,0.073913
80,0.070526
80,0.079906
80,0.077043
80,0.069369
80,0.082005
80,0.078738
80,0.08639
80,0.113955
80,0.124201
80,0.116231
80,0.149063
90,0.065252
90,0.076802
90,0.078333
90,0.074599
90,0.078607
90,0.086381
90,0.091908
90,0.091203
90,0.101931
90,0.103703
90,0.105804
90,0.123521
90,0.099932
90,0.12971
100,0.063403
100,0.067495
100,0.068567
100,0.06854
100,0.072371
100,0.075148
100,0.073636
100,0.079957
100,0.068577
100,0.078709
100,0.083503
100,0.07727
100,0.084025
100,0.096915
100,0.095553
100,0.103978
100,0.114739
100,0.147985
100,0.144959
110,0.065679
110,0.071585
110,0.069256
110,0.072277
110,0.074183
110,0.086335
110,0.07874
110,0.089234
110,0.098508
110,0.081639
110,0.091392
110,0.082734
110,0.08862
110,0.110294
110,0.122507
110,0.117532
110,0.11936
110,0.114046
110,0.136882
120,0.072112
120,0.074396
120,0.078677
120,0.076754
120,0.077661
120,0.074068
120,0.08045
120,0.089144
120,0.076133
120,0.095112
120,0.090337
120,0.09321
120,0.098542
120,0.086292
120,0.098343
120,0.105142
120,0.125813
120,0.169695
120,0.158688
130,0.069214
130,0.068267
130,0.070284
130,0.069186
130,0.072528
130,0.070691
130,0.072202
130,0.079856
130,0.08534
130,0.083777
130,0.077491
130,0.093984
130,0.097543
130,0.083324
130,0.10987
130,0.108656
130,0.091534
130,0.088302
130,0.148171
130,0.174174
130,0.151346
140,0.070501
140,0.070947
140,0.071254
140,0.076218
140,0.072833
140,0.074549
140,0.0835
140,0.086014
140,0.080779
140,0.078821
140,0.086387
140,0.087503
140,0.151418
140,0.126398
150,0.069967
150,0.066951
150,0.067848
150,0.066383
150,0.072872
150,0.071806
150,0.084218
150,0.078696
150,0.084398
150,0.076419
150,0.080782
150,0.092387
150,0.090018
160,0.066626
160,0.065264
160,0.067311
160,0.065158
160,0.071275
160,0.068402
160,0.079663
160,0.08552
160,0.103398
160,0.089602
160,0.099037
170,0.064492
170,0.063652
170,0.073309
170,0.071624
170,0.074914
170,0.082764
170,0.081548
170,0.08165
170,0.084744
170,0.095877
170,0.09393
170,0.098435
170,0.0887
170,0.101725
170,0.106937
170,0.090669
170,0.1162
170,0.099544
170,0.094649
170,0.098499
170,0.101455
170,0.101189
