# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,19,0,100
2,0,11,0,100
3,0,16,0,100
4,0,15,0,100
5,0,20,0,100
6,0,24,0,100
7,0,25,0,100
8,0,14,0,100
9,0,27,0,100
10,0,8,0,100
16,6,25,0,99
129,116,133,0,88
146,136,158,0,86
151,142,169,0,85
204,204,221,0,79
249,245,275,0,75
257,258,290,0,74
279,271,302,0,72
291,280,307,0,72
317,305,320,0,69
338,322,349,0,67
381,360,376,0,64
450,427,451,0,57
480,458,484,0,54
582,556,578,0,44
630,606,624,0,39
636,608,627,0,39
665,632,653,0,36
670,634,656,0,36
740,704,727,0,29
783,738,761,0,26
793,748,768,0,25
800,756,784,0,24
822,774,806,0,22
846,797,823,0,20
878,833,866,0,16
888,841,873,0,15
934,882,909,0,11
959,906,925,0,9
978,924,954,0,7
983,927,956,0,7
