# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,12,0,0,144.5995,130.7997,73.7997,0.0,0.904566,0.564219,0.0,0.0,0,0.0
1,14,0,0,199.0265,198.0301,70.9963,0.0,0.994994,0.358513,0.0,0.0,0,0.0
2,14,0,0,236.239,241.1024,65.1366,0.0,1.020587,0.270162,0.0,0.0,0,0.0
3,14,0,0,274.4936,278.6431,65.8505,0.0,1.015117,0.236326,0.0,0.0,0,0.0
4,14,0,0,313.1918,314.0408,69.151,0.0,1.002711,0.220197,0.0,0.0,0,0.0
5,15,0,0,364.1409,359.5229,79.618,0.0,0.987318,0.221455,0.0,0.0,0,0.0
6,16,0,0,417.6654,408.4662,89.1991,0.0,0.977975,0.218376,0.0,0.0,0,0.0
7,18,0,0,485.6457,470.9922,104.6535,0.0,0.969827,0.222198,0.0,0.0,0,0.0
8,17,0,0,506.607,489.9876,101.6194,0.0,0.967195,0.207392,0.0,0.0,1,27.9758
9,16,0,0,522.2303,502.0268,100.2034,0.0,0.961313,0.199598,0.0,0.0,1,31.2672
10,17,0,0,578.9783,552.7806,111.1977,0.0,0.954752,0.201161,0.0,0.0,0,0.0
11,16,0,0,591.3101,562.171,109.1391,0.0,0.950721,0.194139,0.0,0.0,1,34.4456
12,17,0,0,648.2587,613.1325,120.1263,0.0,0.945814,0.195922,0.0,0.0,0,0.0
13,18,0,0,706.9932,667.0232,129.97,0.0,0.943465,0.194851,0.0,0.0,0,0.0
14,17,0,0,714.5772,672.8568,126.7203,0.0,0.941615,0.188332,0.0,0.0,1,41.105
15,18,0,0,739.8626,693.5139,136.3487,0.0,0.937355,0.196606,0.0,0.0,1,45.1814
16,21,0,0,787.9238,737.2129,155.7109,0.0,0.93564,0.211216,0.0,0.0,1,49.7052
17,22,0,0,857.7227,806.3823,161.3403,0.0,0.940143,0.200079,0.0,0.0,0,0.0
18,21,0,0,868.3956,817.0386,156.357,0.0,0.94086,0.19137,0.0,0.0,1,49.7572
19,20,0,0,860.4804,809.0304,151.4499,0.0,0.940208,0.187199,0.0,0.0,1,66.0416
20,19,0,0,844.7731,793.2421,146.5311,0.0,0.939,0.184724,0.0,0.0,1,71.1808
21,21,0,0,921.1314,861.4392,164.6922,0.0,0.935197,0.191183,0.0,0.0,0,0.0
22,23,1,0,1012.8034,941.6229,174.9163,11.2642,0.929719,0.185761,0.011122,1.0,0,0.0
23,24,1,0,1086.2086,1007.8535,187.0909,11.2642,0.927864,0.185633,0.01037,1.0,0,0.0
24,23,1,0,1000.1214,929.0011,174.856,11.2642,0.928888,0.188219,0.011263,1.0,2,161.2044
25,20,2,0,882.1238,811.0997,141.5069,29.5171,0.919485,0.174463,0.033461,0.52803,3,196.9215
26,21,2,0,948.6131,865.9181,158.1779,29.5171,0.912825,0.182671,0.031116,0.52803,0,0.0
27,20,1,0,914.7025,842.9691,153.4805,18.2529,0.921577,0.182071,0.019955,1.0,1,83.5348
28,23,1,0,1003.9231,922.5794,178.0908,18.2529,0.918974,0.193036,0.018182,1.0,0,0.0
29,21,1,0,906.966,836.8948,156.8182,18.2529,0.922741,0.187381,0.020125,1.0,2,156.3156
30,18,0,0,722.0456,683.7404,128.3052,0.0,0.946949,0.187652,0.0,0.0,3,228.0481
31,17,0,0,717.6703,677.8892,124.7811,0.0,0.944569,0.184073,0.0,0.0,1,50.8818
32,21,1,0,820.0358,765.5992,149.2822,10.1544,0.933617,0.194987,0.012383,1.0,0,0.0
33,22,1,0,885.9688,827.5634,158.2511,10.1544,0.934077,0.191225,0.011461,1.0,0,0.0
34,23,1,0,954.1599,890.8861,168.1194,10.1544,0.933686,0.18871,0.010642,1.0,0,0.0
35,24,1,0,1024.1272,955.6777,178.2951,10.1544,0.933163,0.186564,0.009915,1.0,0,0.0
36,19,0,0,749.4331,711.042,133.3911,0.0,0.948773,0.187599,0.0,0.0,5,327.5581
37,20,0,0,809.3822,765.549,143.8331,0.0,0.945844,0.187882,0.0,0.0,0,0.0
38,16,1,0,575.5878,547.1942,98.9229,9.4707,0.95067,0.180782,0.016454,1.0,4,292.9417
39,16,1,0,615.6977,580.839,105.388,9.4707,0.943383,0.181441,0.015382,1.0,0,0.0
40,17,1,0,667.4276,625.9621,116.9948,9.4707,0.937873,0.186904,0.01419,1.0,0,0.0
41,19,1,0,687.5882,642.8777,130.2398,9.4707,0.934975,0.202589,0.013774,1.0,1,57.8545
