# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,12,10.9,0.1426,10.7232,10.7296,10.7733,10.8665,11.0111,11.0996,11.1313,11.1343
0,actif_liquide,12,6.15,0.1426,5.9732,5.9796,6.0233,6.1165,6.2611,6.3496,6.3813,6.3843
0,actif_total,12,12.05,0.2853,11.6964,11.7092,11.7965,11.9831,12.2722,12.4491,12.5126,12.5186
0,ratio_L_P,12,0.5641,0.0057,0.557,0.5573,0.5591,0.5629,0.5686,0.5721,0.5733,0.5734
0,taux_interne,12,0.147,0.0185,0.1239,0.1248,0.1305,0.1427,0.1615,0.1728,0.1769,0.1772
0,levier_entite,12,0.9048,0.0095,0.8894,0.8916,0.8972,0.9068,0.9133,0.9163,0.9168,0.9168
10,passif_total,17,32.5165,9.3628,10.9255,20.1983,26.6752,33.8506,40.0434,42.3343,45.239,45.4461
10,actif_liquide,17,6.541,1.3145,4.3366,4.838,5.7903,6.1755,7.6894,8.1429,8.9141,8.9753
10,actif_total,17,34.0575,10.4748,12.101,19.8892,27.4733,34.9204,42.6515,45.4772,49.1531,49.4213
10,ratio_L_P,17,0.218,0.0884,0.178,0.1791,0.1845,0.1921,0.2126,0.2291,0.5129,0.5652
10,taux_interne,17,0.0904,0.0183,0.0747,0.0755,0.0788,0.0843,0.0973,0.1072,0.1444,0.1504
10,levier_entite,17,0.9603,0.0342,0.9029,0.9227,0.9355,0.9598,0.9762,1.0075,1.0319,1.0354
20,passif_total,19,41.7496,18.1073,20.9169,22.7122,24.8832,38.6014,56.2877,67.7756,75.6324,76.3397
20,actif_liquide,19,7.7122,2.586,4.5918,4.9254,5.4759,7.1297,9.6411,11.3676,12.8123,12.9518
20,actif_total,19,44.4617,20.6685,20.9126,22.6306,25.6642,41.174,60.9288,74.1432,83.4447,84.2916
20,ratio_L_P,19,0.1937,0.0252,0.1661,0.1675,0.1701,0.1874,0.2151,0.2318,0.2378,0.2388
20,taux_interne,19,0.0851,0.0177,0.0657,0.0666,0.0684,0.0808,0.0995,0.1127,0.1138,0.1139
20,levier_entite,19,0.9539,0.0357,0.9057,0.9142,0.9238,0.9488,0.9817,1.0033,1.0185,1.0191
30,passif_total,18,37.9856,15.1092,16.6234,17.076,27.8899,35.601,46.9697,56.9636,66.9071,68.051
30,actif_liquide,18,7.1281,2.2703,4.0556,4.3039,5.2494,7.0051,8.4269,10.2328,11.5275,11.6166
30,actif_total,18,40.1136,17.3576,15.679,16.3799,28.1168,37.6303,50.3966,62.1963,73.4346,74.6676
30,ratio_L_P,18,0.1963,0.027,0.1666,0.1714,0.1791,0.1816,0.2067,0.2452,0.2527,0.2537
30,taux_interne,18,0.0835,0.0129,0.0665,0.0696,0.0744,0.0769,0.0946,0.1027,0.1073,0.1082
30,levier_entite,18,0.9652,0.0459,0.9096,0.9166,0.932,0.9509,0.9919,1.0426,1.0587,1.0602
40,passif_total,17,36.8213,12.6942,10.9923,22.2296,30.031,35.4084,46.451,52.8347,60.6707,61.908
40,actif_liquide,17,6.882,1.603,4.2011,5.3316,5.8972,6.347,8.1057,8.9886,10.3388,10.5317
40,actif_total,17,39.2604,14.9203,12.2347,21.8845,30.9519,36.4776,49.5567,60.6951,66.8872,67.4397
40,ratio_L_P,17,0.2062,0.0917,0.1636,0.1696,0.1714,0.1759,0.1979,0.2103,0.5122,0.5679
40,taux_interne,17,0.0837,0.0212,0.0677,0.0683,0.0699,0.0812,0.0888,0.0946,0.1492,0.159
40,levier_entite,17,0.9493,0.0498,0.7994,0.9102,0.9324,0.9587,0.9729,0.9892,1.037,1.0437
50,passif_total,16,35.1096,15.3684,11.0728,12.9729,26.2843,35.4001,41.3857,56.7253,63.2647,63.9818
50,actif_liquide,16,7.2098,1.6676,5.0162,5.3052,6.2111,6.6121,7.9726,9.7105,10.782,10.9178
50,actif_total,16,37.3194,16.8615,12.3957,13.6484,26.6977,37.0122,44.2975,61.4358,69.0467,69.8997
50,ratio_L_P,16,0.2473,0.1286,0.1691,0.1696,0.1727,0.1985,0.2207,0.4543,0.5714,0.5715
50,taux_interne,16,0.0972,0.0324,0.0678,0.0684,0.0701,0.0888,0.1042,0.1513,0.1707,0.1709
50,levier_entite,16,0.9442,0.0311,0.8925,0.9043,0.9241,0.9426,0.9653,0.9887,0.9985,0.9989
60,passif_total,22,37.6782,16.832,10.8212,17.9408,23.6367,34.827,48.7095,60.8572,69.3047,69.5424
60,actif_liquide,22,7.3865,2.227,4.5909,4.7247,5.2946,7.1003,8.5196,10.5315,11.8516,11.9042
60,actif_total,22,40.0647,18.9834,11.8923,17.7168,23.5722,36.7999,52.0386,66.3887,76.1563,76.4465
60,ratio_L_P,22,0.2188,0.0812,0.1652,0.1704,0.1755,0.1945,0.2239,0.2649,0.5006,0.561
60,taux_interne,22,0.0913,0.021,0.0653,0.0686,0.0722,0.0856,0.1075,0.1197,0.135,0.1368
60,levier_entite,22,0.9537,0.0378,0.9097,0.9118,0.9257,0.9394,0.9885,1.014,1.0221,1.0238
70,passif_total,29,39.1268,18.2848,10.9013,17.7113,24.4947,38.2044,47.7221,65.9062,76.4664,78.0914
70,actif_liquide,29,7.5637,2.5037,4.076,4.7844,5.5961,6.8708,8.8751,11.3599,13.3086,13.7618
70,actif_total,29,42.222,21.9854,12.0525,17.3624,25.0242,40.6628,51.5973,72.2662,95.8742,102.2688
70,ratio_L_P,29,0.2199,0.0975,0.1652,0.1676,0.1762,0.1843,0.2166,0.2537,0.5656,0.5661
70,taux_interne,29,0.0892,0.023,0.0638,0.0664,0.0743,0.0798,0.0991,0.1221,0.1516,0.1533
70,levier_entite,29,0.9466,0.0521,0.7636,0.909,0.9138,0.942,0.9762,1.0116,1.0497,1.0587
80,passif_total,22,44.4039,17.4146,10.9152,18.6363,34.764,45.4061,60.6799,63.2897,71.1922,73.0887
80,actif_liquide,22,8.1477,2.271,4.4498,4.9908,6.2637,8.0276,10.2397,10.963,11.8202,12.0263
80,actif_total,22,47.5516,19.5862,12.0804,18.4904,35.8123,48.4337,66.1959,68.9431,77.9611,80.115
80,ratio_L_P,22,0.2064,0.0871,0.1618,0.1647,0.169,0.1769,0.1882,0.266,0.5146,0.5648
