step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,12,12,2,26.0601,0.0,0.0,0,70.7997,0,0.0,0.0,0,0,144.5995,130.7997,73.7997,10.9,0.146966
1,14,14,2,42.8737,0.0,0.0,0,64.3104,0,0.0,0.0,0,0,199.0265,198.0301,70.9963,14.145,0.129638
2,14,14,0,51.2379,0.0,0.0,0,55.8753,0,0.0,0.0,0,0,236.239,241.1024,65.1366,17.2216,0.117226
3,14,14,0,56.5821,0.0,0.0,0,54.6509,0,0.0,0.0,0,0,274.4936,278.6431,65.8505,19.9031,0.108841
4,14,14,0,60.8293,0.0,0.0,0,56.2621,0,0.0,0.0,0,0,313.1918,314.0408,69.151,22.4315,0.102368
5,15,15,1,66.8128,0.0,0.0,0,64.8862,0,0.0,0.0,0,0,364.1409,359.5229,79.618,23.9682,0.101048
6,16,16,1,73.609,0.0,0.0,0,72.3956,0,0.0,0.0,0,0,417.6654,408.4662,89.1991,25.5291,0.098334
7,18,18,2,82.7464,0.0,0.0,0,85.3726,0,0.0,0.0,0,0,485.6457,470.9922,104.6535,26.1662,0.09867
8,17,18,0,88.9726,0.0,0.0,1,81.1789,1,0.0,0.0,0,0,506.607,489.9876,101.6194,28.8228,0.093923
9,16,18,0,89.2984,0.0,0.0,1,79.0548,1,0.0,0.0,0,0,522.2303,502.0268,100.2034,31.3767,0.090259
10,17,19,1,90.9624,0.0,0.0,0,87.9565,0,0.0,0.0,0,0,578.9783,552.7806,111.1977,32.5165,0.090442
11,16,19,0,95.6237,0.0,0.0,1,85.2953,1,0.0,0.0,0,0,591.3101,562.171,109.1391,35.1357,0.087044
12,17,20,1,97.3304,0.0,0.0,0,94.1786,0,0.0,0.0,0,0,648.2587,613.1325,120.1263,36.0666,0.08913
13,18,21,1,103.8878,0.0,0.0,0,101.704,0,0.0,0.0,0,0,706.9932,667.0232,129.97,37.0568,0.087418
14,17,21,0,108.7789,0.0,0.0,1,97.9763,1,0.0,0.0,0,0,714.5772,672.8568,126.7203,39.5798,0.084293
15,18,23,2,111.8381,0.0,0.0,1,107.0242,1,0.0,0.0,0,0,739.8626,693.5139,136.3487,38.5285,0.089728
16,21,27,4,121.0922,0.0,0.0,1,125.1055,1,0.0,0.0,0,0,787.9238,737.2129,155.7109,35.1054,0.099356
17,22,28,1,125.9366,0.0,0.0,0,127.3907,0,0.0,0.0,0,0,857.7227,806.3823,161.3403,36.6537,0.095263
18,21,28,0,133.0119,0.0,0.0,1,121.5843,1,0.0,0.0,0,0,868.3956,817.0386,156.357,38.9066,0.090895
19,20,28,0,132.2159,0.0,0.0,1,116.8404,1,0.0,0.0,0,0,860.4804,809.0304,151.4499,40.4515,0.087703
20,19,28,0,129.1829,0.0,0.0,1,112.4936,1,0.0,0.0,0,0,844.7731,793.2421,146.5311,41.7496,0.085133
21,21,30,2,129.1392,0.0,0.0,0,128.0213,0,0.0,0.0,0,0,921.1314,861.4392,164.6922,41.0209,0.087758
22,23,32,2,139.2915,0.0,0.0,1,134.5634,0,0.0,0.0,11.2642,1,1012.8034,941.6229,174.9163,40.9401,0.086683
23,24,33,1,149.4108,1.165,0.0,0,143.8929,0,0.0,0.0,11.2642,1,1086.2086,1007.8535,187.0909,41.9939,0.085409
24,23,34,1,157.4478,1.165,0.0,3,135.1642,2,0.0,0.0,11.2642,1,1000.1214,929.0011,174.856,40.3914,0.086613
