step,volume_joules,nb_entites,ratio_destruction
8,27.9758,1,0.05159
9,31.2672,1,0.055681
11,34.4456,1,0.054281
14,41.105,1,0.053688
15,45.1814,1,0.056784
16,49.7052,1,0.058591
18,49.7572,1,0.053528
19,66.0416,1,0.070165
20,71.1808,1,0.076404
24,161.2044,2,0.134915
25,196.9215,3,0.175526
27,83.5348,1,0.081854
29,156.3156,2,0.142448
30,228.0481,3,0.226015
31,50.8818,1,0.065355
36,327.5581,5,0.283744
38,292.9417,4,0.313964
41,57.8545,1,0.076513
42,69.7108,1,0.093082
43,156.6704,3,0.208446
45,119.0618,2,0.170773
47,65.3447,1,0.097788
48,97.4176,2,0.148731
50,55.3727,1,0.083491
52,111.1995,2,0.150356
54,55.2713,1,0.073684
58,96.3091,1,0.09392
59,151.5163,2,0.151585
61,58.5537,1,0.058366
62,56.9089,1,0.055913
63,83.4079,1,0.079666
64,87.6328,1,0.081701
67,249.2985,4,0.189613
69,56.3748,1,0.047223
71,251.0982,3,0.184987
72,161.5174,2,0.140034
73,56.7447,1,0.054801
74,91.9465,2,0.087596
76,82.8948,1,0.075672
77,51.3235,1,0.048233
78,153.6807,2,0.139359
81,250.2455,4,0.214056
83,194.8014,3,0.186348
84,58.2327,1,0.066545
85,129.4905,2,0.141859
87,283.9889,4,0.305021
90,262.9067,3,0.323895
92,44.4611,1,0.073817
93,43.4683,1,0.072228
95,63.1144,1,0.093798
99,57.8799,1,0.069086
101,204.2643,3,0.221259
103,158.4248,2,0.19245
106,151.8607,2,0.172263
107,46.7094,1,0.05882
109,181.9284,3,0.198083
110,62.5497,1,0.08169
111,146.8713,2,0.186643
117,298.4007,5,0.252362
118,180.6562,3,0.197731
119,103.1448,2,0.134073
122,141.7465,2,0.15849
124,51.8989,1,0.059363
125,36.894,1,0.039876
127,72.8074,1,0.069798
129,201.8611,3,0.173937
130,57.5649,1,0.057391
132,336.3879,4,0.293228
133,118.2649,2,0.146055
134,116.9542,2,0.155207
135,38.348,1,0.057543
137,63.2364,1,0.083882
139,43.3671,1,0.053585
140,75.7642,1,0.09238
143,205.8746,2,0.214609
145,70.9279,1,0.086878
147,98.0193,1,0.11422
148,147.5617,2,0.18272
153,92.5421,1,0.104514
157,147.2821,1,0.150439
158,154.5957,2,0.178757
159,46.5528,1,0.0623
160,65.5011,1,0.088699
162,69.6492,1,0.091345
163,104.2203,1,0.135685
165,150.183,1,0.184791
166,52.0182,1,0.074447
169,80.9861,1,0.089704
171,205.3453,2,0.205803
173,135.341,2,0.147272
174,62.2944,1,0.073935
176,140.7028,3,0.150077
179,81.4478,1,0.07873
180,93.9677,2,0.091976
181,67.3994,1,0.068563
184,46.4321,1,0.04002
185,85.8852,2,0.072161
187,81.0968,1,0.064743
190,66.0805,1,0.046791
191,83.9878,1,0.059259
192,203.6447,2,0.14224
193,325.816,4,0.249484
197,84.8344,1,0.069503
198,120.0726,2,0.098737
199,90.6992,1,0.079081
200,162.3362,2,0.142744
202,75.2598,1,0.070391
203,72.0643,1,0.068921
204,286.4022,4,0.265192
207,221.2499,3,0.226246
208,55.3194,1,0.072429
210,66.8552,1,0.081056
212,43.7821,1,0.050724
213,243.7261,3,0.264578
214,108.382,2,0.153869
216,41.1986,1,0.056406
217,69.3,1,0.089789
218,76.8023,1,0.097916
219,200.5652,3,0.251697
220,47.4495,1,0.074478
221,213.8038,4,0.311151
222,43.7496,1,0.090984
227,37.9326,1,0.048576
230,120.8215,2,0.123231
232,62.1116,1,0.064238
235,69.5112,1,0.058341
237,93.9308,1,0.071377
238,315.5069,4,0.233819
239,78.3149,1,0.075341
243,135.4192,2,0.105645
244,167.2466,2,0.137448
246,73.1795,1,0.061983
