step,value
0,158.964277
0,156.565832
0,157.538743
0,157.30878
0,159.296496
0,159.04609
0,159.967147
0,156.818631
0,158.092808
0,156.533725
0,157.035699
0,160.210564
10,156.67157
10,160.364641
20,158.555613
30,157.173227
40,160.121437
50,158.726738
50,156.924684
50,159.979967
70,157.747345
90,156.527324
130,158.879268
130,159.350754
130,157.24284
140,157.411457
150,158.60301
160,159.822995
160,157.673978
160,159.427231
170,159.739815
170,159.997479
180,158.96115
180,156.504576
210,157.501741
220,159.832587
260,158.206467
260,156.525614
300,160.246408
300,160.026421
310,157.887339
310,157.683699
310,157.479188
310,156.803374
340,157.559016
340,157.7916
340,157.435518
350,157.157348
360,158.594969
360,158.54857
370,160.351712
370,159.863696
370,157.907556
390,157.165127
390,159.288249
400,160.050922
420,157.030715
430,156.843611
430,160.177341
440,160.064753
450,159.782753
460,158.853359
460,156.950433
480,158.706605
480,158.060331
490,159.012168
510,156.761403
510,158.215352
520,158.610242
560,156.506775
560,160.052208
570,158.582255
590,157.781414
590,160.263994
600,159.942714
600,157.360814
610,158.686142
620,159.76786
620,159.890919
640,159.891115
660,156.867704
660,156.65224
660,157.051206
670,157.3506
680,158.487061
690,158.891704
690,157.787363
690,160.306089
730,158.581069
740,157.629668
770,157.012262
770,158.304442
790,157.984767
790,158.470261
800,157.222956
800,158.869644
810,156.815484
840,158.124524
840,157.335613
840,157.89963
850,159.752496
860,157.184143
860,157.838343
870,158.681208
900,158.776723
910,156.997441
910,159.659961
920,157.927577
920,156.814431
940,157.48864
950,158.057695
950,157.128359
960,158.236225
990,157.665418
990,158.058923
990,157.361063
