step,value
0,1.113345
0,1.122741
0,1.118895
0,1.1198
0,1.112066
0,1.11303
0,1.1095
0,1.121737
0,1.116726
0,1.122869
0,1.120878
0,1.108574
10,1.122321
10,1.107989
20,1.114926
30,1.120335
40,1.108913
50,1.114263
50,1.121317
50,1.109451
70,1.118077
90,1.122894
130,1.113674
130,1.111858
130,1.12006
140,1.119396
150,1.114742
160,1.11005
160,1.118365
160,1.111564
170,1.110368
170,1.109385
180,1.113357
180,1.122985
210,1.119041
220,1.110013
260,1.116283
260,1.122901
300,1.108438
300,1.109274
310,1.117529
310,1.118326
310,1.119129
310,1.121798
340,1.118816
340,1.117904
340,1.119301
350,1.120397
360,1.114774
360,1.114954
370,1.108038
370,1.109895
370,1.11745
390,1.120367
390,1.112098
400,1.109181
420,1.120898
430,1.121638
430,1.1087
440,1.109128
450,1.110204
460,1.113774
460,1.121215
480,1.114341
480,1.116853
490,1.113161
510,1.121964
510,1.116249
520,1.114714
560,1.122976
560,1.109176
570,1.114823
590,1.117944
590,1.108371
600,1.109593
600,1.119595
610,1.11442
620,1.11026
620,1.109791
640,1.10979
660,1.121543
660,1.122398
660,1.120817
670,1.119635
680,1.115192
690,1.113625
690,1.11792
690,1.108211
730,1.114827
740,1.118538
770,1.120971
770,1.115902
790,1.117148
790,1.115257
800,1.120138
800,1.113711
810,1.12175
840,1.116603
840,1.119694
840,1.117481
850,1.110319
860,1.120292
860,1.117721
870,1.114439
900,1.11407
910,1.121029
910,1.110673
920,1.117372
920,1.121754
940,1.119092
950,1.116863
950,1.120512
960,1.116167
990,1.118398
990,1.116859
990,1.119594
