step,value
0,176.982139
0,175.782916
0,176.269372
0,176.15439
0,177.148248
0,177.023045
0,177.483573
0,175.909316
0,176.546404
0,175.766862
0,176.017849
0,177.605282
10,175.835785
10,177.68232
20,176.777806
30,176.086614
40,177.560718
50,176.863369
50,175.962342
50,177.489983
70,176.373673
90,175.763662
130,176.939634
130,177.175377
130,176.12142
140,176.205728
150,176.801505
160,177.411498
160,176.336989
160,177.213616
170,177.369907
170,177.498739
180,176.980575
180,175.752288
210,176.25087
220,177.416293
260,176.603233
260,175.762807
300,177.623204
300,177.51321
310,176.44367
310,176.341849
310,176.239594
310,175.901687
340,176.279508
340,176.3958
340,176.217759
350,176.078674
360,176.797484
360,176.774285
370,177.675856
370,177.431848
370,176.453778
390,176.082563
390,177.144124
400,177.525461
420,176.015358
430,175.921805
430,177.58867
440,177.532377
450,177.391376
460,176.926679
460,175.975217
480,176.853303
480,176.530166
490,177.006084
510,175.880701
510,176.607676
520,176.805121
560,175.753388
560,177.526104
570,176.791127
590,176.390707
590,177.631997
600,177.471357
600,176.180407
610,176.843071
620,177.38393
620,177.44546
640,177.445557
660,175.933852
660,175.82612
660,176.025603
670,176.1753
680,176.74353
690,176.945852
690,176.393681
690,177.653044
730,176.790534
740,176.314834
770,176.006131
770,176.652221
790,176.492383
790,176.735131
800,176.111478
800,176.934822
810,175.907742
840,176.562262
840,176.167806
840,176.449815
850,177.376248
860,176.092071
860,176.419172
870,176.840604
900,176.888362
910,175.998721
910,177.32998
920,176.463788
920,175.907215
940,176.24432
950,176.528847
950,176.06418
960,176.618112
990,176.332709
990,176.529462
990,176.180532
