step,value
0,0.463223
0,0.459561
0,0.461052
0,0.4607
0,0.463726
0,0.463347
0,0.464739
0,0.459949
0,0.461898
0,0.459511
0,0.460282
0,0.465106
10,0.459723
10,0.465338
20,0.462602
30,0.460493
40,0.464972
50,0.462862
50,0.460112
50,0.464759
70,0.461371
90,0.459501
130,0.463094
130,0.463808
130,0.460599
140,0.460857
150,0.462674
160,0.464522
160,0.461259
160,0.463924
170,0.464396
170,0.464785
180,0.463218
180,0.459466
210,0.460996
220,0.464536
260,0.462071
260,0.459499
300,0.46516
300,0.464829
310,0.461585
310,0.461274
310,0.460961
310,0.459926
340,0.461083
340,0.461438
340,0.460894
350,0.460468
360,0.462662
360,0.462592
370,0.465318
370,0.464583
370,0.461615
390,0.46048
390,0.463714
400,0.464865
420,0.460274
430,0.459987
430,0.465056
440,0.464886
450,0.464461
460,0.463054
460,0.460151
480,0.462832
480,0.461848
490,0.463295
510,0.459861
510,0.462085
520,0.462685
560,0.45947
560,0.464867
570,0.462643
590,0.461423
590,0.465186
600,0.464702
600,0.46078
610,0.462801
620,0.464439
620,0.464624
640,0.464625
660,0.460024
660,0.459693
660,0.460306
670,0.460764
680,0.462498
690,0.463113
690,0.461432
690,0.46525
730,0.462641
740,0.461191
770,0.460246
770,0.46222
790,0.461733
790,0.462472
800,0.460569
800,0.463079
810,0.459944
840,0.461946
840,0.460741
840,0.461603
850,0.464415
860,0.460509
860,0.46151
870,0.462793
900,0.462938
910,0.460223
910,0.464276
920,0.461646
920,0.459943
940,0.460976
950,0.461844
950,0.460424
960,0.462116
990,0.461246
990,0.461846
990,0.46078
