step,value
0,0.039726
0,0.030725
0,0.034384
0,0.03352
0,0.040968
0,0.040032
0,0.043472
0,0.031677
0,0.036463
0,0.030604
0,0.032493
0,0.04438
10,0.031123
10,0.044954
20,0.038197
30,0.033011
40,0.044047
50,0.038838
50,0.032076
50,0.04352
70,0.035167
90,0.03058
130,0.039408
130,0.041171
130,0.033272
140,0.033906
150,0.038374
160,0.042934
160,0.034892
160,0.041457
170,0.042624
170,0.043585
180,0.039715
180,0.030495
210,0.034245
220,0.04297
260,0.036889
260,0.030574
300,0.044513
300,0.043693
310,0.035692
310,0.034928
310,0.03416
310,0.031619
340,0.03446
340,0.035333
340,0.033996
350,0.032951
360,0.038344
360,0.038171
370,0.044906
370,0.043086
370,0.035768
390,0.03298
390,0.040938
400,0.043785
420,0.032475
430,0.031771
430,0.044256
440,0.043836
450,0.042784
460,0.039311
460,0.032173
480,0.038762
480,0.036341
490,0.039906
510,0.031462
510,0.036922
520,0.038402
560,0.030503
560,0.043789
570,0.038297
590,0.035295
590,0.044579
600,0.043381
600,0.033716
610,0.038686
620,0.042729
620,0.043188
640,0.043189
660,0.031862
660,0.031051
660,0.032552
670,0.033677
680,0.03794
690,0.039455
690,0.035317
690,0.044736
730,0.038292
740,0.034725
770,0.032405
770,0.037256
790,0.036058
790,0.037877
800,0.033197
800,0.039372
810,0.031665
840,0.036582
840,0.033621
840,0.035738
850,0.042671
860,0.033052
860,0.035508
870,0.038667
900,0.039025
910,0.03235
910,0.042326
920,0.035843
920,0.031661
940,0.034196
950,0.036331
950,0.032842
960,0.037001
990,0.034859
990,0.036336
990,0.033716
