# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,1,0,100
2,0,1,0,100
3,0,1,0,100
4,0,1,0,100
5,0,1,0,100
6,0,1,0,100
7,0,1,0,100
8,0,1,0,100
9,0,1,0,100
10,0,1,0,100
31,15,16,0,98
89,71,72,0,92
106,89,90,0,91
183,163,164,0,83
198,173,174,0,82
246,222,223,0,77
339,314,315,0,68
383,354,355,0,64
432,404,405,0,59
440,407,408,0,59
453,421,422,0,57
455,423,424,0,57
475,443,444,0,55
557,520,521,0,48
609,569,570,0,43
645,605,606,0,39
651,611,612,0,38
736,694,695,0,30
752,714,715,0,28
771,732,733,0,26
785,742,743,0,25
841,795,796,0,20
871,827,828,0,17
882,839,840,0,16
884,840,841,0,16
912,865,866,0,13
932,887,888,0,11
960,922,923,0,7
