# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,12,0,0,1897.3788,2118.6894,978.6894,0.0,1.11664,0.461932,0.0,0.0,0,0.0
1,2,0,0,316.5326,353.2663,163.2663,0.0,1.11605,0.462162,0.0,0.0,12,1948.8794
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,325.6022
3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,1,0,0,157.8859,176.443,81.443,0.0,1.117534,0.461582,0.0,0.0,0,0.0
5,2,0,0,317.23,353.615,163.615,0.0,1.114696,0.462692,0.0,0.0,1,161.8791
6,3,0,0,474.1813,529.5906,244.5906,0.0,1.116853,0.461849,0.0,0.0,2,327.2519
7,1,0,0,158.2371,176.6185,81.6185,0.0,1.116164,0.462118,0.0,0.0,3,486.9145
8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,162.7011
9,2,0,0,315.7262,352.8631,162.8631,0.0,1.117624,0.461548,0.0,0.0,0,0.0
10,2,0,0,317.0362,353.5181,163.5181,0.0,1.115072,0.462545,0.0,0.0,2,323.7917
11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,326.8631
12,2,0,0,314.3384,352.1692,162.1692,0.0,1.120351,0.460487,0.0,0.0,0,0.0
13,1,0,0,158.4023,176.7012,81.7012,0.0,1.115521,0.462369,0.0,0.0,2,320.3553
14,2,0,0,315.9755,352.9877,162.9877,0.0,1.117136,0.461738,0.0,0.0,1,163.1251
15,1,0,0,157.7037,176.3518,81.3518,0.0,1.118248,0.461304,0.0,0.0,2,324.1188
16,1,0,0,156.6494,175.8247,80.8247,0.0,1.122409,0.459689,0.0,0.0,1,161.591
17,1,0,0,158.3445,176.6723,81.6723,0.0,1.115746,0.462281,0.0,0.0,1,159.0169
18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,162.9532
19,1,0,0,157.4696,176.2348,81.2348,0.0,1.119167,0.460946,0.0,0.0,0,0.0
20,1,0,0,158.5556,176.7778,81.7778,0.0,1.114926,0.462602,0.0,0.0,1,160.8405
21,2,0,0,315.7794,352.8897,162.8897,0.0,1.11752,0.461588,0.0,0.0,1,163.4472
22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,323.8268
23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
24,1,0,0,160.0055,177.5027,82.5027,0.0,1.109354,0.464797,0.0,0.0,0,0.0
25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,166.7297
26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
27,1,0,0,156.944,175.972,80.972,0.0,1.121241,0.460141,0.0,0.0,0,0.0
28,2,0,0,314.9012,352.4506,162.4506,0.0,1.119242,0.460917,0.0,0.0,1,159.6813
29,1,0,0,158.0144,176.5072,81.5072,0.0,1.117032,0.461778,0.0,0.0,2,321.7577
30,1,0,0,157.1732,176.0866,81.0866,0.0,1.120335,0.460493,0.0,0.0,1,162.0956
31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,160.2219
32,2,0,0,318.9764,354.4882,164.4882,0.0,1.11133,0.464016,0.0,0.0,0,0.0
33,1,0,0,158.3431,176.6716,81.6716,0.0,1.115751,0.462279,0.0,0.0,2,331.3476
34,1,0,0,157.9207,176.4604,81.4604,0.0,1.117398,0.461635,0.0,0.0,1,162.9137
35,1,0,0,160.211,177.6055,82.6055,0.0,1.108573,0.465107,0.0,0.0,1,161.964
36,2,0,0,316.3085,353.1543,163.1543,0.0,1.116487,0.461991,0.0,0.0,1,167.368
37,1,0,0,159.7968,177.3984,82.3984,0.0,1.11015,0.464482,0.0,0.0,2,324.9968
38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,166.3091
39,2,0,0,314.2898,352.1449,162.1449,0.0,1.120447,0.460449,0.0,0.0,0,0.0
40,1,0,0,160.1214,177.5607,82.5607,0.0,1.108913,0.464972,0.0,0.0,2,320.3458
41,1,0,0,157.9873,176.4937,81.4937,0.0,1.117138,0.461737,0.0,0.0,1,166.9706
42,1,0,0,158.2348,176.6174,81.6174,0.0,1.116173,0.462114,0.0,0.0,1,162.11
43,1,0,0,157.2641,176.132,81.132,0.0,1.119976,0.460632,0.0,0.0,1,162.748
44,1,0,0,157.0447,176.0223,81.0223,0.0,1.120842,0.460296,0.0,0.0,1,160.5809
45,3,0,0,474.1947,529.5973,244.5973,0.0,1.116835,0.461855,0.0,0.0,1,159.9212
46,2,0,0,317.2862,353.6431,163.6431,0.0,1.114587,0.462735,0.0,0.0,3,486.9072
47,1,0,0,156.434,175.717,80.717,0.0,1.123266,0.459358,0.0,0.0,2,327.2594
48,1,0,0,159.3553,177.1776,82.1776,0.0,1.11184,0.463815,0.0,0.0,1,158.5534
49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,165.2559
50,3,0,0,475.6314,530.3157,245.3157,0.0,1.114972,0.462584,0.0,0.0,0,0.0
51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,490.1728
52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
54,2,0,0,318.9801,354.4901,164.4901,0.0,1.111323,0.464019,0.0,0.0,0,0.0
55,1,0,0,159.3368,177.1684,82.1684,0.0,1.111911,0.463787,0.0,0.0,2,331.2547
56,2,0,0,319.4118,354.7059,164.7059,0.0,1.110497,0.464345,0.0,0.0,1,165.3408
57,1,0,0,159.5696,177.2848,82.2848,0.0,1.111019,0.464139,0.0,0.0,2,332.1093
58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,165.8915
59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
61,2,0,0,319.2656,354.6328,164.6328,0.0,1.110777,0.464235,0.0,0.0,0,0.0
62,1,0,0,160.2316,177.6158,82.6158,0.0,1.108494,0.465138,0.0,0.0,2,331.8241
63,1,0,0,158.8206,176.9103,81.9103,0.0,1.1139,0.463005,0.0,0.0,1,167.3439
64,1,0,0,157.4287,176.2144,81.2144,0.0,1.119328,0.460884,0.0,0.0,1,164.0839
65,2,0,0,315.7728,352.8864,162.8864,0.0,1.117533,0.461583,0.0,0.0,1,160.9834
66,2,0,0,315.6583,352.8291,162.8291,0.0,1.117757,0.461496,0.0,0.0,2,323.7758
67,3,0,0,472.1557,528.5779,243.5779,0.0,1.119499,0.460817,0.0,0.0,2,323.6217
68,1,0,0,158.2938,176.6469,81.6469,0.0,1.115943,0.462204,0.0,0.0,3,482.2006
69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,162.8408
70,1,0,0,157.7473,176.3737,81.3737,0.0,1.118077,0.461371,0.0,0.0,0,0.0
71,2,0,0,314.5981,352.2991,162.2991,0.0,1.119838,0.460685,0.0,0.0,1,161.5414
72,1,0,0,157.19,176.095,81.095,0.0,1.120269,0.460518,0.0,0.0,2,321.0964
73,1,0,0,159.3938,177.1969,82.1969,0.0,1.111692,0.463873,0.0,0.0,1,160.2581
74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,165.3554
75,1,0,0,160.2135,177.6068,82.6068,0.0,1.108563,0.46511,0.0,0.0,0,0.0
76,2,0,0,317.8416,353.9208,163.9208,0.0,1.113513,0.463157,0.0,0.0,1,167.2936
77,1,0,0,159.7091,177.3545,82.3545,0.0,1.110485,0.46435,0.0,0.0,2,328.625
78,2,0,0,316.3915,353.1958,163.1958,0.0,1.116325,0.462055,0.0,0.0,1,166.013
79,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,325.1162
80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
81,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
83,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
84,1,0,0,157.3358,176.1679,81.1679,0.0,1.119694,0.460742,0.0,0.0,0,0.0
85,1,0,0,158.0665,176.5332,81.5332,0.0,1.116829,0.461858,0.0,0.0,1,160.6291
86,2,0,0,318.626,354.313,164.313,0.0,1.112003,0.463751,0.0,0.0,1,162.2861
87,3,0,0,475.478,530.239,245.239,0.0,1.11517,0.462507,0.0,0.0,2,330.4047
88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,489.9108
89,1,0,0,158.8841,176.9421,81.9421,0.0,1.113655,0.463101,0.0,0.0,0,0.0
90,1,0,0,156.5273,175.7637,80.7637,0.0,1.122894,0.459501,0.0,0.0,1,164.1201
91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,158.8247
92,1,0,0,157.7143,176.3572,81.3572,0.0,1.118206,0.46132,0.0,0.0,0,0.0
93,1,0,0,159.7144,177.3572,82.3572,0.0,1.110465,0.464358,0.0,0.0,1,161.553
94,2,0,0,317.9955,353.9978,163.9978,0.0,1.113216,0.463273,0.0,0.0,1,166.1029
