# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,12,176.5574,0.6379,175.7669,175.7956,175.9907,176.4079,177.0543,177.45,177.5919,177.6053
0,actif_liquide,12,81.5574,0.6379,80.7669,80.7956,80.9907,81.4079,82.0543,82.45,82.5919,82.6053
0,actif_total,12,158.1149,1.2759,156.5337,156.5911,156.9814,157.8158,159.1087,159.9001,160.1838,160.2106
0,ratio_L_P,12,0.4619,0.0019,0.4595,0.4596,0.4602,0.4615,0.4634,0.4646,0.4651,0.4651
0,taux_interne,12,0.0365,0.0048,0.0306,0.0308,0.0323,0.0354,0.0403,0.0432,0.0443,0.0444
0,levier_entite,12,1.1167,0.005,1.1086,1.1098,1.1128,1.1178,1.1211,1.1226,1.1229,1.1229
10,passif_total,2,176.7591,0.9233,175.8358,176.0204,176.2974,176.7591,177.2207,177.4977,177.6639,177.6823
10,actif_liquide,2,81.7591,0.9233,80.8358,81.0204,81.2974,81.7591,82.2207,82.4977,82.6639,82.6823
10,actif_total,2,158.5181,1.8465,156.6716,157.0409,157.5948,158.5181,159.4414,159.9953,160.3277,160.3646
10,ratio_L_P,2,0.4625,0.0028,0.4597,0.4603,0.4611,0.4625,0.4639,0.4648,0.4653,0.4653
10,taux_interne,2,0.038,0.0069,0.0311,0.0325,0.0346,0.038,0.0415,0.0436,0.0448,0.045
10,levier_entite,2,1.1152,0.0072,1.108,1.1094,1.1116,1.1152,1.1187,1.1209,1.1222,1.1223
20,passif_total,1,176.7778,0.0,176.7778,176.7778,176.7778,176.7778,176.7778,176.7778,176.7778,176.7778
20,actif_liquide,1,81.7778,0.0,81.7778,81.7778,81.7778,81.7778,81.7778,81.7778,81.7778,81.7778
20,actif_total,1,158.5556,0.0,158.5556,158.5556,158.5556,158.5556,158.5556,158.5556,158.5556,158.5556
20,ratio_L_P,1,0.4626,0.0,0.4626,0.4626,0.4626,0.4626,0.4626,0.4626,0.4626,0.4626
20,taux_interne,1,0.0382,0.0,0.0382,0.0382,0.0382,0.0382,0.0382,0.0382,0.0382,0.0382
20,levier_entite,1,1.1149,0.0,1.1149,1.1149,1.1149,1.1149,1.1149,1.1149,1.1149,1.1149
30,passif_total,1,176.0866,0.0,176.0866,176.0866,176.0866,176.0866,176.0866,176.0866,176.0866,176.0866
30,actif_liquide,1,81.0866,0.0,81.0866,81.0866,81.0866,81.0866,81.0866,81.0866,81.0866,81.0866
30,actif_total,1,157.1732,0.0,157.1732,157.1732,157.1732,157.1732,157.1732,157.1732,157.1732,157.1732
30,ratio_L_P,1,0.4605,0.0,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605
