# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
1,12,1948.8794,0.0,2026.8205,2265.412,2226.8205,1438.5915,14,0.860276,0.0,0,12,168.8918
2,2,325.6022,0.0,337.9397,325.6022,337.9397,187.6625,2,1.0,0.0,0,2,169.3945
5,1,161.8791,0.0,168.7987,479.1091,368.7987,410.3104,3,0.337875,0.0,0,1,168.7987
6,2,327.2519,0.0,338.2535,801.4332,638.2535,663.1797,5,0.408333,0.0,0,2,169.4383
7,3,486.9145,0.0,506.6316,645.1516,606.6316,438.52,4,0.754729,0.0,0,3,168.6161
8,1,162.7011,0.0,168.9567,162.7011,168.9567,93.7444,1,1.0,0.0,0,1,168.9567
10,2,323.7917,0.0,337.5768,640.8279,537.5768,503.2511,4,0.505271,0.0,0,2,169.047
11,2,326.8631,0.0,338.1663,326.8631,338.1663,188.6968,2,1.0,0.0,0,2,169.9141
13,2,320.3553,0.0,336.9523,478.7576,436.9523,341.8053,3,0.669139,0.0,0,2,168.6145
14,1,163.1251,0.0,169.031,479.1006,369.031,410.0696,3,0.340482,0.0,0,1,169.031
15,2,324.1188,0.0,337.689,481.8225,437.689,344.1335,3,0.672693,0.0,0,2,169.2776
16,1,161.591,0.0,168.7166,318.2404,268.7166,249.5237,2,0.507764,0.0,0,1,168.7166
17,1,159.0169,0.0,168.2422,317.3615,268.2422,249.1192,2,0.501059,0.0,0,1,168.2422
18,1,162.9532,0.0,169.005,162.9532,169.005,93.9481,1,1.0,0.0,0,1,169.005
20,1,160.8405,0.0,168.6113,319.3961,268.6113,250.7848,2,0.503577,0.0,0,1,168.6113
21,1,163.4472,0.0,169.1,479.2266,369.1,410.1266,3,0.341065,0.0,0,1,169.1
22,2,323.8268,0.0,337.6007,323.8268,337.6007,186.2261,2,1.0,0.0,0,2,169.0613
25,1,166.7297,0.0,169.7525,166.7297,169.7525,96.9773,1,1.0,0.0,0,1,169.7525
28,1,159.6813,0.0,168.3748,474.5825,368.3748,406.2077,3,0.336467,0.0,0,1,168.3748
29,2,321.7577,0.0,337.2055,479.7721,437.2055,342.5665,3,0.670647,0.0,0,2,168.8938
30,1,162.0956,0.0,168.8565,319.2689,268.8565,250.4124,2,0.507709,0.0,0,1,168.8565
31,1,160.2219,0.0,168.478,160.2219,168.478,91.744,1,1.0,0.0,0,1,168.478
33,2,331.3476,0.0,339.0394,489.6907,439.0394,350.6513,3,0.676647,0.0,0,2,169.9197
34,1,162.9137,0.0,169.0044,320.8344,269.0044,251.83,2,0.507781,0.0,0,1,169.0044
35,1,161.964,0.0,168.8143,322.175,268.8143,253.3606,2,0.502721,0.0,0,1,168.8143
36,1,167.368,0.0,169.8449,483.6766,369.8449,413.8316,3,0.346033,0.0,0,1,169.8449
37,2,324.9968,0.0,337.8388,484.7936,437.8388,346.9547,3,0.670382,0.0,0,2,169.1711
38,1,166.3091,0.0,169.6585,166.3091,169.6585,96.6505,1,1.0,0.0,0,1,169.6585
40,2,320.3458,0.0,336.9304,480.4672,436.9304,343.5368,3,0.666738,0.0,0,2,168.5778
41,1,166.9706,0.0,169.8046,324.9579,269.8046,255.1533,2,0.513822,0.0,0,1,169.8046
42,1,162.11,0.0,168.8443,320.3448,268.8443,251.5005,2,0.506049,0.0,0,1,168.8443
43,1,162.748,0.0,168.9557,320.0121,268.9557,251.0564,2,0.508568,0.0,0,1,168.9557
44,1,160.5809,0.0,168.5188,317.6256,268.5188,249.1067,2,0.505567,0.0,0,1,168.5188
45,1,159.9212,0.0,168.4201,634.1159,468.4201,565.6958,4,0.252196,0.0,0,1,168.4201
46,3,486.9072,0.0,506.6376,804.1933,706.6376,597.5557,5,0.60546,0.0,0,3,168.6725
47,2,327.2594,0.0,338.2788,483.6934,438.2788,345.4146,3,0.676584,0.0,0,2,169.2692
48,1,158.5534,0.0,168.1453,317.9086,268.1453,249.7633,2,0.498739,0.0,0,1,168.1453
49,1,165.2559,0.0,169.4599,165.2559,169.4599,95.7961,1,1.0,0.0,0,1,169.4599
51,3,490.1728,0.0,507.2841,490.1728,507.2841,282.8886,3,1.0,0.0,0,3,169.177
55,2,331.2547,0.0,339.0411,490.5915,439.0411,351.5504,3,0.675215,0.0,0,2,169.796
56,1,165.3408,0.0,169.4516,484.7526,369.4516,415.301,3,0.341083,0.0,0,1,169.4516
57,2,332.1093,0.0,339.2353,491.6789,439.2353,352.4436,3,0.67546,0.0,0,2,169.6932
