# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,12,176.5574,0.6379,175.7669,175.7956,175.9907,176.4079,177.0543,177.45,177.5919,177.6053
0,actif_liquide,12,81.5574,0.6379,80.7669,80.7956,80.9907,81.4079,82.0543,82.45,82.5919,82.6053
0,actif_total,12,158.1149,1.2759,156.5337,156.5911,156.9814,157.8158,159.1087,159.9001,160.1838,160.2106
0,ratio_L_P,12,0.4619,0.0019,0.4595,0.4596,0.4602,0.4615,0.4634,0.4646,0.4651,0.4651
0,taux_interne,12,0.0365,0.0048,0.0306,0.0308,0.0323,0.0354,0.0403,0.0432,0.0443,0.0444
0,levier_entite,12,1.1167,0.005,1.1086,1.1098,1.1128,1.1178,1.1211,1.1226,1.1229,1.1229
50,passif_total,3,176.7719,0.627,175.9623,176.1425,176.4129,176.8634,177.1767,177.3647,177.4775,177.49
50,actif_liquide,3,81.7719,0.627,80.9623,81.1425,81.4129,81.8634,82.1767,82.3647,82.4775,82.49
50,actif_total,3,158.5438,1.254,156.9247,157.2851,157.8257,158.7267,159.3534,159.7293,159.9549,159.98
50,ratio_L_P,3,0.4626,0.0019,0.4601,0.4607,0.4615,0.4629,0.4638,0.4644,0.4647,0.4648
50,taux_interne,3,0.0381,0.0047,0.0321,0.0334,0.0355,0.0388,0.0412,0.0426,0.0434,0.0435
50,levier_entite,3,1.115,0.0049,1.1095,1.1104,1.1119,1.1143,1.1178,1.1199,1.1212,1.1213
150,passif_total,1,176.8015,0.0,176.8015,176.8015,176.8015,176.8015,176.8015,176.8015,176.8015,176.8015
150,actif_liquide,1,81.8015,0.0,81.8015,81.8015,81.8015,81.8015,81.8015,81.8015,81.8015,81.8015
150,actif_total,1,158.603,0.0,158.603,158.603,158.603,158.603,158.603,158.603,158.603,158.603
150,ratio_L_P,1,0.4627,0.0,0.4627,0.4627,0.4627,0.4627,0.4627,0.4627,0.4627,0.4627
150,taux_interne,1,0.0384,0.0,0.0384,0.0384,0.0384,0.0384,0.0384,0.0384,0.0384,0.0384
150,levier_entite,1,1.1147,0.0,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147
300,passif_total,2,177.5682,0.055,177.5132,177.5242,177.5407,177.5682,177.5957,177.6122,177.6221,177.6232
300,actif_liquide,2,82.5682,0.055,82.5132,82.5242,82.5407,82.5682,82.5957,82.6122,82.6221,82.6232
300,actif_total,2,160.1364,0.11,160.0264,160.0484,160.0814,160.1364,160.1914,160.2244,160.2442,160.2464
300,ratio_L_P,2,0.465,0.0002,0.4648,0.4649,0.4649,0.465,0.4651,0.4651,0.4652,0.4652
