step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,12,12,2,116.5442,0.0,0.0,0,918.6894,0,0.0,0.0,0,0,1897.3788,2118.6894,978.6894,176.5574,0.036537
1,2,14,2,174.4334,0.0,0.0,0,153.2663,12,0.0,0.0,0,0,316.5326,353.2663,163.2663,176.6331,0.037109
2,0,14,0,26.2918,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
3,0,14,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
4,1,15,1,9.4807,0.0,0.0,0,76.443,0,0.0,0.0,0,0,157.8859,176.443,81.443,176.443,0.035687
5,2,17,2,33.012,0.0,0.0,0,153.615,1,0.0,0.0,0,0,317.23,353.615,163.615,176.8075,0.038417
6,3,20,3,56.2635,0.0,0.0,0,229.5906,2,0.0,0.0,0,0,474.1813,529.5906,244.5906,176.5302,0.036329
7,1,21,1,48.3588,0.0,0.0,0,76.6185,3,0.0,0.0,0,0,158.2371,176.6185,81.6185,176.6185,0.037004
8,0,21,0,13.0728,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
9,2,23,2,18.9154,0.0,0.0,0,152.8631,0,0.0,0.0,0,0,315.7262,352.8631,162.8631,176.4316,0.0356
10,2,25,2,45.4713,0.0,0.0,0,153.5181,2,0.0,0.0,0,0,317.0362,353.5181,163.5181,176.7591,0.038039
11,0,25,0,27.0847,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
12,2,27,2,17.5135,0.0,0.0,0,152.1692,0,0.0,0.0,0,0,314.3384,352.1692,162.1692,176.0846,0.032995
13,1,28,1,33.0887,0.0,0.0,0,76.7012,2,0.0,0.0,0,0,158.4023,176.7012,81.7012,176.7012,0.037623
14,2,30,2,32.5105,0.0,0.0,0,152.9877,1,0.0,0.0,0,0,315.9755,352.9877,162.9877,176.4939,0.036064
15,1,31,1,34.6219,0.0,0.0,0,76.3518,2,0.0,0.0,0,0,157.7037,176.3518,81.3518,176.3518,0.035003
