step,volume_joules,nb_entites,ratio_destruction
1,1948.8794,12,0.860276
2,325.6022,2,1.0
5,161.8791,1,0.337875
6,327.2519,2,0.408333
7,486.9145,3,0.754729
8,162.7011,1,1.0
10,323.7917,2,0.505271
11,326.8631,2,1.0
13,320.3553,2,0.669139
14,163.1251,1,0.340482
15,324.1188,2,0.672693
16,161.591,1,0.507764
17,159.0169,1,0.501059
18,162.9532,1,1.0
20,160.8405,1,0.503577
21,163.4472,1,0.341065
22,323.8268,2,1.0
25,166.7297,1,1.0
28,159.6813,1,0.336467
29,321.7577,2,0.670647
30,162.0956,1,0.507709
31,160.2219,1,1.0
33,331.3476,2,0.676647
34,162.9137,1,0.507781
35,161.964,1,0.502721
36,167.368,1,0.346033
37,324.9968,2,0.670382
38,166.3091,1,1.0
40,320.3458,2,0.666738
41,166.9706,1,0.513822
42,162.11,1,0.506049
43,162.748,1,0.508568
44,160.5809,1,0.505567
45,159.9212,1,0.252196
46,486.9072,3,0.60546
47,327.2594,2,0.676584
48,158.5534,1,0.498739
49,165.2559,1,1.0
51,490.1728,3,1.0
55,331.2547,2,0.675215
56,165.3408,1,0.341083
57,332.1093,2,0.67546
58,165.8915,1,1.0
62,331.8241,2,0.674363
63,167.3439,1,0.513066
64,164.0839,1,0.51035
65,160.9834,1,0.337664
66,323.7758,2,0.506347
67,323.6217,2,0.406674
68,482.2006,3,0.752857
69,162.8408,1,1.0
71,161.5414,1,0.339273
72,321.0964,2,0.671348
73,160.2581,1,0.501352
74,165.3554,1,1.0
76,167.2936,1,0.344839
77,328.625,2,0.672951
78,166.013,1,0.344136
79,325.1162,2,1.0
85,160.6291,1,0.504021
86,162.2861,1,0.337455
87,330.4047,2,0.409991
88,489.9108,3,1.0
90,164.1201,1,0.51184
91,158.8247,1,1.0
93,161.553,1,0.502861
94,166.1029,1,0.343118
95,328.9395,2,1.0
99,324.9298,2,0.507264
100,323.3419,2,1.0
102,329.7239,2,1.0
104,163.1154,1,0.337684
105,333.2553,2,0.676145
106,165.7956,1,0.509218
107,166.2784,1,1.0
109,162.7412,1,0.508564
110,160.4711,1,1.0
112,317.8659,2,0.500794
113,326.3215,2,0.673624
114,162.3484,1,1.0
120,325.6355,2,1.0
126,167.3762,1,0.511486
127,166.4915,1,0.514432
128,160.1563,1,0.253351
129,481.9148,3,0.752517
130,163.1879,1,0.255516
131,489.8024,3,1.0
133,161.2,1,0.335916
134,330.2326,2,0.675022
135,164.4265,1,1.0
138,324.4521,2,1.0
141,160.8079,1,0.168777
142,815.458,5,0.835835
143,167.0669,1,0.514476
144,161.4508,1,0.338342
145,323.6894,2,0.671159
146,163.4263,1,0.510186
147,159.6078,1,1.0
149,159.3585,1,0.333155
150,331.2472,2,0.676221
151,163.6092,1,0.338541
152,332.7158,2,1.0
154,321.4464,2,1.0
157,330.8788,2,0.410477
158,489.1054,3,0.754654
159,164.2991,1,1.0
161,493.2454,3,0.438167
162,649.8461,4,0.6731
163,323.4215,2,0.6726
164,160.8961,1,0.504273
165,162.4144,1,0.340467
166,321.1115,2,0.66695
167,167.6687,1,1.0
169,321.9901,2,0.669514
170,164.4357,1,0.339622
171,332.9369,2,0.514076
172,321.1523,2,0.402339
173,493.6424,3,0.437023
174,657.5923,4,0.580747
175,488.2042,3,0.753241
176,166.4853,1,0.344044
177,327.5409,2,0.674746
178,161.9021,1,0.336364
179,332.172,2,1.0
181,323.1228,2,0.669583
182,165.5139,1,1.0
185,166.4804,1,1.0
189,158.6784,1,1.0
192,325.9495,2,1.0
194,321.7123,2,0.506528
195,318.4092,2,1.0
197,328.8018,2,0.675144
198,162.5437,1,1.0
200,159.3741,1,1.0
202,166.0265,1,1.0
204,325.3966,2,0.339823
205,648.8129,4,0.578174
206,485.1818,3,0.755542
207,159.8293,1,1.0
209,162.2757,1,0.339652
210,323.2088,2,0.672356
211,161.1023,1,1.0
213,164.6838,1,0.512819
214,158.596,1,1.0
220,161.8677,1,0.503163
221,166.3613,1,1.0
223,485.8955,3,0.753738
224,163.866,1,0.509485
225,161.6527,1,1.0
227,331.1802,2,0.512125
228,323.1987,2,0.504214
229,328.4256,2,1.0
233,162.6654,1,0.504377
234,166.3169,1,0.510374
235,165.6673,1,0.510266
236,164.4128,1,1.0
239,165.0265,1,1.0
242,163.2418,1,0.506916
243,164.002,1,0.511234
244,159.3771,1,0.25095
245,490.3037,3,1.0
247,165.9774,1,0.510769
248,164.2994,1,1.0
253,325.8631,2,0.673804
254,161.6322,1,1.0
256,489.7238,3,0.75418
257,165.9142,1,0.257756
258,495.1793,3,0.609453
259,327.4463,2,1.0
261,321.3633,2,0.501767
262,331.5105,2,0.51225
263,323.6235,2,0.50717
264,320.7816,2,0.667202
265,166.8484,1,1.0
268,160.7266,1,0.500696
269,167.2974,1,0.344316
270,330.3752,2,1.0
272,324.1775,2,0.670687
273,164.8076,1,0.508193
274,165.577,1,1.0
277,486.7665,3,0.753357
278,165.137,1,0.507774
279,167.0675,1,0.344858
280,327.6256,2,1.0
282,164.9358,1,1.0
284,167.4801,1,1.0
286,165.8488,1,0.345226
287,320.9227,2,0.50232
288,328.7338,2,1.0
290,162.0088,1,1.0
293,326.3893,2,0.672261
294,164.6982,1,1.0
296,492.5641,3,1.0
298,165.8089,1,1.0
300,495.9991,3,0.60764
301,334.1833,2,1.0
304,167.1154,1,0.515739
305,159.6388,1,0.504027
306,160.1148,1,0.336872
307,322.4857,2,0.503617
308,328.5697,2,0.510646
309,321.7338,2,1.0
311,643.7847,4,1.0
314,165.6106,1,0.512326
315,161.4036,1,0.505617
316,161.7131,1,0.337063
317,329.0311,2,0.675577
318,162.1979,1,1.0
320,327.1537,2,1.0
322,322.1488,2,0.670291
323,163.2789,1,0.504536
