# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
1,12,2597.3174,0.0,3369.4674,3020.2412,3749.4674,1930.7737,14,0.85997,0.0,0,12,280.7752
2,2,433.9254,0.0,561.7657,433.9254,561.7657,252.1597,2,1.0,0.0,0,2,281.4683
5,1,215.747,0.0,280.6469,639.6321,660.6469,548.9852,3,0.337299,0.0,0,1,280.6469
6,2,436.1029,0.0,562.1983,1069.6373,1132.1983,887.439,5,0.407711,0.0,0,2,281.5286
7,3,648.9225,0.0,842.2655,860.3441,1032.2655,588.0786,4,0.754259,0.0,0,3,280.3953
8,1,216.8322,0.0,280.8647,216.8322,280.8647,125.9675,1,1.0,0.0,0,1,280.8647
10,2,431.5328,0.0,561.2655,855.1508,941.2655,673.8852,4,0.504628,0.0,0,2,280.9892
11,2,435.5849,0.0,562.0781,435.5849,562.0781,253.5068,2,1.0,0.0,0,2,282.1844
13,2,427.0023,0.0,560.4047,638.6517,750.4047,458.247,3,0.6686,0.0,0,2,280.393
14,1,217.3906,0.0,280.9672,639.5465,660.9672,548.5793,3,0.339914,0.0,0,1,280.9672
15,2,431.9736,0.0,561.4202,642.66,751.4202,461.2399,3,0.672165,0.0,0,2,281.3071
16,1,215.3615,0.0,280.5339,424.5946,470.5339,334.0608,2,0.507217,0.0,0,1,280.5339
17,1,211.9663,0.0,279.8799,423.536,469.8799,333.6561,2,0.500468,0.0,0,1,279.8799
18,1,217.1649,0.0,280.9314,217.1649,280.9314,126.2336,1,1.0,0.0,0,1,280.9314
20,1,214.378,0.0,280.3887,426.2387,470.3887,335.85,2,0.502953,0.0,0,1,280.3887
21,1,217.8172,0.0,281.0623,639.7028,661.0623,548.6405,3,0.340497,0.0,0,1,281.0623
22,2,431.5823,0.0,561.2985,431.5823,561.2985,250.2838,2,1.0,0.0,0,2,281.009
25,1,222.1536,0.0,281.9616,222.1536,281.9616,130.192,1,1.0,0.0,0,1,281.9616
28,1,212.8446,0.0,280.0626,633.5197,660.0626,543.4571,3,0.335972,0.0,0,1,280.0626
29,2,428.8508,0.0,560.7538,639.9655,750.7538,459.2117,3,0.670116,0.0,0,2,280.7781
30,1,216.0359,0.0,280.7266,425.9912,470.7266,335.2646,2,0.507137,0.0,0,1,280.7266
31,1,213.5584,0.0,280.2048,213.5584,280.2048,123.3535,1,1.0,0.0,0,1,280.2048
33,2,441.5082,0.0,563.2816,653.0761,753.2816,469.7945,3,0.676044,0.0,0,2,282.1922
34,1,217.1141,0.0,280.9305,428.0997,470.9305,337.1692,2,0.507158,0.0,0,1,280.9305
35,1,215.8589,0.0,280.6685,430.0014,470.6685,339.3329,2,0.501996,0.0,0,1,280.6685
36,1,222.9901,0.0,282.0891,645.6051,662.0891,553.516,3,0.345397,0.0,0,1,282.0891
37,2,433.1296,0.0,561.6267,646.7011,751.6267,465.0744,3,0.669752,0.0,0,2,281.1603
38,1,221.596,0.0,281.8322,221.596,281.8322,129.7638,1,1.0,0.0,0,1,281.8322
40,2,426.9859,0.0,560.3745,641.005,750.3745,460.6304,3,0.66612,0.0,0,2,280.3424
41,1,222.4726,0.0,282.0336,433.5499,472.0336,341.5164,2,0.513142,0.0,0,1,282.0336
42,1,216.0521,0.0,280.7098,427.4706,470.7098,336.7608,2,0.50542,0.0,0,1,280.7098
43,1,216.8922,0.0,280.8633,426.9726,470.8633,336.1093,2,0.507977,0.0,0,1,280.8633
44,1,214.027,0.0,280.2612,423.8051,470.2612,333.5439,2,0.505013,0.0,0,1,280.2612
45,1,213.1613,0.0,280.1251,846.7142,850.1251,756.5891,4,0.251751,0.0,0,1,280.1251
46,3,648.9143,0.0,842.2738,1072.8768,1222.2738,800.603,5,0.604836,0.0,0,3,280.473
47,2,436.1176,0.0,562.2331,645.0539,752.2331,462.8208,3,0.676095,0.0,0,2,281.2955
48,1,211.3525,0.0,279.7463,424.3155,469.7463,334.5691,2,0.498102,0.0,0,1,279.7463
49,1,220.2069,0.0,281.5583,220.2069,281.5583,128.6485,1,1.0,0.0,0,1,281.5583
51,3,653.2299,0.0,843.165,653.2299,843.165,380.0649,3,1.0,0.0,0,3,281.1685
