# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,1,0,20
2,0,1,0,20
3,0,1,0,20
4,0,1,0,20
5,0,1,0,20
6,0,1,0,20
7,0,1,0,20
8,0,1,0,20
9,0,1,0,20
10,0,1,0,20
31,15,16,0,19
89,71,72,0,18
106,89,90,0,18
183,163,164,0,16
198,173,174,0,16
246,222,223,0,15
339,314,315,0,13
383,354,355,0,12
432,404,405,0,11
440,407,408,0,11
453,421,422,0,11
455,423,424,0,11
475,443,444,0,11
557,520,521,0,9
609,569,570,0,8
645,605,606,0,7
651,611,612,0,7
736,694,695,0,6
752,714,715,0,5
771,732,733,0,5
785,742,743,0,5
841,795,796,0,4
871,827,828,0,3
882,839,840,0,3
884,840,841,0,3
912,865,866,0,2
932,887,888,0,2
960,922,923,0,1
