# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,12,0,0,2535.0387,3490.5193,1324.5193,0.0,1.37691,0.379462,0.0,0.0,0,0.0
1,2,0,0,422.9238,581.9619,220.9619,0.0,1.376044,0.379684,0.0,0.0,12,2597.3174
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,433.9254
3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,1,0,0,210.9376,290.7188,110.2188,0.0,1.378222,0.379125,0.0,0.0,0,0.0
5,2,0,0,423.8851,582.4426,221.4426,0.0,1.374058,0.380196,0.0,0.0,1,215.747
6,3,0,0,633.5344,872.5172,331.0172,0.0,1.377221,0.379382,0.0,0.0,2,436.1029
7,1,0,0,211.4216,290.9608,110.4608,0.0,1.376211,0.379642,0.0,0.0,3,648.9225
8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,216.8322
9,2,0,0,421.8123,581.4062,220.4062,0.0,1.378353,0.379092,0.0,0.0,0,0.0
10,2,0,0,423.618,582.309,221.309,0.0,1.374609,0.380054,0.0,0.0,2,431.5328
11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,435.5849
12,2,0,0,419.8993,580.4496,219.4496,0.0,1.382354,0.378068,0.0,0.0,0,0.0
13,1,0,0,211.6494,291.0747,110.5747,0.0,1.375268,0.379884,0.0,0.0,2,427.0023
14,2,0,0,422.1559,581.5779,220.5779,0.0,1.377638,0.379275,0.0,0.0,1,217.3906
15,1,0,0,210.6864,290.5932,110.0932,0.0,1.379269,0.378857,0.0,0.0,2,431.9736
16,1,0,0,209.2332,289.8666,109.3666,0.0,1.385376,0.3773,0.0,0.0,1,215.3615
17,1,0,0,211.5697,291.0349,110.5349,0.0,1.375598,0.379799,0.0,0.0,1,211.9663
18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,217.1649
19,1,0,0,210.3638,290.4319,109.9319,0.0,1.380617,0.378512,0.0,0.0,0,0.0
20,1,0,0,211.8607,291.1804,110.6804,0.0,1.374395,0.380109,0.0,0.0,1,214.378
21,2,0,0,421.8856,581.4428,220.4428,0.0,1.3782,0.379131,0.0,0.0,1,217.8172
22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,431.5823
23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
24,1,0,0,213.8592,292.1796,111.6796,0.0,1.366224,0.382229,0.0,0.0,0,0.0
25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,222.1536
26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
27,1,0,0,209.6392,290.0696,109.5696,0.0,1.383661,0.377736,0.0,0.0,0,0.0
28,2,0,0,420.6751,580.8376,219.8376,0.0,1.380727,0.378484,0.0,0.0,1,212.8446
29,1,0,0,211.1147,290.8073,110.3073,0.0,1.377485,0.379314,0.0,0.0,2,428.8508
30,1,0,0,209.9552,290.2276,109.7276,0.0,1.382331,0.378074,0.0,0.0,1,216.0359
31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,213.5584
32,2,0,0,426.2924,583.6462,222.6462,0.0,1.369122,0.381475,0.0,0.0,0,0.0
33,1,0,0,211.5678,291.0339,110.5339,0.0,1.375606,0.379797,0.0,0.0,2,441.5082
34,1,0,0,210.9856,290.7428,110.2428,0.0,1.378022,0.379176,0.0,0.0,1,217.1141
35,1,0,0,214.1425,292.3212,111.8212,0.0,1.365078,0.382529,0.0,0.0,1,215.8589
36,2,0,0,422.615,581.8075,220.8075,0.0,1.376685,0.37952,0.0,0.0,1,222.9901
37,1,0,0,213.5715,292.0358,111.5358,0.0,1.367391,0.381925,0.0,0.0,2,433.1296
38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,221.596
39,2,0,0,419.8323,580.4161,219.4161,0.0,1.382495,0.378032,0.0,0.0,0,0.0
40,1,0,0,214.019,292.2595,111.7595,0.0,1.365577,0.382398,0.0,0.0,2,426.9859
41,1,0,0,211.0774,290.7887,110.2887,0.0,1.37764,0.379274,0.0,0.0,1,222.4726
