# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,12,290.8766,0.8793,289.7869,289.8264,290.0954,290.6705,291.5615,292.107,292.3025,292.3209
0,actif_liquide,12,110.3766,0.8793,109.2869,109.3264,109.5954,110.1705,111.0615,111.607,111.8025,111.8209
0,actif_total,12,211.2532,1.7587,209.0737,209.1528,209.6908,210.8409,212.6231,213.7139,214.105,214.1419
0,ratio_L_P,12,0.3795,0.0019,0.3771,0.3772,0.3778,0.379,0.3809,0.3821,0.3825,0.3825
0,taux_interne,12,0.0285,0.0037,0.0238,0.024,0.0251,0.0276,0.0314,0.0337,0.0345,0.0346
0,levier_entite,12,1.377,0.0073,1.3651,1.3668,1.3713,1.3786,1.3834,1.3857,1.386,1.3861
50,passif_total,3,291.1722,0.8643,290.0563,290.3047,290.6773,291.2983,291.7302,291.9893,292.1447,292.162
50,actif_liquide,3,110.6722,0.8643,109.5563,109.8047,110.1773,110.7983,111.2302,111.4893,111.6447,111.662
50,actif_total,3,211.8444,1.7285,209.6126,210.1094,210.8546,212.0966,212.9603,213.4786,213.7895,213.824
50,ratio_L_P,3,0.3801,0.0018,0.3777,0.3782,0.379,0.3804,0.3813,0.3818,0.3822,0.3822
50,taux_interne,3,0.0297,0.0037,0.025,0.026,0.0276,0.0303,0.0321,0.0332,0.0338,0.0339
50,levier_entite,3,1.3745,0.0071,1.3664,1.3678,1.3699,1.3734,1.3786,1.3817,1.3836,1.3838
150,passif_total,1,291.213,0.0,291.213,291.213,291.213,291.213,291.213,291.213,291.213,291.213
150,actif_liquide,1,110.713,0.0,110.713,110.713,110.713,110.713,110.713,110.713,110.713,110.713
150,actif_total,1,211.926,0.0,211.926,211.926,211.926,211.926,211.926,211.926,211.926,211.926
150,ratio_L_P,1,0.3802,0.0,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802
150,taux_interne,1,0.0299,0.0,0.0299,0.0299,0.0299,0.0299,0.0299,0.0299,0.0299,0.0299
150,levier_entite,1,1.3741,0.0,1.3741,1.3741,1.3741,1.3741,1.3741,1.3741,1.3741,1.3741
300,passif_total,2,292.2698,0.0758,292.194,292.2092,292.2319,292.2698,292.3077,292.3305,292.3441,292.3457
300,actif_liquide,2,111.7698,0.0758,111.694,111.7092,111.7319,111.7698,111.8077,111.8305,111.8441,111.8457
300,actif_total,2,214.0397,0.1516,213.8881,213.9184,213.9639,214.0397,214.1155,214.161,214.1883,214.1913
300,ratio_L_P,2,0.3824,0.0002,0.3823,0.3823,0.3823,0.3824,0.3825,0.3825,0.3826,0.3826
300,taux_interne,2,0.0344,0.0003,0.0341,0.0341,0.0342,0.0344,0.0345,0.0346,0.0347,0.0347
300,levier_entite,2,1.3655,0.0006,1.3649,1.365,1.3652,1.3655,1.3658,1.366,1.3661,1.3661
350,passif_total,1,290.2167,0.0,290.2167,290.2167,290.2167,290.2167,290.2167,290.2167,290.2167,290.2167
350,actif_liquide,1,109.7167,0.0,109.7167,109.7167,109.7167,109.7167,109.7167,109.7167,109.7167,109.7167
350,actif_total,1,209.9333,0.0,209.9333,209.9333,209.9333,209.9333,209.9333,209.9333,209.9333,209.9333
350,ratio_L_P,1,0.3781,0.0,0.3781,0.3781,0.3781,0.3781,0.3781,0.3781,0.3781,0.3781
350,taux_interne,1,0.0257,0.0,0.0257,0.0257,0.0257,0.0257,0.0257,0.0257,0.0257,0.0257
350,levier_entite,1,1.3824,0.0,1.3824,1.3824,1.3824,1.3824,1.3824,1.3824,1.3824,1.3824
400,passif_total,1,292.2109,0.0,292.2109,292.2109,292.2109,292.2109,292.2109,292.2109,292.2109,292.2109
400,actif_liquide,1,111.7109,0.0,111.7109,111.7109,111.7109,111.7109,111.7109,111.7109,111.7109,111.7109
400,actif_total,1,213.9218,0.0,213.9218,213.9218,213.9218,213.9218,213.9218,213.9218,213.9218,213.9218
400,ratio_L_P,1,0.3823,0.0,0.3823,0.3823,0.3823,0.3823,0.3823,0.3823,0.3823,0.3823
400,taux_interne,1,0.0341,0.0,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341
400,levier_entite,1,1.366,0.0,1.366,1.366,1.366,1.366,1.366,1.366,1.366,1.366
450,passif_total,1,292.0261,0.0,292.0261,292.0261,292.0261,292.0261,292.0261,292.0261,292.0261,292.0261
450,actif_liquide,1,111.5261,0.0,111.5261,111.5261,111.5261,111.5261,111.5261,111.5261,111.5261,111.5261
450,actif_total,1,213.5522,0.0,213.5522,213.5522,213.5522,213.5522,213.5522,213.5522,213.5522,213.5522
450,ratio_L_P,1,0.3819,0.0,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819
450,taux_interne,1,0.0333,0.0,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333
450,levier_entite,1,1.3675,0.0,1.3675,1.3675,1.3675,1.3675,1.3675,1.3675,1.3675,1.3675
600,passif_total,2,291.2466,0.8897,290.3569,290.5348,290.8018,291.2466,291.6915,291.9584,292.1186,292.1363
600,actif_liquide,2,110.7466,0.8897,109.8569,110.0348,110.3018,110.7466,111.1915,111.4584,111.6186,111.6363
600,actif_total,2,211.9932,1.7795,210.2138,210.5697,211.1035,211.9932,212.883,213.4168,213.7371,213.7727
600,ratio_L_P,2,0.3802,0.0019,0.3784,0.3787,0.3793,0.3802,0.3812,0.3818,0.3821,0.3821
600,taux_interne,2,0.03,0.0038,0.0263,0.027,0.0282,0.03,0.0319,0.0331,0.0337,0.0338
600,levier_entite,2,1.3739,0.0073,1.3666,1.368,1.3702,1.3739,1.3776,1.3798,1.3811,1.3812
800,passif_total,2,290.8293,0.5675,290.2619,290.3754,290.5456,290.8293,291.1131,291.2833,291.3854,291.3968
800,actif_liquide,2,110.3293,0.5675,109.7619,109.8754,110.0456,110.3293,110.6131,110.7833,110.8854,110.8968
800,actif_total,2,211.1587,1.1349,210.0238,210.2507,210.5912,211.1587,211.7261,212.0666,212.2709,212.2936
800,ratio_L_P,2,0.3794,0.0012,0.3781,0.3784,0.3788,0.3794,0.38,0.3803,0.3805,0.3806
800,taux_interne,2,0.0283,0.0024,0.0259,0.0263,0.0271,0.0283,0.0295,0.0302,0.0306,0.0307
800,levier_entite,2,1.3773,0.0047,1.3726,1.3736,1.375,1.3773,1.3797,1.3811,1.3819,1.382
850,passif_total,1,292.0052,0.0,292.0052,292.0052,292.0052,292.0052,292.0052,292.0052,292.0052,292.0052
850,actif_liquide,1,111.5052,0.0,111.5052,111.5052,111.5052,111.5052,111.5052,111.5052,111.5052,111.5052
850,actif_total,1,213.5105,0.0,213.5105,213.5105,213.5105,213.5105,213.5105,213.5105,213.5105,213.5105
850,ratio_L_P,1,0.3819,0.0,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819
850,taux_interne,1,0.0333,0.0,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333
850,levier_entite,1,1.3676,0.0,1.3676,1.3676,1.3676,1.3676,1.3676,1.3676,1.3676,1.3676
900,passif_total,1,291.3327,0.0,291.3327,291.3327,291.3327,291.3327,291.3327,291.3327,291.3327,291.3327
900,actif_liquide,1,110.8327,0.0,110.8327,110.8327,110.8327,110.8327,110.8327,110.8327,110.8327,110.8327
900,actif_total,1,212.1655,0.0,212.1655,212.1655,212.1655,212.1655,212.1655,212.1655,212.1655,212.1655
900,ratio_L_P,1,0.3804,0.0,0.3804,0.3804,0.3804,0.3804,0.3804,0.3804,0.3804,0.3804
900,taux_interne,1,0.0304,0.0,0.0304,0.0304,0.0304,0.0304,0.0304,0.0304,0.0304,0.0304
900,levier_entite,1,1.3731,0.0,1.3731,1.3731,1.3731,1.3731,1.3731,1.3731,1.3731,1.3731
950,passif_total,2,290.5169,0.3203,290.1967,290.2607,290.3568,290.5169,290.6771,290.7731,290.8308,290.8372
950,actif_liquide,2,110.0169,0.3203,109.6967,109.7607,109.8568,110.0169,110.1771,110.2731,110.3308,110.3372
950,actif_total,2,210.5339,0.6405,209.8934,210.0215,210.2136,210.5339,210.8541,211.0463,211.1616,211.1744
950,ratio_L_P,2,0.3787,0.0007,0.378,0.3781,0.3784,0.3787,0.379,0.3792,0.3794,0.3794
950,taux_interne,2,0.0269,0.0014,0.0256,0.0259,0.0263,0.0269,0.0276,0.028,0.0283,0.0283
950,levier_entite,2,1.3799,0.0027,1.3772,1.3778,1.3786,1.3799,1.3813,1.3821,1.3825,1.3826
