step,volume_joules,nb_entites,ratio_destruction
1,2597.3174,12,0.85997
2,433.9254,2,1.0
5,215.747,1,0.337299
6,436.1029,2,0.407711
7,648.9225,3,0.754259
8,216.8322,1,1.0
10,431.5328,2,0.504628
11,435.5849,2,1.0
13,427.0023,2,0.6686
14,217.3906,1,0.339914
15,431.9736,2,0.672165
16,215.3615,1,0.507217
17,211.9663,1,0.500468
18,217.1649,1,1.0
20,214.378,1,0.502953
21,217.8172,1,0.340497
22,431.5823,2,1.0
25,222.1536,1,1.0
28,212.8446,1,0.335972
29,428.8508,2,0.670116
30,216.0359,1,0.507137
31,213.5584,1,1.0
33,441.5082,2,0.676044
34,217.1141,1,0.507158
35,215.8589,1,0.501996
36,222.9901,1,0.345397
37,433.1296,2,0.669752
38,221.596,1,1.0
40,426.9859,2,0.66612
41,222.4726,1,0.513142
42,216.0521,1,0.50542
43,216.8922,1,0.507977
44,214.027,1,0.505013
45,213.1613,1,0.251751
46,648.9143,3,0.604836
47,436.1176,2,0.676095
48,211.3525,1,0.498102
49,220.2069,1,1.0
51,653.2299,3,1.0
55,441.3897,2,0.67457
56,220.3142,1,0.340408
57,442.5236,2,0.674803
58,221.0407,1,1.0
62,442.1448,2,0.673677
63,222.961,1,0.512334
64,218.6569,1,0.509732
65,214.558,1,0.337125
66,431.5155,2,0.505741
67,431.3089,2,0.406109
68,642.6996,3,0.7524
69,217.0164,1,1.0
71,215.3016,1,0.338759
72,427.9761,2,0.670857
73,213.6063,1,0.500692
74,220.3378,1,1.0
76,222.8949,1,0.344174
77,437.9179,2,0.672304
78,221.2086,1,0.343525
79,433.2898,2,1.0
85,214.0952,1,0.50342
86,216.2849,1,0.336843
87,440.2689,2,0.409328
88,652.8814,3,1.0
90,218.709,1,0.511272
91,211.7089,1,1.0
93,215.3136,1,0.502164
94,221.3244,1,0.342467
95,438.3347,2,1.0
99,433.0401,2,0.506651
100,430.9456,2,1.0
102,439.3653,2,1.0
104,217.3799,1,0.337033
105,444.038,2,0.67548
106,220.922,1,0.508465
107,221.5563,1,1.0
109,216.8856,1,0.507976
110,213.8857,1,1.0
112,423.7099,2,0.5002
113,434.8763,2,0.673062
114,216.3682,1,1.0
120,433.971,2,1.0
126,223.0063,1,0.510705
127,221.8354,1,0.513795
128,213.4721,1,0.252931
129,642.3185,3,0.752052
130,217.4787,1,0.255019
131,652.7418,3,1.0
133,214.8484,1,0.335316
134,440.0529,2,0.674405
135,219.1107,1,1.0
138,432.4121,2,1.0
141,214.3311,1,0.16843
142,1086.7332,5,0.835428
143,222.5997,1,0.51381
144,215.1782,1,0.337801
145,431.4017,2,0.67059
146,217.7936,1,0.50961
147,212.7465,1,1.0
149,212.4168,1,0.332574
150,441.3798,2,0.67561
151,218.0292,1,0.337886
152,443.3236,2,1.0
154,428.4423,2,1.0
157,440.8974,2,0.409816
158,651.823,3,0.754151
159,218.9496,1,1.0
161,657.2848,3,0.437521
162,866.0533,4,0.672558
163,431.0467,2,0.672085
164,214.446,1,0.503661
165,216.4584,1,0.339945
166,427.9973,2,0.666317
167,223.3878,1,1.0
169,429.1574,2,0.668939
170,219.1187,1,0.338952
171,443.6133,2,0.513431
172,428.057,2,0.40172
173,657.8061,3,0.436332
174,876.2948,4,0.580104
175,650.6254,3,0.752703
176,221.8338,1,0.343404
177,436.4904,2,0.674189
178,215.7766,1,0.335739
179,442.605,2,1.0
181,430.6509,2,0.668978
182,220.5459,1,1.0
185,221.8178,1,1.0
189,211.5168,1,1.0
192,434.3912,2,1.0
194,428.7917,2,0.505994
195,424.4248,2,1.0
197,438.1598,2,0.674568
198,216.6277,1,1.0
200,212.4375,1,1.0
202,221.2263,1,1.0
204,433.6565,2,0.33926
205,864.7026,4,0.577582
206,646.6287,3,0.755125
207,213.0379,1,1.0
209,216.2729,1,0.33911
210,430.7639,2,0.671838
211,214.7168,1,1.0
213,219.4514,1,0.512246
214,211.4086,1,1.0
220,215.7357,1,0.502463
221,221.6661,1,1.0
223,647.5845,3,0.753254
224,218.3714,1,0.508856
225,215.4459,1,1.0
227,441.2916,2,0.511471
228,430.7519,2,0.503557
229,437.6582,2,1.0
233,216.784,1,0.503659
234,221.61,1,0.509625
235,220.7519,1,0.509553
236,219.0946,1,1.0
239,219.9033,1,1.0
242,217.5479,1,0.506245
243,218.5491,1,0.51065
244,212.4412,1,0.250492
245,653.4069,3,1.0
247,221.1571,1,0.510048
248,218.947,1,1.0
253,434.2764,2,0.673264
254,215.4187,1,1.0
256,652.638,3,0.753651
257,221.0744,1,0.257195
258,659.839,3,0.608794
259,436.3595,2,1.0
261,428.3297,2,0.501092
262,441.7282,2,0.51159
263,431.3095,2,0.506592
264,427.5611,2,0.666586
265,222.3058,1,1.0
268,214.2234,1,0.499984
269,222.9054,1,0.34364
270,440.2269,2,1.0
272,432.0441,2,0.670088
273,219.616,1,0.507466
274,220.6308,1,1.0
277,648.728,3,0.752845
278,220.0549,1,0.507019
279,222.5934,1,0.344202
280,436.5962,2,1.0
282,219.7786,1,1.0
284,223.1416,1,1.0
286,220.9879,1,0.344654
287,427.7494,2,0.501677
288,438.0674,2,1.0
290,215.9192,1,1.0
293,434.9708,2,0.671655
294,219.471,1,1.0
296,656.3776,3,1.0
298,220.9376,1,1.0
300,660.924,3,0.606907
301,445.2582,2,1.0
304,222.6605,1,0.515107
305,212.7875,1,0.50349
306,213.4135,1,0.33636
307,429.8091,2,0.502963
308,437.848,2,0.510027
309,428.8173,2,1.0
311,858.0521,4,1.0
314,220.6694,1,0.511673
315,215.1156,1,0.505015
316,215.528,1,0.336471
317,438.4572,2,0.675006
318,216.1665,1,1.0
320,435.9746,2,1.0
322,429.364,2,0.669736
323,217.5931,1,0.503784
324,223.1873,1,0.346205
325,430.841,2,0.403557
326,655.902,3,0.610303
327,424.8346,2,1.0
