# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
1,110,23900.679,0.0,30905.012,26221.0992,32995.012,16216.0872,121,0.911506,0.0,0,110,280.9714
2,11,2373.5155,0.0,3087.1641,4279.4667,4797.1641,3282.3026,20,0.554629,0.0,0,11,280.5081
3,9,1958.2928,0.0,2529.203,3226.0787,3669.203,2406.8756,15,0.60702,0.0,0,9,281.0835
4,6,1299.7255,0.0,1684.8537,5527.4542,5484.8537,4982.6006,26,0.23514,0.0,0,6,280.952
5,20,4335.3015,0.0,5616.9779,6452.9531,7516.9779,4635.9751,30,0.671832,0.0,0,20,281.0705
6,10,2176.1385,0.0,2810.1932,5568.1394,5850.1932,4657.9462,26,0.39082,0.0,0,10,281.4557
7,16,3490.1239,0.0,4498.0004,5385.4003,6208.0004,3927.3999,25,0.648071,0.0,0,16,281.5064
8,9,1934.8906,0.0,2524.3994,5108.1085,5374.3994,4293.7091,24,0.378788,0.0,0,9,280.4114
9,15,3256.8123,0.0,4213.8231,6012.7361,6683.8231,4648.913,28,0.541652,0.0,0,15,280.8529
10,13,2835.5262,0.0,3654.5907,5800.0153,6314.5907,4615.4246,27,0.488883,0.0,0,13,281.0888
11,14,3045.5178,0.0,3934.1701,6635.5413,7164.1701,5361.3712,31,0.458971,0.0,0,14,281.0606
12,17,3677.2309,0.0,4772.8356,6434.7315,7242.8356,4891.896,30,0.571466,0.0,0,17,280.3615
13,13,2838.4713,0.0,3655.3003,4732.9752,5365.3003,3547.675,22,0.599722,0.0,0,13,281.3014
14,9,1933.2053,0.0,2524.0518,4046.4205,4424.0518,3232.3688,19,0.477757,0.0,0,9,280.2814
15,10,2166.3916,0.0,2808.1969,3015.3763,3568.1969,2107.1794,14,0.718448,0.0,0,10,280.8546
16,4,874.7298,0.0,1124.9431,3200.6805,3214.9431,2835.7375,15,0.273295,0.0,0,4,281.5692
17,11,2385.8684,0.0,3089.6528,5568.2137,5939.6528,4568.5609,26,0.42848,0.0,0,11,281.0409
18,15,3276.6476,0.0,4217.9304,5171.432,5927.9304,3803.5017,24,0.633605,0.0,0,15,281.3163
19,9,1933.7499,0.0,2524.178,4473.8913,4804.178,3659.7133,21,0.43223,0.0,0,9,280.2565
20,12,2608.5,0.0,3371.7636,5140.0127,5651.7636,4048.249,24,0.507489,0.0,0,12,280.9902
21,12,2589.7778,0.0,3367.8807,6390.8522,6787.8807,5302.9715,30,0.405232,0.0,0,12,280.5688
22,18,3892.6592,0.0,5053.5335,5582.2857,6573.5335,3948.7523,26,0.697324,0.0,0,18,280.6412
23,8,1730.9699,0.0,2246.1319,3212.3424,3576.1319,2486.2105,15,0.53885,0.0,0,8,280.6585
24,7,1520.8354,0.0,1966.6926,3842.0423,4056.6926,3205.3497,18,0.39584,0.0,0,7,280.792
25,11,2375.6573,0.0,3087.5181,4919.3531,5367.5181,3921.835,23,0.482921,0.0,0,11,280.8789
26,12,2616.1712,0.0,3373.3631,4941.7512,5463.3631,3848.3881,23,0.529402,0.0,0,12,281.3036
27,11,2384.8735,0.0,3089.486,5560.9099,5939.486,4561.4239,26,0.428864,0.0,0,11,280.848
28,15,3262.4113,0.0,4215.0914,5799.9021,6495.0914,4434.8107,27,0.562494,0.0,0,15,281.2975
29,12,2602.1705,0.0,3370.5709,4509.4595,5080.5709,3418.8886,21,0.577047,0.0,0,12,280.6812
30,9,1961.6878,0.0,2529.805,5135.9653,5379.805,4316.1603,24,0.381951,0.0,0,9,280.966
31,15,3259.1343,0.0,4214.2999,6223.5346,6874.2999,4859.2347,29,0.523679,0.0,0,15,281.0284
32,14,3046.0373,0.0,3934.1301,5374.2494,6024.1301,4100.1193,25,0.566784,0.0,0,14,281.1791
33,11,2391.1522,0.0,3090.6704,4290.239,4800.6704,3289.5685,20,0.557347,0.0,0,11,281.0033
34,9,1943.2007,0.0,2526.114,3633.9866,4046.114,2817.8725,17,0.53473,0.0,0,9,280.4623
35,8,1733.1005,0.0,2246.6536,4896.8268,5096.6536,4170.1731,23,0.353923,0.0,0,8,280.9983
36,15,3236.0851,0.0,4209.5518,6632.6947,7249.5518,5273.1428,31,0.487899,0.0,0,15,280.4147
37,16,3499.6725,0.0,4500.0743,5834.0039,6590.0743,4373.9296,27,0.599875,0.0,0,16,281.6086
38,11,2404.0557,0.0,3093.4241,3466.2891,4043.4241,2462.865,16,0.693553,0.0,0,11,281.3456
39,5,1095.2404,0.0,1406.63,3853.5044,3876.63,3396.8744,18,0.284219,0.0,0,5,281.7178
