step,value
0,111.011242
0,109.279926
0,109.943098
0,109.78354
0,111.212853
0,111.107535
0,111.675743
0,109.465413
0,110.281952
0,109.309535
0,109.822052
0,110.568945
0,109.263584
0,109.75109
0,111.044818
0,110.659214
0,109.79717
0,110.865013
0,111.400529
0,109.216255
0,111.411503
0,111.068312
0,110.144137
0,109.597352
0,111.85675
0,110.127233
0,109.527193
0,109.480487
0,111.574749
0,110.810042
0,111.406654
0,111.212145
0,110.732663
0,111.796439
0,110.273828
0,110.73576
0,111.531568
0,110.922074
0,111.562323
0,110.765894
0,111.085507
0,109.339008
0,109.824648
0,110.061729
0,109.40894
0,109.853596
0,109.439332
0,109.954859
0,110.952819
0,110.230843
0,110.265804
0,109.778948
0,109.902664
0,111.783209
0,110.995834
0,110.888476
0,109.65485
0,111.240776
0,109.657044
0,110.266872
0,111.961274
0,110.97718
0,110.738538
0,111.156254
0,111.51829
0,111.315171
0,109.837018
0,109.337363
0,110.073183
0,109.955306
0,109.820492
0,111.761342
0,111.532824
0,110.07678
0,111.005663
0,110.268412
0,111.739226
0,110.481218
0,109.900729
0,109.897497
0,110.733742
0,109.879945
0,110.819953
0,111.657071
0,110.274187
0,109.822921
0,111.950994
0,110.579354
0,109.468032
0,109.365504
0,109.487262
0,110.934605
0,111.370364
0,110.435985
0,109.329668
0,110.272651
0,111.914628
0,110.649107
0,111.936256
0,111.557424
0,111.348401
0,110.450311
0,110.362973
0,111.821234
0,111.925232
0,110.725309
0,111.169193
0,109.630961
0,110.018271
0,111.852325
50,110.509804
50,109.825813
50,109.23383
50,111.438571
50,110.36108
50,109.401791
50,111.202913
100,109.478006
100,111.490947
100,110.643577
100,109.907001
100,110.862277
100,111.747254
100,110.549648
150,110.894282
150,110.217314
150,110.458924
150,109.572032
150,111.099912
150,111.155349
150,111.217489
150,109.468524
150,110.116946
150,111.687253
150,111.77212
200,110.516595
200,109.933915
200,110.709904
200,111.158038
200,111.294696
200,110.578177
200,111.509406
250,110.294551
250,109.636826
250,109.836223
250,109.883449
250,109.545934
250,110.99689
300,109.74811
300,110.687728
300,111.118862
300,109.415305
350,111.032009
350,109.992277
350,111.304506
350,111.458353
350,110.90513
350,110.244081
350,110.394857
350,110.843877
350,109.921594
350,110.151033
350,110.195013
350,110.655078
350,110.74505
350,109.615886
400,111.045193
400,110.713458
400,110.869368
400,111.773876
400,109.69163
400,111.782227
400,110.812281
400,111.422342
400,111.701408
400,111.204681
400,109.568444
400,110.15447
450,110.685505
450,110.097344
450,110.848163
450,109.471552
450,109.841013
450,109.22515
450,111.854344
450,111.197157
500,109.455308
500,111.724994
500,111.452898
500,109.924676
500,110.005249
500,111.167979
500,111.083372
500,111.862606
500,111.312954
500,110.034043
500,110.850133
550,111.911548
550,110.138426
550,111.77146
550,109.776731
550,110.586384
550,111.533082
550,110.950153
550,109.634415
550,111.283858
550,110.210001
550,111.593744
550,111.01889
600,110.260231
600,110.165885
600,111.500769
600,109.425366
600,110.407371
600,110.848982
600,111.409651
600,109.212669
600,111.721189
600,109.610855
600,111.141095
600,110.6391
600,109.341596
600,110.102441
600,111.788584
600,109.796995
650,109.511059
650,111.541699
650,110.060144
650,110.141355
650,111.129518
650,110.944775
650,110.811221
650,110.059513
650,110.194172
700,110.551114
700,109.548804
700,111.714757
700,110.097429
700,110.453958
700,109.470098
700,110.621282
700,111.197445
700,111.489561
700,111.828921
700,111.051092
700,110.831065
700,111.177721
750,111.635487
750,111.250847
750,111.078518
750,110.538793
800,111.09171
800,111.139541
800,110.473183
800,111.718972
800,110.294649
800,110.079494
800,109.336641
850,110.060549
850,109.307787
850,111.321291
850,111.227503
850,109.706996
850,109.225206
850,109.256484
900,109.577433
900,111.061643
900,110.103603
900,110.01829
900,111.053374
900,111.803242
900,110.543909
900,110.004442
900,110.589097
900,110.058058
900,110.448983
950,109.358133
950,109.57767
950,110.497174
950,110.391486
950,110.066649
950,109.492907
950,110.404691
950,109.845443
950,110.675578
950,109.854211
950,109.762216
950,111.257118
