step,value
0,212.522484
0,209.059852
0,210.386195
0,210.067081
0,212.925707
0,212.715069
0,213.851486
0,209.430826
0,211.063904
0,209.11907
0,210.144103
0,211.637889
0,209.027167
0,210.00218
0,212.589636
0,211.818429
0,210.09434
0,212.230026
0,213.301058
0,208.932511
0,213.323007
0,212.636625
0,210.788274
0,209.694704
0,214.2135
0,210.754465
0,209.554386
0,209.460974
0,213.649498
0,212.120084
0,213.313308
0,212.92429
0,211.965326
0,214.092879
0,211.047657
0,211.971521
0,213.563136
0,212.344148
0,213.624647
0,212.031788
0,212.671014
0,209.178015
0,210.149295
0,210.623458
0,209.317879
0,210.207192
0,209.378664
0,210.409719
0,212.405637
0,210.961687
0,211.031608
0,210.057895
0,210.305328
0,214.066418
0,212.491669
0,212.276952
0,209.809701
0,212.981552
0,209.814087
0,211.033745
0,214.422548
0,212.454361
0,211.977076
0,212.812509
0,213.53658
0,213.130342
0,210.174035
0,209.174727
0,210.646366
0,210.410613
0,210.140983
0,214.022684
0,213.565647
0,210.65356
0,212.511327
0,211.036824
0,213.978451
0,211.462436
0,210.301459
0,210.294995
0,211.967483
0,210.259891
0,212.139907
0,213.814142
0,211.048373
0,210.145842
0,214.401989
0,211.658708
0,209.436063
0,209.231007
0,209.474524
0,212.36921
0,213.240729
0,211.37197
0,209.159336
0,211.045301
0,214.329256
0,211.798214
0,214.372513
0,213.614849
0,213.196803
0,211.400622
0,211.225946
0,214.142469
0,214.350465
0,211.950619
0,212.838386
0,209.761922
0,210.536541
0,214.204651
50,211.519608
50,210.151626
50,208.967659
50,213.377143
50,211.22216
50,209.303582
50,212.905826
100,209.456011
100,213.481894
100,211.787154
100,210.314003
100,212.224554
100,213.994508
100,211.599295
150,212.288564
150,210.934628
150,211.417848
150,209.644064
150,212.699824
150,212.810699
150,212.934979
150,209.437048
150,210.733891
150,213.874506
150,214.04424
200,211.53319
200,210.367829
200,211.919807
200,212.816076
200,213.089391
200,211.656353
200,213.518811
250,211.089101
250,209.773651
250,210.172446
250,210.266897
250,209.591869
250,212.493779
300,209.996221
300,211.875456
300,212.737725
300,209.330609
350,212.564017
350,210.484555
350,213.109011
350,213.416706
350,212.31026
350,210.988162
350,211.289714
350,212.187753
350,210.343188
350,210.802066
350,210.890027
350,211.810155
350,211.990101
350,209.731771
400,212.590385
400,211.926915
400,212.238736
400,214.047752
400,209.883261
400,214.064454
400,212.124562
400,213.344685
400,213.902816
400,212.909363
400,209.636888
400,210.808939
450,211.87101
450,210.694687
450,212.196327
450,209.443104
450,210.182026
450,208.9503
450,214.208689
450,212.894313
500,209.410616
500,213.949988
500,213.405797
500,210.349352
500,210.510498
500,212.835957
500,212.666744
500,214.225211
500,213.125909
500,210.568086
500,212.200266
550,214.323097
550,210.776853
550,214.04292
550,210.053462
550,211.672768
550,213.566163
550,212.400306
550,209.76883
550,213.067715
550,210.920003
550,213.687489
550,212.53778
600,211.020462
600,210.83177
600,213.501538
600,209.350733
600,211.314742
600,212.197964
600,213.319302
600,208.925339
600,213.942378
600,209.721709
600,212.78219
600,211.778199
600,209.183191
600,210.704881
600,214.077168
600,210.09399
650,209.522118
650,213.583399
650,210.620289
650,210.782709
650,212.759037
650,212.389549
650,212.122441
650,210.619026
650,210.888344
700,211.602228
700,209.597609
700,213.929514
700,210.694857
700,211.407917
700,209.440197
700,211.742564
700,212.89489
700,213.479122
700,214.157842
700,212.602184
700,212.162131
700,212.855442
750,213.770974
750,213.001693
750,212.657036
750,211.577585
800,212.683419
800,212.779081
800,211.446365
800,213.937944
800,211.089298
800,210.658988
800,209.173282
850,210.621098
850,209.115574
850,213.142583
850,212.955006
850,209.913992
850,208.950412
850,209.012968
900,209.654866
900,212.623285
900,210.707206
900,210.536581
900,212.606748
900,214.106484
900,211.587818
900,210.508885
900,211.678195
900,210.616117
900,211.397966
950,209.216267
950,209.65534
950,211.494348
950,211.282972
950,210.633298
950,209.485814
950,211.309382
950,210.190887
950,211.851156
950,210.208423
950,210.024431
950,213.014237
