step,value
0,1.371672
0,1.38611
0,1.380524
0,1.381861
0,1.370022
0,1.370883
0,1.366255
0,1.38454
0,1.377696
0,1.385859
0,1.381538
0,1.375316
0,1.386248
0,1.382134
0,1.371397
0,1.37457
0,1.381747
0,1.372874
0,1.368491
0,1.38665
0,1.368401
0,1.371205
0,1.378844
0,1.383427
0,1.364791
0,1.378985
0,1.384019
0,1.384413
0,1.367074
0,1.373326
0,1.368441
0,1.370028
0,1.373964
0,1.365279
0,1.377764
0,1.373938
0,1.367425
0,1.372405
0,1.367175
0,1.37369
0,1.371064
0,1.385609
0,1.381516
0,1.379532
0,1.385018
0,1.381273
0,1.384761
0,1.380425
0,1.372152
0,1.378122
0,1.377831
0,1.3819
0,1.380862
0,1.365386
0,1.371799
0,1.372681
0,1.382943
0,1.369794
0,1.382925
0,1.377822
0,1.363948
0,1.371952
0,1.373915
0,1.370485
0,1.367533
0,1.369186
0,1.381412
0,1.385623
0,1.379436
0,1.380421
0,1.381551
0,1.365562
0,1.367415
0,1.379406
0,1.371718
0,1.377809
0,1.365741
0,1.376042
0,1.380878
0,1.380905
0,1.373955
0,1.381052
0,1.373244
0,1.366407
0,1.377761
0,1.381531
0,1.364031
0,1.37523
0,1.384518
0,1.385385
0,1.384356
0,1.372302
0,1.368736
0,1.376417
0,1.385688
0,1.377774
0,1.364324
0,1.374653
0,1.36415
0,1.367215
0,1.368915
0,1.376298
0,1.377023
0,1.365078
0,1.364239
0,1.374024
0,1.370379
0,1.383144
0,1.379895
0,1.364827
50,1.375805
50,1.381506
50,1.386501
50,1.368181
50,1.377039
50,1.385078
50,1.370103
100,1.384434
100,1.367755
100,1.374699
100,1.380826
100,1.372896
100,1.365676
100,1.375476
150,1.372633
150,1.378234
150,1.376227
150,1.383641
150,1.370946
150,1.370492
150,1.369984
150,1.384514
150,1.379071
150,1.366162
150,1.365475
200,1.375749
200,1.3806
200,1.374151
200,1.37047
200,1.369353
200,1.375239
200,1.367605
250,1.377591
250,1.383095
250,1.381419
250,1.381023
250,1.383861
250,1.37179
300,1.382159
300,1.374334
300,1.370791
300,1.384964
350,1.371502
350,1.380112
350,1.369273
350,1.36802
350,1.372544
350,1.378011
350,1.376758
350,1.373048
350,1.380704
350,1.378786
350,1.37842
350,1.374604
350,1.373862
350,1.383271
400,1.371394
400,1.374122
400,1.372838
400,1.365461
400,1.382634
400,1.365394
400,1.373308
400,1.368313
400,1.366048
400,1.370089
400,1.383671
400,1.378758
450,1.374353
450,1.379234
450,1.373012
450,1.384488
450,1.381379
450,1.386574
450,1.364811
450,1.37015
500,1.384626
500,1.365857
500,1.368065
500,1.380678
500,1.380004
500,1.370389
500,1.371081
500,1.364744
500,1.369205
500,1.379763
500,1.372996
550,1.364349
550,1.378892
550,1.365481
550,1.381918
550,1.375172
550,1.367413
550,1.372174
550,1.383115
550,1.369442
550,1.378295
550,1.36692
550,1.37161
600,1.377877
600,1.378663
600,1.367675
600,1.384879
600,1.376654
600,1.373006
600,1.368416
600,1.38668
600,1.365887
600,1.383313
600,1.370609
600,1.374736
600,1.385587
600,1.379192
600,1.365342
600,1.381748
650,1.384155
650,1.367343
650,1.379545
650,1.378867
650,1.370703
650,1.372218
650,1.373316
650,1.37955
650,1.378427
700,1.375463
700,1.383836
700,1.365939
700,1.379234
700,1.376268
700,1.384501
700,1.374883
700,1.370148
700,1.367766
700,1.365016
700,1.371346
700,1.373153
700,1.370309
750,1.366582
750,1.369711
750,1.371121
750,1.375565
800,1.371013
800,1.370621
800,1.376109
800,1.365905
800,1.377591
800,1.379383
800,1.385629
850,1.379542
850,1.385874
850,1.369137
850,1.369902
850,1.382504
850,1.386574
850,1.386309
900,1.383595
900,1.371259
900,1.379182
900,1.379895
900,1.371327
900,1.365224
900,1.375523
900,1.38001
900,1.375149
900,1.379562
900,1.376309
950,1.385447
950,1.383593
950,1.37591
950,1.376786
950,1.379491
950,1.384308
950,1.376677
950,1.381342
950,1.374435
950,1.381268
950,1.38204
950,1.36966
