step,value
0,291.511242
0,289.779926
0,290.443098
0,290.28354
0,291.712853
0,291.607535
0,292.175743
0,289.965413
0,290.781952
0,289.809535
0,290.322052
0,291.068945
0,289.763584
0,290.25109
0,291.544818
0,291.159214
0,290.29717
0,291.365013
0,291.900529
0,289.716255
0,291.911503
0,291.568312
0,290.644137
0,290.097352
0,292.35675
0,290.627233
0,290.027193
0,289.980487
0,292.074749
0,291.310042
0,291.906654
0,291.712145
0,291.232663
0,292.296439
0,290.773828
0,291.23576
0,292.031568
0,291.422074
0,292.062323
0,291.265894
0,291.585507
0,289.839008
0,290.324648
0,290.561729
0,289.90894
0,290.353596
0,289.939332
0,290.454859
0,291.452819
0,290.730843
0,290.765804
0,290.278948
0,290.402664
0,292.283209
0,291.495834
0,291.388476
0,290.15485
0,291.740776
0,290.157044
0,290.766872
0,292.461274
0,291.47718
0,291.238538
0,291.656254
0,292.01829
0,291.815171
0,290.337018
0,289.837363
0,290.573183
0,290.455306
0,290.320492
0,292.261342
0,292.032824
0,290.57678
0,291.505663
0,290.768412
0,292.239226
0,290.981218
0,290.400729
0,290.397497
0,291.233742
0,290.379945
0,291.319953
0,292.157071
0,290.774187
0,290.322921
0,292.450994
0,291.079354
0,289.968032
0,289.865504
0,289.987262
0,291.434605
0,291.870364
0,290.935985
0,289.829668
0,290.772651
0,292.414628
0,291.149107
0,292.436256
0,292.057424
0,291.848401
0,290.950311
0,290.862973
0,292.321234
0,292.425232
0,291.225309
0,291.669193
0,290.130961
0,290.518271
0,292.352325
50,291.009804
50,290.325813
50,289.73383
50,291.938571
50,290.86108
50,289.901791
50,291.702913
100,289.978006
100,291.990947
100,291.143577
100,290.407001
100,291.362277
100,292.247254
100,291.049648
150,291.394282
150,290.717314
150,290.958924
150,290.072032
150,291.599912
150,291.655349
150,291.717489
150,289.968524
150,290.616946
150,292.187253
150,292.27212
200,291.016595
200,290.433915
200,291.209904
200,291.658038
200,291.794696
200,291.078177
200,292.009406
250,290.794551
250,290.136826
250,290.336223
250,290.383449
250,290.045934
250,291.49689
300,290.24811
300,291.187728
300,291.618862
300,289.915305
350,291.532009
350,290.492277
350,291.804506
350,291.958353
350,291.40513
350,290.744081
350,290.894857
350,291.343877
350,290.421594
350,290.651033
350,290.695013
350,291.155078
350,291.24505
350,290.115886
400,291.545193
400,291.213458
400,291.369368
400,292.273876
400,290.19163
400,292.282227
400,291.312281
400,291.922342
400,292.201408
400,291.704681
400,290.068444
400,290.65447
450,291.185505
450,290.597344
450,291.348163
450,289.971552
450,290.341013
450,289.72515
450,292.354344
450,291.697157
500,289.955308
500,292.224994
500,291.952898
500,290.424676
500,290.505249
500,291.667979
500,291.583372
500,292.362606
500,291.812954
500,290.534043
500,291.350133
550,292.411548
550,290.638426
550,292.27146
550,290.276731
550,291.086384
550,292.033082
550,291.450153
550,290.134415
550,291.783858
550,290.710001
550,292.093744
550,291.51889
600,290.760231
600,290.665885
600,292.000769
600,289.925366
600,290.907371
600,291.348982
600,291.909651
600,289.712669
600,292.221189
600,290.110855
600,291.641095
600,291.1391
600,289.841596
600,290.602441
600,292.288584
600,290.296995
650,290.011059
650,292.041699
650,290.560144
650,290.641355
650,291.629518
650,291.444775
650,291.311221
650,290.559513
650,290.694172
700,291.051114
700,290.048804
700,292.214757
700,290.597429
700,290.953958
700,289.970098
700,291.121282
700,291.697445
700,291.989561
700,292.328921
700,291.551092
700,291.331065
700,291.677721
750,292.135487
750,291.750847
750,291.578518
750,291.038793
800,291.59171
800,291.639541
800,290.973183
800,292.218972
800,290.794649
800,290.579494
800,289.836641
850,290.560549
850,289.807787
850,291.821291
850,291.727503
850,290.206996
850,289.725206
850,289.756484
900,290.077433
900,291.561643
900,290.603603
900,290.51829
900,291.553374
900,292.303242
900,291.043909
900,290.504442
900,291.089097
900,290.558058
900,290.948983
950,289.858133
950,290.07767
950,290.997174
950,290.891486
950,290.566649
950,289.992907
950,290.904691
950,290.345443
950,291.175578
950,290.354211
950,290.262216
950,291.757118
