step,value
0,0.380813
0,0.377114
0,0.378536
0,0.378194
0,0.381241
0,0.381017
0,0.382221
0,0.377512
0,0.37926
0,0.377177
0,0.378277
0,0.379872
0,0.377078
0,0.378125
0,0.380884
0,0.380064
0,0.378223
0,0.380502
0,0.381639
0,0.376977
0,0.381662
0,0.380934
0,0.378966
0,0.377795
0,0.382604
0,0.37893
0,0.377645
0,0.377544
0,0.382008
0,0.380385
0,0.381652
0,0.381239
0,0.380221
0,0.382476
0,0.379243
0,0.380227
0,0.381916
0,0.380623
0,0.381981
0,0.380291
0,0.380971
0,0.37724
0,0.378282
0,0.378789
0,0.377391
0,0.378344
0,0.377456
0,0.378561
0,0.380689
0,0.379151
0,0.379225
0,0.378184
0,0.378449
0,0.382448
0,0.38078
0,0.380552
0,0.377918
0,0.3813
0,0.377923
0,0.379228
0,0.382824
0,0.380741
0,0.380233
0,0.381121
0,0.381888
0,0.381458
0,0.378309
0,0.377237
0,0.378814
0,0.378562
0,0.378273
0,0.382402
0,0.381919
0,0.378822
0,0.380801
0,0.379231
0,0.382355
0,0.379685
0,0.378445
0,0.378438
0,0.380223
0,0.378401
0,0.380406
0,0.382182
0,0.379243
0,0.378279
0,0.382803
0,0.379894
0,0.377518
0,0.377297
0,0.377559
0,0.38065
0,0.381575
0,0.379589
0,0.37722
0,0.37924
0,0.382726
0,0.380043
0,0.382771
0,0.381971
0,0.381528
0,0.379619
0,0.379433
0,0.382529
0,0.382748
0,0.380205
0,0.381148
0,0.377867
0,0.378697
0,0.382594
50,0.379746
50,0.378285
50,0.377014
50,0.381719
50,0.379429
50,0.377375
50,0.38122
100,0.377539
100,0.38183
100,0.380031
100,0.378459
100,0.380496
100,0.382372
100,0.379831
150,0.380564
150,0.379122
150,0.379638
150,0.377741
150,0.381001
150,0.381119
150,0.381251
150,0.377519
150,0.378908
150,0.382245
150,0.382425
200,0.37976
200,0.378516
200,0.380172
200,0.381125
200,0.381414
200,0.379892
200,0.381869
250,0.379287
250,0.37788
250,0.378307
250,0.378408
250,0.377685
250,0.380782
300,0.378118
300,0.380125
300,0.381041
300,0.377404
350,0.380857
350,0.378641
350,0.381435
350,0.381761
350,0.380587
350,0.379179
350,0.379501
350,0.380457
350,0.37849
350,0.37898
350,0.379074
350,0.380055
350,0.380247
350,0.377835
400,0.380885
400,0.38018
400,0.380511
400,0.382429
400,0.377997
400,0.382446
400,0.38039
400,0.381685
400,0.382275
400,0.381224
400,0.377733
400,0.378988
450,0.38012
450,0.378866
450,0.380466
450,0.377525
450,0.378317
450,0.376996
450,0.382599
450,0.381208
500,0.37749
500,0.382325
500,0.38175
500,0.378496
500,0.378669
500,0.381146
500,0.380966
500,0.382616
500,0.381453
500,0.37873
500,0.380471
550,0.382719
550,0.378953
550,0.382423
550,0.37818
550,0.379909
550,0.381919
550,0.380683
550,0.377875
550,0.381391
550,0.379106
550,0.382048
550,0.380829
600,0.379214
600,0.379012
600,0.381851
600,0.377426
600,0.379528
600,0.380468
600,0.381658
600,0.376969
600,0.382317
600,0.377824
600,0.381089
600,0.380021
600,0.377246
600,0.378877
600,0.38246
600,0.378223
650,0.37761
650,0.381938
650,0.378786
650,0.37896
650,0.381064
650,0.380672
650,0.380388
650,0.378785
650,0.379073
700,0.379834
700,0.377691
700,0.382304
700,0.378866
700,0.379627
700,0.377522
700,0.379983
700,0.381208
700,0.381827
700,0.382545
700,0.380898
700,0.38043
700,0.381166
750,0.382136
750,0.381321
750,0.380956
750,0.379808
800,0.380984
800,0.381085
800,0.379668
800,0.382313
800,0.379287
800,0.378827
800,0.377235
850,0.378787
850,0.377173
850,0.381471
850,0.381272
850,0.37803
850,0.376996
850,0.377063
900,0.377752
900,0.38092
900,0.378879
900,0.378697
900,0.380902
900,0.382491
900,0.379819
900,0.378667
900,0.379915
900,0.378782
900,0.379616
950,0.377282
950,0.377753
950,0.379719
950,0.379494
950,0.3788
950,0.377571
950,0.379522
950,0.378327
950,0.380099
950,0.378346
950,0.378148
950,0.381335
