step,value
0,0.031165
0,0.023805
0,0.02663
0,0.025951
0,0.03202
0,0.031573
0,0.033979
0,0.024596
0,0.02807
0,0.023932
0,0.026115
0,0.029289
0,0.023736
0,0.025813
0,0.031308
0,0.029672
0,0.026009
0,0.030545
0,0.032814
0,0.023534
0,0.032861
0,0.031407
0,0.027485
0,0.025158
0,0.034744
0,0.027413
0,0.024859
0,0.02466
0,0.033551
0,0.030312
0,0.03284
0,0.032017
0,0.029984
0,0.034489
0,0.028036
0,0.029997
0,0.033369
0,0.030787
0,0.033499
0,0.030125
0,0.03148
0,0.024057
0,0.026126
0,0.027134
0,0.024355
0,0.026249
0,0.024485
0,0.02668
0,0.030918
0,0.027853
0,0.028002
0,0.025931
0,0.026458
0,0.034433
0,0.0311
0,0.030645
0,0.025403
0,0.032138
0,0.025412
0,0.028006
0,0.035186
0,0.031021
0,0.030009
0,0.03178
0,0.033313
0,0.032453
0,0.026178
0,0.02405
0,0.027183
0,0.026682
0,0.026108
0,0.034341
0,0.033374
0,0.027198
0,0.031142
0,0.028013
0,0.034247
0,0.028917
0,0.026449
0,0.026436
0,0.029989
0,0.026361
0,0.030354
0,0.0339
0,0.028037
0,0.026118
0,0.035142
0,0.029333
0,0.024607
0,0.02417
0,0.024689
0,0.03084
0,0.032687
0,0.028725
0,0.024017
0,0.028031
0,0.034988
0,0.029629
0,0.03508
0,0.033478
0,0.032594
0,0.028785
0,0.028415
0,0.034594
0,0.035033
0,0.029953
0,0.031835
0,0.025301
0,0.026949
0,0.034725
50,0.029038
50,0.026131
50,0.023609
50,0.032975
50,0.028406
50,0.024325
50,0.031977
100,0.02465
100,0.033197
100,0.029606
100,0.026476
100,0.030534
100,0.034281
100,0.029207
150,0.030669
150,0.027796
150,0.028822
150,0.02505
150,0.031541
150,0.031776
150,0.032039
150,0.024609
150,0.027369
150,0.034027
150,0.034386
200,0.029067
200,0.026591
200,0.029887
200,0.031787
200,0.032366
200,0.029328
200,0.033275
250,0.028124
250,0.025326
250,0.026175
250,0.026376
250,0.024939
250,0.031104
300,0.0258
300,0.029793
300,0.031621
300,0.024382
350,0.031253
350,0.026839
350,0.032408
350,0.033059
350,0.030715
350,0.027909
350,0.02855
350,0.030456
350,0.026538
350,0.027514
350,0.027701
350,0.029655
350,0.030037
350,0.025237
400,0.031309
400,0.029902
400,0.030564
400,0.034394
400,0.025559
400,0.034429
400,0.030322
400,0.032907
400,0.034087
400,0.031985
400,0.025035
400,0.027529
450,0.029784
450,0.027286
450,0.030474
450,0.024622
450,0.026195
450,0.023572
450,0.034734
450,0.031953
500,0.024553
500,0.034187
500,0.033036
500,0.026551
500,0.026894
500,0.031829
500,0.031471
500,0.034769
500,0.032443
500,0.027016
500,0.030482
550,0.034975
550,0.02746
550,0.034383
550,0.025922
550,0.029363
550,0.033375
550,0.030906
550,0.025316
550,0.03232
550,0.027765
550,0.033632
550,0.031198
600,0.027978
600,0.027577
600,0.033238
600,0.024425
600,0.028603
600,0.030477
600,0.032853
600,0.023518
600,0.034171
600,0.025215
600,0.031716
600,0.029587
600,0.024068
600,0.027307
600,0.034456
600,0.026008
650,0.02479
650,0.033412
650,0.027127
650,0.027473
650,0.031667
650,0.030884
650,0.030317
650,0.027125
650,0.027697
700,0.029213
700,0.024951
700,0.034144
700,0.027286
700,0.028801
700,0.024616
700,0.029511
700,0.031954
700,0.033191
700,0.034626
700,0.031334
700,0.030401
700,0.031871
750,0.033808
750,0.03218
750,0.03145
750,0.029161
800,0.031506
800,0.031709
800,0.028883
800,0.034161
800,0.028124
800,0.02721
800,0.024047
850,0.027129
850,0.023924
850,0.032479
850,0.032082
850,0.025625
850,0.023572
850,0.023705
900,0.025073
900,0.031379
900,0.027312
900,0.026949
900,0.031344
900,0.034518
900,0.029183
900,0.026891
900,0.029375
900,0.027119
900,0.02878
950,0.024139
950,0.025074
950,0.028984
950,0.028536
950,0.027155
950,0.024713
950,0.028592
950,0.026214
950,0.029742
950,0.026251
950,0.02586
950,0.032207
