# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,1,0,20
2,0,1,0,20
3,0,1,0,20
4,0,1,0,20
5,0,1,0,20
6,0,1,0,20
7,0,1,0,20
8,0,1,0,20
9,0,1,0,20
10,0,1,0,20
11,0,1,0,20
12,0,1,0,20
13,0,1,0,20
14,0,1,0,20
15,0,1,0,20
16,0,1,0,20
17,0,1,0,20
18,0,1,0,20
19,0,1,0,20
20,0,1,0,20
21,0,1,0,20
22,0,1,0,20
23,0,1,0,20
24,0,1,0,20
25,0,1,0,20
26,0,1,0,20
27,0,1,0,20
28,0,1,0,20
29,0,1,0,20
30,0,1,0,20
31,0,1,0,20
32,0,1,0,20
33,0,1,0,20
34,0,1,0,20
35,0,1,0,20
36,0,1,0,20
37,0,1,0,20
38,0,1,0,20
39,0,1,0,20
40,0,1,0,20
41,0,1,0,20
42,0,1,0,20
43,0,1,0,20
44,0,1,0,20
45,0,1,0,20
46,0,1,0,20
47,0,1,0,20
48,0,1,0,20
49,0,1,0,20
50,0,1,0,20
51,0,1,0,20
52,0,1,0,20
53,0,1,0,20
54,0,1,0,20
55,0,1,0,20
56,0,1,0,20
57,0,1,0,20
58,0,1,0,20
59,0,1,0,20
60,0,1,0,20
61,0,1,0,20
62,0,1,0,20
63,0,1,0,20
64,0,1,0,20
65,0,1,0,20
66,0,1,0,20
67,0,1,0,20
68,0,1,0,20
69,0,1,0,20
70,0,1,0,20
71,0,1,0,20
72,0,1,0,20
73,0,1,0,20
74,0,1,0,20
75,0,1,0,20
76,0,1,0,20
77,0,1,0,20
78,0,1,0,20
79,0,1,0,20
80,0,1,0,20
81,0,1,0,20
82,0,1,0,20
83,0,1,0,20
84,0,1,0,20
85,0,1,0,20
86,0,1,0,20
87,0,1,0,20
88,0,1,0,20
89,0,1,0,20
90,0,1,0,20
91,0,1,0,20
92,0,1,0,20
93,0,1,0,20
94,0,1,0,20
95,0,1,0,20
96,0,1,0,20
97,0,1,0,20
98,0,1,0,20
99,0,1,0,20
100,0,1,0,20
125,2,3,0,19
134,3,4,0,19
163,5,6,0,19
177,6,7,0,19
194,8,9,0,19
304,17,18,0,19
308,17,18,0,19
366,22,23,0,19
426,27,28,0,19
436,28,29,0,19
534,36,37,0,19
549,38,39,0,19
575,40,41,0,19
603,43,44,0,19
802,66,67,0,18
890,75,76,0,18
911,78,79,0,18
970,82,83,0,18
999,85,86,0,18
1021,88,89,0,18
1043,90,91,0,18
1068,93,94,0,18
1080,94,95,0,18
1087,94,95,0,18
1091,95,96,0,18
1093,95,96,0,18
1095,95,96,0,18
1151,102,103,0,17
1172,104,105,0,17
1184,105,106,0,17
1187,105,106,0,17
1194,106,107,0,17
1233,110,111,0,17
1278,115,116,0,17
1304,117,118,0,17
1466,133,134,0,17
1470,134,135,0,17
1486,135,136,0,17
1621,150,151,0,17
1684,156,157,0,16
1688,157,158,0,16
1768,164,165,0,16
1787,167,168,0,16
1811,169,170,0,16
1830,172,173,0,16
1843,173,174,0,16
1847,173,174,0,16
1944,183,184,0,16
1956,184,185,0,16
1984,188,189,0,16
2033,192,193,0,16
2050,193,194,0,16
2056,194,195,0,16
2169,206,207,0,15
2267,217,218,0,15
2283,218,219,0,15
2296,219,220,0,15
2303,220,221,0,15
2320,222,223,0,15
2341,223,224,0,15
2342,223,224,0,15
2372,228,229,0,15
2382,229,230,0,15
2396,230,231,0,15
2415,231,232,0,15
2429,233,234,0,15
2505,241,242,0,15
2522,243,244,0,15
2562,246,247,0,15
2575,247,248,0,15
2594,249,250,0,15
2606,251,252,0,14
2654,256,257,0,14
2692,260,261,0,14
2739,264,265,0,14
2755,266,267,0,14
2758,266,267,0,14
2778,268,269,0,14
2785,268,269,0,14
2802,270,271,0,14
2839,273,274,0,14
2852,274,275,0,14
2857,275,276,0,14
2885,277,278,0,14
3012,289,290,0,14
3013,289,290,0,14
3045,291,292,0,14
3080,294,295,0,14
3095,296,297,0,14
3102,297,298,0,14
3119,298,299,0,14
3125,299,300,0,14
3142,301,302,0,13
3156,302,303,0,13
3168,304,305,0,13
3199,307,308,0,13
3219,309,310,0,13
3220,309,310,0,13
3257,312,313,0,13
3299,317,318,0,13
3345,323,324,0,13
3386,328,329,0,13
3496,339,340,0,13
3540,344,345,0,13
3588,349,350,0,13
3589,349,350,0,13
3599,350,351,0,13
3600,350,351,0,13
3626,352,353,0,12
3640,354,355,0,12
3683,358,359,0,12
3694,358,359,0,12
3703,359,360,0,12
3711,359,360,0,12
3739,363,364,0,12
3755,364,365,0,12
3828,371,372,0,12
3883,377,378,0,12
3911,379,380,0,12
3935,381,382,0,12
3944,382,383,0,12
3960,383,384,0,12
4062,394,395,0,12
4079,396,397,0,12
4140,402,403,0,11
4183,407,408,0,11
4235,413,414,0,11
4362,427,428,0,11
4399,430,431,0,11
4434,433,434,0,11
4441,434,435,0,11
4470,436,437,0,11
4509,441,442,0,11
4646,456,457,0,10
4665,458,459,0,10
4757,468,469,0,10
4773,469,470,0,10
4782,470,471,0,10
4787,471,472,0,10
4798,472,473,0,10
4845,477,478,0,10
4889,482,483,0,10
4892,483,484,0,10
4938,488,489,0,10
5004,493,494,0,10
5015,494,495,0,10
5034,496,497,0,10
5065,499,500,0,10
5079,500,501,0,10
5102,502,503,0,9
5108,503,504,0,9
5129,505,506,0,9
5159,508,509,0,9
5176,509,510,0,9
5219,513,514,0,9
5239,515,516,0,9
5269,518,519,0,9
5335,526,527,0,9
5351,527,528,0,9
5434,533,534,0,9
5467,536,537,0,9
5471,537,538,0,9
5477,538,539,0,9
5516,543,544,0,9
5530,545,546,0,9
5611,553,554,0,8
5629,555,556,0,8
5638,556,557,0,8
5649,557,558,0,8
5688,562,563,0,8
5720,564,565,0,8
5804,572,573,0,8
5828,574,575,0,8
5920,583,584,0,8
5933,584,585,0,8
5935,584,585,0,8
5979,589,590,0,8
5988,590,591,0,8
6024,593,594,0,8
6032,594,595,0,8
6070,598,599,0,8
6079,598,599,0,8
6098,600,601,0,8
6099,600,601,0,8
6162,606,607,0,7
6263,615,616,0,7
6355,623,624,0,7
6376,625,626,0,7
6382,625,626,0,7
6551,641,642,0,7
6567,642,643,0,7
6569,642,643,0,7
6574,642,643,0,7
6576,642,643,0,7
6632,650,651,0,7
6634,650,651,0,7
6641,652,653,0,6
6683,655,656,0,6
6689,656,657,0,6
6701,658,659,0,6
6753,663,664,0,6
6783,666,667,0,6
6831,671,672,0,6
6849,673,674,0,6
6857,674,675,0,6
6860,674,675,0,6
6893,677,678,0,6
6899,678,679,0,6
6929,680,681,0,6
6942,682,683,0,6
7018,688,689,0,6
7056,692,693,0,6
7068,694,695,0,6
7075,694,695,0,6
7078,694,695,0,6
7091,695,696,0,6
7122,697,698,0,6
7168,700,701,0,6
7184,702,703,0,5
7222,706,707,0,5
7237,707,708,0,5
7249,709,710,0,5
7283,713,714,0,5
7338,718,719,0,5
7339,719,720,0,5
7368,721,722,0,5
7386,723,724,0,5
7417,726,727,0,5
7421,727,728,0,5
7485,732,733,0,5
7490,733,734,0,5
7530,737,738,0,5
7604,742,743,0,5
7614,744,745,0,5
7636,746,747,0,5
7694,752,753,0,4
7707,753,754,0,4
7708,754,755,0,4
7783,762,763,0,4
